,county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
0,Alameda,2020-03-29,36.0,91.0,,,20.0,16.0,119.0
1,Sonoma,2020-03-29,7.0,20.0,,,2.0,5.0,12.0
2,Yuba,2020-03-29,2.0,12.0,,,2.0,4.0,2.0
3,Kern,2020-03-29,16.0,57.0,,,8.0,8.0,39.0
4,Plumas,2020-03-29,0.0,1.0,,,0.0,1.0,
5,Imperial,2020-03-29,5.0,100.0,,,1.0,2.0,2.0
6,Solano,2020-03-29,7.0,27.0,,,4.0,1.0,28.0
7,Inyo,2020-03-29,,,,,,,
8,Mendocino,2020-03-29,1.0,11.0,,,0.0,0.0,1.0
9,Napa,2020-03-29,0.0,26.0,,,,,5.0
10,Sutter,2020-03-29,0.0,0.0,,,0.0,0.0,
11,Del Norte,2020-03-29,1.0,2.0,,,0.0,0.0,3.0
12,Placer,2020-03-29,18.0,14.0,,,4.0,1.0,10.0
13,Nevada,2020-03-29,23.0,,,,1.0,0.0,3.0
14,Glenn,2020-03-29,,,,,,,
15,Fresno,2020-03-29,8.0,116.0,,,3.0,14.0,22.0
16,El Dorado,2020-03-29,0.0,6.0,,,0.0,3.0,3.0
17,Mono,2020-03-29,0.0,1.0,,,0.0,0.0,2.0
18,Santa Barbara,2020-03-29,15.0,21.0,,,9.0,3.0,47.0
19,Lake,2020-03-29,0.0,1.0,,,0.0,1.0,2.0
20,Los Angeles,2020-03-29,489.0,1132.0,,,191.0,182.0,345.0
21,San Joaquin,2020-03-29,34.0,35.0,,,5.0,2.0,7.0
22,Ventura,2020-03-29,24.0,85.0,,,5.0,19.0,14.0
23,Tuolumne,2020-03-29,1.0,5.0,,,0.0,0.0,0.0
24,Tulare,2020-03-29,6.0,13.0,,,5.0,3.0,7.0
25,Orange,2020-03-29,74.0,167.0,,,31.0,40.0,131.0
26,Calaveras,2020-03-29,,,,,,,
27,Siskiyou,2020-03-29,0.0,0.0,,,0.0,0.0,2.0
28,San Francisco,2020-03-29,50.0,73.0,,,24.0,10.0,61.0
29,Santa Clara,2020-03-29,141.0,72.0,,,65.0,15.0,70.0
30,Shasta,2020-03-29,0.0,0.0,,,0.0,0.0,
31,San Luis Obispo,2020-03-29,7.0,12.0,,,3.0,4.0,948.0
32,Lassen,2020-03-29,0.0,2.0,,,0.0,0.0,
