,county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
0,Butte,2020-03-29,,,,,,,
1,Merced,2020-03-29,1.0,7.0,,,0.0,0.0,3.0
2,Shasta,2020-03-29,0.0,0.0,,,0.0,0.0,
3,San Mateo,2020-03-29,46.0,27.0,,,16.0,10.0,28.0
4,Tehama,2020-03-29,0.0,0.0,,,0.0,0.0,2.0
5,Yolo,2020-03-29,2.0,3.0,,,1.0,1.0,0.0
6,Contra Costa,2020-03-29,23.0,62.0,,,8.0,15.0,62.0
7,Marin,2020-03-29,7.0,13.0,,,2.0,6.0,11.0
8,Stanislaus,2020-03-29,20.0,48.0,,,9.0,8.0,25.0
9,San Diego,2020-03-29,121.0,211.0,,,77.0,39.0,205.0
10,Humboldt,2020-03-29,1.0,10.0,,,0.0,0.0,18.0
11,Amador,2020-03-29,1.0,0.0,,,0.0,0.0,2.0
12,Sacramento,2020-03-29,36.0,27.0,,,12.0,18.0,50.0
13,Imperial,2020-03-29,5.0,100.0,,,1.0,2.0,2.0
14,Modoc,2020-03-29,0.0,0.0,,,0.0,0.0,
15,Monterey,2020-03-29,2.0,16.0,,,1.0,2.0,10.0
16,Madera,2020-03-29,1.0,6.0,,,1.0,1.0,8.0
17,San Benito,2020-03-29,1.0,1.0,,,1.0,0.0,1.0
18,Trinity,2020-03-29,0.0,0.0,,,0.0,0.0,
19,Mendocino,2020-03-29,1.0,11.0,,,0.0,0.0,1.0
20,Fresno,2020-03-29,8.0,116.0,,,3.0,14.0,22.0
21,Napa,2020-03-29,0.0,26.0,,,,,5.0
22,Riverside,2020-03-29,44.0,78.0,,,13.0,20.0,46.0
23,Sutter,2020-03-29,0.0,0.0,,,0.0,0.0,
24,Alameda,2020-03-29,36.0,91.0,,,20.0,16.0,119.0
25,Plumas,2020-03-29,0.0,1.0,,,0.0,1.0,
26,Kings,2020-03-29,2.0,5.0,,,1.0,0.0,2.0
27,Santa Barbara,2020-03-29,15.0,21.0,,,9.0,3.0,47.0
28,Calaveras,2020-03-29,,,,,,,
29,Siskiyou,2020-03-29,0.0,0.0,,,0.0,0.0,2.0
30,San Francisco,2020-03-29,50.0,73.0,,,24.0,10.0,61.0
31,Nevada,2020-03-29,23.0,,,,1.0,0.0,3.0
32,Santa Clara,2020-03-29,141.0,72.0,,,65.0,15.0,70.0
33,Placer,2020-03-29,18.0,14.0,,,4.0,1.0,10.0
34,Del Norte,2020-03-29,1.0,2.0,,,0.0,0.0,3.0
35,San Joaquin,2020-03-29,34.0,35.0,,,5.0,2.0,7.0
36,Mono,2020-03-29,0.0,1.0,,,0.0,0.0,2.0
37,El Dorado,2020-03-29,0.0,6.0,,,0.0,3.0,3.0
38,Inyo,2020-03-29,,,,,,,
39,Sonoma,2020-03-29,7.0,20.0,,,2.0,5.0,12.0
40,Solano,2020-03-29,7.0,27.0,,,4.0,1.0,28.0
41,Colusa,2020-03-29,,,,,,,
42,Lassen,2020-03-29,0.0,2.0,,,0.0,0.0,
43,San Luis Obispo,2020-03-29,7.0,12.0,,,3.0,4.0,948.0
44,San Bernardino,2020-03-29,33.0,123.0,,,19.0,20.0,65.0
45,Santa Cruz,2020-03-29,0.0,0.0,,,0.0,0.0,
46,Glenn,2020-03-29,,,,,,,
47,Orange,2020-03-29,74.0,167.0,,,31.0,40.0,131.0
48,Tulare,2020-03-29,6.0,13.0,,,5.0,3.0,7.0
49,Tuolumne,2020-03-29,1.0,5.0,,,0.0,0.0,0.0
50,Ventura,2020-03-29,24.0,85.0,,,5.0,19.0,14.0
51,Los Angeles,2020-03-29,489.0,1132.0,,,191.0,182.0,345.0
52,Lake,2020-03-29,0.0,1.0,,,0.0,1.0,2.0
53,Kern,2020-03-29,16.0,57.0,,,8.0,8.0,39.0
54,Yuba,2020-03-29,2.0,12.0,,,2.0,4.0,2.0
55,Marin,2020-03-30,10.0,9.0,,,4.0,2.0,16.0
56,Colusa,2020-03-30,0.0,1.0,,,0.0,1.0,5.0
57,Siskiyou,2020-03-30,0.0,0.0,,,0.0,0.0,3.0
58,Fresno,2020-03-30,10.0,88.0,,,3.0,14.0,24.0
59,Ventura,2020-03-30,25.0,82.0,,,5.0,28.0,15.0
60,Napa,2020-03-30,3.0,8.0,,,1.0,0.0,9.0
61,Alameda,2020-03-30,59.0,89.0,,,27.0,18.0,146.0
62,San Diego,2020-03-30,146.0,446.0,,,72.0,23.0,228.0
63,San Bernardino,2020-03-30,67.0,179.0,,,27.0,33.0,66.0
64,Lassen,2020-03-30,0.0,4.0,,,0.0,0.0,
65,Stanislaus,2020-03-30,17.0,51.0,,,9.0,5.0,29.0
66,Santa Clara,2020-03-30,153.0,93.0,,,74.0,23.0,103.0
67,Tulare,2020-03-30,5.0,21.0,,,4.0,6.0,7.0
68,Madera,2020-03-30,1.0,5.0,,,1.0,3.0,4.0
69,Mono,2020-03-30,0.0,1.0,,,0.0,0.0,2.0
70,Shasta,2020-03-30,1.0,4.0,,,0.0,0.0,13.0
71,Modoc,2020-03-30,0.0,31.0,,,0.0,0.0,
72,Inyo,2020-03-30,,,,,,,
73,Nevada,2020-03-30,26.0,17.0,,,2.0,5.0,3.0
74,Sutter,2020-03-30,0.0,0.0,,,0.0,0.0,
75,Trinity,2020-03-30,0.0,0.0,,,0.0,0.0,
76,Kern,2020-03-30,18.0,123.0,,,6.0,8.0,51.0
77,Plumas,2020-03-30,0.0,1.0,,,0.0,0.0,
78,Lake,2020-03-30,0.0,1.0,,,0.0,1.0,3.0
79,Yuba,2020-03-30,3.0,17.0,,,2.0,4.0,10.0
80,Tuolumne,2020-03-30,1.0,2.0,,,0.0,0.0,3.0
81,San Joaquin,2020-03-30,28.0,30.0,,,8.0,4.0,53.0
82,Humboldt,2020-03-30,1.0,8.0,,,0.0,0.0,10.0
83,Solano,2020-03-30,15.0,16.0,,,6.0,0.0,47.0
84,San Mateo,2020-03-30,56.0,40.0,,,18.0,11.0,47.0
85,Riverside,2020-03-30,60.0,133.0,,,22.0,33.0,77.0
86,Placer,2020-03-30,19.0,19.0,,,5.0,1.0,29.0
87,San Francisco,2020-03-30,58.0,92.0,,,18.0,7.0,90.0
88,Santa Barbara,2020-03-30,19.0,25.0,,,11.0,7.0,48.0
89,Butte,2020-03-30,4.0,12.0,,,2.0,1.0,5.0
90,Imperial,2020-03-30,19.0,109.0,,,3.0,3.0,4.0
91,Amador,2020-03-30,0.0,1.0,,,0.0,0.0,4.0
92,El Dorado,2020-03-30,0.0,9.0,,,0.0,6.0,9.0
93,Sonoma,2020-03-30,7.0,22.0,,,3.0,4.0,29.0
94,San Luis Obispo,2020-03-30,5.0,11.0,,,3.0,4.0,957.0
95,Mendocino,2020-03-30,2.0,11.0,,,0.0,1.0,8.0
96,Del Norte,2020-03-30,0.0,2.0,,,0.0,0.0,5.0
97,Contra Costa,2020-03-30,25.0,54.0,,,11.0,6.0,90.0
98,Santa Cruz,2020-03-30,0.0,2.0,,,0.0,0.0,4.0
99,Glenn,2020-03-30,0.0,0.0,,,0.0,0.0,
100,San Benito,2020-03-30,1.0,1.0,,,1.0,0.0,1.0
101,Sacramento,2020-03-30,45.0,86.0,,,21.0,23.0,58.0
102,Calaveras,2020-03-30,0.0,3.0,,,0.0,1.0,5.0
103,Merced,2020-03-30,1.0,9.0,,,0.0,2.0,11.0
104,Tehama,2020-03-30,0.0,2.0,,,0.0,0.0,2.0
105,Kings,2020-03-30,2.0,12.0,,,1.0,2.0,0.0
106,Yolo,2020-03-30,2.0,2.0,,,1.0,2.0,0.0
107,Monterey,2020-03-30,11.0,16.0,,,4.0,0.0,17.0
108,Orange,2020-03-30,98.0,251.0,,,42.0,58.0,131.0
109,Los Angeles,2020-03-30,601.0,1277.0,,,245.0,244.0,456.0
110,Santa Barbara,2020-03-31,19.0,29.0,,,14.0,7.0,48.0
111,Colusa,2020-03-31,0.0,1.0,,,0.0,1.0,5.0
112,Shasta,2020-03-31,1.0,5.0,,,1.0,0.0,4.0
113,Riverside,2020-03-31,80.0,155.0,,,28.0,59.0,75.0
114,Imperial,2020-03-31,12.0,100.0,,,3.0,4.0,4.0
115,San Diego,2020-03-31,158.0,408.0,,,75.0,39.0,208.0
116,Inyo,2020-03-31,,83.0,,,0.0,0.0,6.0
117,Stanislaus,2020-03-31,20.0,31.0,,,9.0,1.0,34.0
118,Napa,2020-03-31,1.0,5.0,,,1.0,1.0,12.0
119,Contra Costa,2020-03-31,27.0,54.0,,,11.0,10.0,68.0
120,San Bernardino,2020-03-31,82.0,231.0,,,33.0,48.0,63.0
121,Alameda,2020-03-31,56.0,94.0,,,27.0,17.0,77.0
122,Del Norte,2020-03-31,0.0,4.0,,,0.0,0.0,3.0
123,Sutter,2020-03-31,0.0,0.0,,,0.0,0.0,
124,Amador,2020-03-31,0.0,0.0,,,0.0,0.0,4.0
125,Madera,2020-03-31,1.0,3.0,,,1.0,0.0,5.0
126,Trinity,2020-03-31,0.0,0.0,,,0.0,0.0,
127,Mono,2020-03-31,0.0,1.0,,,0.0,0.0,2.0
128,Modoc,2020-03-31,0.0,19.0,,,0.0,0.0,
129,Santa Cruz,2020-03-31,1.0,10.0,,,1.0,2.0,7.0
130,Tuolumne,2020-03-31,0.0,37.0,,,0.0,0.0,4.0
131,San Mateo,2020-03-31,60.0,23.0,,,18.0,5.0,37.0
132,Placer,2020-03-31,18.0,27.0,,,6.0,0.0,28.0
133,Sacramento,2020-03-31,53.0,110.0,,,20.0,31.0,66.0
134,Yuba,2020-03-31,2.0,21.0,,,2.0,4.0,6.0
135,Kern,2020-03-31,14.0,63.0,,,6.0,6.0,46.0
136,Lake,2020-03-31,0.0,4.0,,,0.0,2.0,3.0
137,Kings,2020-03-31,1.0,3.0,,,1.0,2.0,4.0
138,Ventura,2020-03-31,21.0,90.0,,,5.0,24.0,12.0
139,Marin,2020-03-31,9.0,14.0,,,4.0,2.0,15.0
140,Los Angeles,2020-03-31,713.0,1239.0,,,315.0,239.0,445.0
141,Plumas,2020-03-31,0.0,0.0,,,0.0,0.0,
142,Lassen,2020-03-31,0.0,7.0,,,0.0,0.0,
143,Glenn,2020-03-31,0.0,0.0,,,0.0,0.0,
144,Orange,2020-03-31,105.0,233.0,,,45.0,44.0,131.0
145,Yolo,2020-03-31,3.0,2.0,,,2.0,2.0,1.0
146,Butte,2020-03-31,4.0,20.0,,,2.0,3.0,2.0
147,Humboldt,2020-03-31,1.0,11.0,,,0.0,4.0,8.0
148,San Francisco,2020-03-31,67.0,69.0,,,30.0,14.0,77.0
149,Monterey,2020-03-31,11.0,15.0,,,4.0,2.0,17.0
150,Solano,2020-03-31,15.0,15.0,,,6.0,5.0,42.0
151,San Joaquin,2020-03-31,44.0,54.0,,,14.0,5.0,28.0
152,Santa Clara,2020-03-31,155.0,98.0,,,73.0,17.0,92.0
153,San Benito,2020-03-31,1.0,0.0,,,1.0,0.0,1.0
154,Tulare,2020-03-31,6.0,14.0,,,4.0,5.0,9.0
155,Mendocino,2020-03-31,0.0,1.0,,,0.0,0.0,7.0
156,Fresno,2020-03-31,30.0,274.0,,,4.0,19.0,23.0
157,Sonoma,2020-03-31,8.0,18.0,,,3.0,3.0,21.0
158,El Dorado,2020-03-31,10.0,9.0,,,0.0,6.0,12.0
159,San Luis Obispo,2020-03-31,7.0,15.0,,,3.0,6.0,955.0
160,Calaveras,2020-03-31,0.0,1.0,,,0.0,0.0,4.0
161,Merced,2020-03-31,3.0,11.0,,,0.0,2.0,10.0
162,Tehama,2020-03-31,0.0,2.0,,,0.0,0.0,4.0
163,Nevada,2020-03-31,36.0,40.0,,,2.0,1.0,6.0
164,Siskiyou,2020-03-31,0.0,0.0,,,0.0,0.0,4.0
165,Riverside,2020-04-01,85.0,182.0,,,29.0,47.0,76.0
166,Modoc,2020-04-01,0.0,1.0,,,0.0,0.0,
167,Nevada,2020-04-01,36.0,54.0,,,0.0,4.0,3.0
168,Del Norte,2020-04-01,0.0,5.0,,,0.0,0.0,3.0
169,San Diego,2020-04-01,168.0,340.0,,,71.0,32.0,215.0
170,Monterey,2020-04-01,13.0,16.0,,,4.0,4.0,15.0
171,Shasta,2020-04-01,1.0,4.0,,,0.0,1.0,13.0
172,Sutter,2020-04-01,0.0,0.0,,,0.0,0.0,
173,Yuba,2020-04-01,2.0,24.0,,,2.0,4.0,6.0
174,Kings,2020-04-01,2.0,6.0,,,1.0,2.0,1.0
175,San Joaquin,2020-04-01,25.0,35.0,,,16.0,11.0,21.0
176,Merced,2020-04-01,3.0,15.0,,,0.0,3.0,9.0
177,El Dorado,2020-04-01,14.0,8.0,,,1.0,3.0,9.0
178,Calaveras,2020-04-01,0.0,1.0,,,0.0,0.0,5.0
179,San Luis Obispo,2020-04-01,8.0,10.0,,,5.0,6.0,968.0
180,Mono,2020-04-01,0.0,0.0,,,0.0,0.0,2.0
181,Placer,2020-04-01,25.0,28.0,,,6.0,2.0,7.0
182,Imperial,2020-04-01,4.0,15.0,,,3.0,4.0,7.0
