,county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
0,Imperial,2020-03-29,5.0,100.0,,,1.0,2.0,2.0
1,Shasta,2020-03-29,0.0,0.0,,,0.0,0.0,
2,Colusa,2020-03-29,,,,,,,
3,Nevada,2020-03-29,23.0,,,,1.0,0.0,3.0
4,Humboldt,2020-03-29,1.0,10.0,,,0.0,0.0,18.0
5,San Benito,2020-03-29,1.0,1.0,,,1.0,0.0,1.0
6,Madera,2020-03-29,1.0,6.0,,,1.0,1.0,8.0
7,Monterey,2020-03-29,2.0,16.0,,,1.0,2.0,10.0
8,Kern,2020-03-29,16.0,57.0,,,8.0,8.0,39.0
9,Los Angeles,2020-03-29,489.0,1132.0,,,191.0,182.0,345.0
10,San Joaquin,2020-03-29,34.0,35.0,,,5.0,2.0,7.0
11,Yuba,2020-03-29,2.0,12.0,,,2.0,4.0,2.0
12,Glenn,2020-03-29,,,,,,,
13,San Francisco,2020-03-29,50.0,73.0,,,24.0,10.0,61.0
14,Mono,2020-03-29,0.0,1.0,,,0.0,0.0,2.0
15,El Dorado,2020-03-29,0.0,6.0,,,0.0,3.0,3.0
16,Inyo,2020-03-29,,,,,,,
17,Placer,2020-03-29,18.0,14.0,,,4.0,1.0,10.0
18,Amador,2020-03-29,1.0,0.0,,,0.0,0.0,2.0
19,Calaveras,2020-03-29,,,,,,,
20,Orange,2020-03-29,74.0,167.0,,,31.0,40.0,131.0
21,Sutter,2020-03-29,0.0,0.0,,,0.0,0.0,
22,Sonoma,2020-03-29,7.0,20.0,,,2.0,5.0,12.0
23,Kings,2020-03-29,2.0,5.0,,,1.0,0.0,2.0
24,Mendocino,2020-03-29,1.0,11.0,,,0.0,0.0,1.0
25,Stanislaus,2020-03-29,20.0,48.0,,,9.0,8.0,25.0
26,Lassen,2020-03-29,0.0,2.0,,,0.0,0.0,
27,San Luis Obispo,2020-03-29,7.0,12.0,,,3.0,4.0,948.0
28,Tulare,2020-03-29,6.0,13.0,,,5.0,3.0,7.0
29,Alameda,2020-03-29,36.0,91.0,,,20.0,16.0,119.0
30,Lake,2020-03-29,0.0,1.0,,,0.0,1.0,2.0
31,Napa,2020-03-29,0.0,26.0,,,,,5.0
32,Contra Costa,2020-03-29,23.0,62.0,,,8.0,15.0,62.0
33,Merced,2020-03-29,1.0,7.0,,,0.0,0.0,3.0
34,Ventura,2020-03-29,24.0,85.0,,,5.0,19.0,14.0
35,Del Norte,2020-03-29,1.0,2.0,,,0.0,0.0,3.0
36,Tuolumne,2020-03-29,1.0,5.0,,,0.0,0.0,0.0
37,Riverside,2020-03-29,44.0,78.0,,,13.0,20.0,46.0
38,Tehama,2020-03-29,0.0,0.0,,,0.0,0.0,2.0
39,Sacramento,2020-03-29,36.0,27.0,,,12.0,18.0,50.0
40,San Diego,2020-03-29,121.0,211.0,,,77.0,39.0,205.0
41,Butte,2020-03-29,,,,,,,
42,Modoc,2020-03-29,0.0,0.0,,,0.0,0.0,
43,San Mateo,2020-03-29,46.0,27.0,,,16.0,10.0,28.0
44,Marin,2020-03-29,7.0,13.0,,,2.0,6.0,11.0
45,Santa Barbara,2020-03-29,15.0,21.0,,,9.0,3.0,47.0
46,Siskiyou,2020-03-29,0.0,0.0,,,0.0,0.0,2.0
47,Trinity,2020-03-29,0.0,0.0,,,0.0,0.0,
48,Plumas,2020-03-29,0.0,1.0,,,0.0,1.0,
49,Fresno,2020-03-29,8.0,116.0,,,3.0,14.0,22.0
50,Solano,2020-03-29,7.0,27.0,,,4.0,1.0,28.0
51,Yolo,2020-03-29,2.0,3.0,,,1.0,1.0,0.0
52,Santa Cruz,2020-03-29,0.0,0.0,,,0.0,0.0,
53,San Bernardino,2020-03-29,33.0,123.0,,,19.0,20.0,65.0
54,Santa Clara,2020-03-29,141.0,72.0,,,65.0,15.0,70.0
55,Placer,2020-03-30,19.0,19.0,,,5.0,1.0,29.0
56,Tulare,2020-03-30,5.0,21.0,,,4.0,6.0,7.0
57,Orange,2020-03-30,98.0,251.0,,,42.0,58.0,131.0
58,San Joaquin,2020-03-30,28.0,30.0,,,8.0,4.0,53.0
59,El Dorado,2020-03-30,0.0,9.0,,,0.0,6.0,9.0
60,Glenn,2020-03-30,0.0,0.0,,,0.0,0.0,
61,Del Norte,2020-03-30,0.0,2.0,,,0.0,0.0,5.0
62,Merced,2020-03-30,1.0,9.0,,,0.0,2.0,11.0
63,Monterey,2020-03-30,11.0,16.0,,,4.0,0.0,17.0
64,Alameda,2020-03-30,59.0,89.0,,,27.0,18.0,146.0
65,Fresno,2020-03-30,10.0,88.0,,,3.0,14.0,24.0
66,Santa Clara,2020-03-30,153.0,93.0,,,74.0,23.0,103.0
67,Tehama,2020-03-30,0.0,2.0,,,0.0,0.0,2.0
68,Calaveras,2020-03-30,0.0,3.0,,,0.0,1.0,5.0
69,San Benito,2020-03-30,1.0,1.0,,,1.0,0.0,1.0
70,Ventura,2020-03-30,25.0,82.0,,,5.0,28.0,15.0
71,Amador,2020-03-30,0.0,1.0,,,0.0,0.0,4.0
72,Madera,2020-03-30,1.0,5.0,,,1.0,3.0,4.0
73,San Mateo,2020-03-30,56.0,40.0,,,18.0,11.0,47.0
74,Santa Barbara,2020-03-30,19.0,25.0,,,11.0,7.0,48.0
75,Napa,2020-03-30,3.0,8.0,,,1.0,0.0,9.0
76,Siskiyou,2020-03-30,0.0,0.0,,,0.0,0.0,3.0
77,Humboldt,2020-03-30,1.0,8.0,,,0.0,0.0,10.0
78,Sacramento,2020-03-30,45.0,86.0,,,21.0,23.0,58.0
79,Santa Cruz,2020-03-30,0.0,2.0,,,0.0,0.0,4.0
80,Yuba,2020-03-30,3.0,17.0,,,2.0,4.0,10.0
81,Lassen,2020-03-30,0.0,4.0,,,0.0,0.0,
82,San Bernardino,2020-03-30,67.0,179.0,,,27.0,33.0,66.0
83,San Diego,2020-03-30,146.0,446.0,,,72.0,23.0,228.0
84,Kings,2020-03-30,2.0,12.0,,,1.0,2.0,0.0
85,Yolo,2020-03-30,2.0,2.0,,,1.0,2.0,0.0
86,Inyo,2020-03-30,,,,,,,
87,Contra Costa,2020-03-30,25.0,54.0,,,11.0,6.0,90.0
88,Colusa,2020-03-30,0.0,1.0,,,0.0,1.0,5.0
89,Butte,2020-03-30,4.0,12.0,,,2.0,1.0,5.0
90,Imperial,2020-03-30,19.0,109.0,,,3.0,3.0,4.0
91,Plumas,2020-03-30,0.0,1.0,,,0.0,0.0,
