,county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
0,Orange,2020-03-29,74.0,167.0,,,31.0,40.0,131.0
1,Sacramento,2020-03-29,36.0,27.0,,,12.0,18.0,50.0
2,Merced,2020-03-29,1.0,7.0,,,0.0,0.0,3.0
3,Tuolumne,2020-03-29,1.0,5.0,,,0.0,0.0,0.0
4,Tulare,2020-03-29,6.0,13.0,,,5.0,3.0,7.0
5,Alameda,2020-03-29,36.0,91.0,,,20.0,16.0,119.0
6,Inyo,2020-03-29,,,,,,,
7,Sonoma,2020-03-29,7.0,20.0,,,2.0,5.0,12.0
8,Glenn,2020-03-29,,,,,,,
9,San Joaquin,2020-03-29,34.0,35.0,,,5.0,2.0,7.0
10,Mendocino,2020-03-29,1.0,11.0,,,0.0,0.0,1.0
11,El Dorado,2020-03-29,0.0,6.0,,,0.0,3.0,3.0
12,Sutter,2020-03-29,0.0,0.0,,,0.0,0.0,
13,Del Norte,2020-03-29,1.0,2.0,,,0.0,0.0,3.0
14,Placer,2020-03-29,18.0,14.0,,,4.0,1.0,10.0
15,Santa Cruz,2020-03-29,0.0,0.0,,,0.0,0.0,
16,Kern,2020-03-29,16.0,57.0,,,8.0,8.0,39.0
17,Yuba,2020-03-29,2.0,12.0,,,2.0,4.0,2.0
18,Contra Costa,2020-03-29,23.0,62.0,,,8.0,15.0,62.0
19,Yolo,2020-03-29,2.0,3.0,,,1.0,1.0,0.0
20,Tehama,2020-03-29,0.0,0.0,,,0.0,0.0,2.0
21,Santa Barbara,2020-03-29,15.0,21.0,,,9.0,3.0,47.0
22,Calaveras,2020-03-29,,,,,,,
23,Siskiyou,2020-03-29,0.0,0.0,,,0.0,0.0,2.0
24,Riverside,2020-03-29,44.0,78.0,,,13.0,20.0,46.0
25,Lassen,2020-03-29,0.0,2.0,,,0.0,0.0,
26,Mono,2020-03-29,0.0,1.0,,,0.0,0.0,2.0
27,Shasta,2020-03-29,0.0,0.0,,,0.0,0.0,
28,Fresno,2020-03-29,8.0,116.0,,,3.0,14.0,22.0
29,San Francisco,2020-03-29,50.0,73.0,,,24.0,10.0,61.0
30,Stanislaus,2020-03-29,20.0,48.0,,,9.0,8.0,25.0
31,Santa Clara,2020-03-29,141.0,72.0,,,65.0,15.0,70.0
32,Madera,2020-03-29,1.0,6.0,,,1.0,1.0,8.0
33,Nevada,2020-03-29,23.0,,,,1.0,0.0,3.0
34,San Diego,2020-03-29,121.0,211.0,,,77.0,39.0,205.0
35,Amador,2020-03-29,1.0,0.0,,,0.0,0.0,2.0
36,Modoc,2020-03-29,0.0,0.0,,,0.0,0.0,
37,Butte,2020-03-29,,,,,,,
38,Humboldt,2020-03-29,1.0,10.0,,,0.0,0.0,18.0
39,Solano,2020-03-29,7.0,27.0,,,4.0,1.0,28.0
40,San Mateo,2020-03-29,46.0,27.0,,,16.0,10.0,28.0
41,San Bernardino,2020-03-29,33.0,123.0,,,19.0,20.0,65.0
42,San Luis Obispo,2020-03-29,7.0,12.0,,,3.0,4.0,948.0
43,Plumas,2020-03-29,0.0,1.0,,,0.0,1.0,
44,Marin,2020-03-29,7.0,13.0,,,2.0,6.0,11.0
45,Colusa,2020-03-29,,,,,,,
46,Lake,2020-03-29,0.0,1.0,,,0.0,1.0,2.0
47,Trinity,2020-03-29,0.0,0.0,,,0.0,0.0,
48,San Benito,2020-03-29,1.0,1.0,,,1.0,0.0,1.0
49,Monterey,2020-03-29,2.0,16.0,,,1.0,2.0,10.0
50,Imperial,2020-03-29,5.0,100.0,,,1.0,2.0,2.0
51,Los Angeles,2020-03-29,489.0,1132.0,,,191.0,182.0,345.0
52,Ventura,2020-03-29,24.0,85.0,,,5.0,19.0,14.0
53,Kings,2020-03-29,2.0,5.0,,,1.0,0.0,2.0
54,Napa,2020-03-29,0.0,26.0,,,,,5.0
55,Siskiyou,2020-03-30,0.0,0.0,,,0.0,0.0,3.0
56,Monterey,2020-03-30,11.0,16.0,,,4.0,0.0,17.0
57,Kings,2020-03-30,2.0,12.0,,,1.0,2.0,0.0
58,Trinity,2020-03-30,0.0,0.0,,,0.0,0.0,
59,Sonoma,2020-03-30,7.0,22.0,,,3.0,4.0,29.0
60,Sutter,2020-03-30,0.0,0.0,,,0.0,0.0,
61,Amador,2020-03-30,0.0,1.0,,,0.0,0.0,4.0
62,San Luis Obispo,2020-03-30,5.0,11.0,,,3.0,4.0,957.0
63,Modoc,2020-03-30,0.0,31.0,,,0.0,0.0,
64,Mono,2020-03-30,0.0,1.0,,,0.0,0.0,2.0
65,Madera,2020-03-30,1.0,5.0,,,1.0,3.0,4.0
66,Marin,2020-03-30,10.0,9.0,,,4.0,2.0,16.0
67,Placer,2020-03-30,19.0,19.0,,,5.0,1.0,29.0
68,Imperial,2020-03-30,19.0,109.0,,,3.0,3.0,4.0
69,Santa Barbara,2020-03-30,19.0,25.0,,,11.0,7.0,48.0
70,Butte,2020-03-30,4.0,12.0,,,2.0,1.0,5.0
71,Plumas,2020-03-30,0.0,1.0,,,0.0,0.0,
72,Solano,2020-03-30,15.0,16.0,,,6.0,0.0,47.0
73,San Francisco,2020-03-30,58.0,92.0,,,18.0,7.0,90.0
74,El Dorado,2020-03-30,0.0,9.0,,,0.0,6.0,9.0
75,Nevada,2020-03-30,26.0,17.0,,,2.0,5.0,3.0
76,Fresno,2020-03-30,10.0,88.0,,,3.0,14.0,24.0
77,San Diego,2020-03-30,146.0,446.0,,,72.0,23.0,228.0
78,Contra Costa,2020-03-30,25.0,54.0,,,11.0,6.0,90.0
79,Alameda,2020-03-30,59.0,89.0,,,27.0,18.0,146.0
80,Ventura,2020-03-30,25.0,82.0,,,5.0,28.0,15.0
81,Lake,2020-03-30,0.0,1.0,,,0.0,1.0,3.0
82,Inyo,2020-03-30,,,,,,,
83,Tuolumne,2020-03-30,1.0,2.0,,,0.0,0.0,3.0
84,Tulare,2020-03-30,5.0,21.0,,,4.0,6.0,7.0
85,Yuba,2020-03-30,3.0,17.0,,,2.0,4.0,10.0
86,Napa,2020-03-30,3.0,8.0,,,1.0,0.0,9.0
87,Santa Clara,2020-03-30,153.0,93.0,,,74.0,23.0,103.0
88,Yolo,2020-03-30,2.0,2.0,,,1.0,2.0,0.0
89,Tehama,2020-03-30,0.0,2.0,,,0.0,0.0,2.0
90,Merced,2020-03-30,1.0,9.0,,,0.0,2.0,11.0
91,Colusa,2020-03-30,0.0,1.0,,,0.0,1.0,5.0
92,San Benito,2020-03-30,1.0,1.0,,,1.0,0.0,1.0
93,Glenn,2020-03-30,0.0,0.0,,,0.0,0.0,
94,Sacramento,2020-03-30,45.0,86.0,,,21.0,23.0,58.0
95,Mendocino,2020-03-30,2.0,11.0,,,0.0,1.0,8.0
96,Orange,2020-03-30,98.0,251.0,,,42.0,58.0,131.0
97,San Joaquin,2020-03-30,28.0,30.0,,,8.0,4.0,53.0
98,Calaveras,2020-03-30,0.0,3.0,,,0.0,1.0,5.0
99,Kern,2020-03-30,18.0,123.0,,,6.0,8.0,51.0
100,Riverside,2020-03-30,60.0,133.0,,,22.0,33.0,77.0
101,Los Angeles,2020-03-30,601.0,1277.0,,,245.0,244.0,456.0
102,Humboldt,2020-03-30,1.0,8.0,,,0.0,0.0,10.0
103,San Mateo,2020-03-30,56.0,40.0,,,18.0,11.0,47.0
104,Shasta,2020-03-30,1.0,4.0,,,0.0,0.0,13.0
105,Del Norte,2020-03-30,0.0,2.0,,,0.0,0.0,5.0
106,Santa Cruz,2020-03-30,0.0,2.0,,,0.0,0.0,4.0
107,Stanislaus,2020-03-30,17.0,51.0,,,9.0,5.0,29.0
108,Lassen,2020-03-30,0.0,4.0,,,0.0,0.0,
109,San Bernardino,2020-03-30,67.0,179.0,,,27.0,33.0,66.0
110,Los Angeles,2020-03-31,713.0,1239.0,,,315.0,239.0,445.0
111,San Luis Obispo,2020-03-31,7.0,15.0,,,3.0,6.0,955.0
112,Calaveras,2020-03-31,0.0,1.0,,,0.0,0.0,4.0
113,Merced,2020-03-31,3.0,11.0,,,0.0,2.0,10.0
114,Lassen,2020-03-31,0.0,7.0,,,0.0,0.0,
115,Glenn,2020-03-31,0.0,0.0,,,0.0,0.0,
116,Siskiyou,2020-03-31,0.0,0.0,,,0.0,0.0,4.0
117,Orange,2020-03-31,105.0,233.0,,,45.0,44.0,131.0
118,Tulare,2020-03-31,6.0,14.0,,,4.0,5.0,9.0
119,Santa Clara,2020-03-31,155.0,98.0,,,73.0,17.0,92.0
120,San Joaquin,2020-03-31,44.0,54.0,,,14.0,5.0,28.0
121,Solano,2020-03-31,15.0,15.0,,,6.0,5.0,42.0
122,Marin,2020-03-31,9.0,14.0,,,4.0,2.0,15.0
123,San Francisco,2020-03-31,67.0,69.0,,,30.0,14.0,77.0
124,Humboldt,2020-03-31,1.0,11.0,,,0.0,4.0,8.0
125,Yolo,2020-03-31,3.0,2.0,,,2.0,2.0,1.0
126,San Bernardino,2020-03-31,82.0,231.0,,,33.0,48.0,63.0
127,Monterey,2020-03-31,11.0,15.0,,,4.0,2.0,17.0
128,Tehama,2020-03-31,0.0,2.0,,,0.0,0.0,4.0
129,Nevada,2020-03-31,36.0,40.0,,,2.0,1.0,6.0
130,Fresno,2020-03-31,30.0,274.0,,,4.0,19.0,23.0
131,Contra Costa,2020-03-31,27.0,54.0,,,11.0,10.0,68.0
132,Kings,2020-03-31,1.0,3.0,,,1.0,2.0,4.0
133,Placer,2020-03-31,18.0,27.0,,,6.0,0.0,28.0
134,Mono,2020-03-31,0.0,1.0,,,0.0,0.0,2.0
135,Riverside,2020-03-31,80.0,155.0,,,28.0,59.0,75.0
136,Tuolumne,2020-03-31,0.0,37.0,,,0.0,0.0,4.0
137,Sacramento,2020-03-31,53.0,110.0,,,20.0,31.0,66.0
138,Yuba,2020-03-31,2.0,21.0,,,2.0,4.0,6.0
139,Kern,2020-03-31,14.0,63.0,,,6.0,6.0,46.0
140,Lake,2020-03-31,0.0,4.0,,,0.0,2.0,3.0
141,Stanislaus,2020-03-31,20.0,31.0,,,9.0,1.0,34.0
142,Modoc,2020-03-31,0.0,19.0,,,0.0,0.0,
143,Madera,2020-03-31,1.0,3.0,,,1.0,0.0,5.0
144,Trinity,2020-03-31,0.0,0.0,,,0.0,0.0,
145,Sutter,2020-03-31,0.0,0.0,,,0.0,0.0,
146,Ventura,2020-03-31,21.0,90.0,,,5.0,24.0,12.0
147,Napa,2020-03-31,1.0,5.0,,,1.0,1.0,12.0
148,Del Norte,2020-03-31,0.0,4.0,,,0.0,0.0,3.0
149,Amador,2020-03-31,0.0,0.0,,,0.0,0.0,4.0
150,San Diego,2020-03-31,158.0,408.0,,,75.0,39.0,208.0
151,San Benito,2020-03-31,1.0,0.0,,,1.0,0.0,1.0
152,Shasta,2020-03-31,1.0,5.0,,,1.0,0.0,4.0
153,El Dorado,2020-03-31,10.0,9.0,,,0.0,6.0,12.0
154,Mendocino,2020-03-31,0.0,1.0,,,0.0,0.0,7.0
155,Butte,2020-03-31,4.0,20.0,,,2.0,3.0,2.0
156,Plumas,2020-03-31,0.0,0.0,,,0.0,0.0,
157,Sonoma,2020-03-31,8.0,18.0,,,3.0,3.0,21.0
158,Inyo,2020-03-31,,83.0,,,0.0,0.0,6.0
159,Imperial,2020-03-31,12.0,100.0,,,3.0,4.0,4.0
160,Santa Cruz,2020-03-31,1.0,10.0,,,1.0,2.0,7.0
161,Santa Barbara,2020-03-31,19.0,29.0,,,14.0,7.0,48.0
162,Colusa,2020-03-31,0.0,1.0,,,0.0,1.0,5.0
163,Alameda,2020-03-31,56.0,94.0,,,27.0,17.0,77.0
