,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,02/29/2020,1,11,0
1,03/01/2020,0,4,0
2,03/02/2020,0,22,0
3,03/03/2020,2,20,0
4,03/04/2020,5,22,0
5,03/05/2020,3,20,0
6,03/06/2020,8,18,0
7,03/07/2020,7,15,0
8,03/08/2020,21,18,0
9,03/09/2020,58,49,0
10,03/10/2020,70,63,0
11,03/11/2020,155,90,1
12,03/12/2020,357,92,0
13,03/13/2020,620,157,0
14,03/14/2020,644,159,2
15,03/15/2020,1037,189,5
16,03/16/2020,2123,316,8
17,03/17/2020,2455,359,8
18,03/18/2020,2985,472,21
19,03/19/2020,3714,559,24
20,03/20/2020,4015,665,47
21,03/21/2020,2640,700,44
22,03/22/2020,2582,725,50
23,03/23/2020,3571,1037,82
24,03/24/2020,4507,1152,95
25,03/25/2020,4864,1303,123
26,03/26/2020,5051,1454,190
27,03/27/2020,5128,1392,218
28,03/28/2020,3478,1364,273
29,03/29/2020,3561,1406,291
30,03/30/2020,6131,1716,328
31,03/31/2020,5473,1693,383
32,04/01/2020,5464,1587,447
33,04/02/2020,5768,1617,499
34,04/03/2020,5676,1601,498
35,04/04/2020,3869,1344,510
36,04/05/2020,3794,1328,581
37,04/06/2020,6378,1724,576
38,04/07/2020,6065,1605,597
39,04/08/2020,5586,1542,568
40,04/09/2020,5074,1429,560
41,04/10/2020,4520,1337,539
42,04/11/2020,3733,1097,543
43,04/12/2020,2888,996,573
44,04/13/2020,3311,1214,570
45,04/14/2020,4146,1088,512
46,04/15/2020,3876,982,454
47,04/16/2020,3525,883,413
48,04/17/2020,3580,903,384
49,04/18/2020,2169,661,391
50,04/19/2020,2346,595,399
51,04/20/2020,3787,721,364
52,04/21/2020,3062,660,322
53,04/22/2020,3460,599,312
54,04/23/2020,2843,534,332
55,04/24/2020,2539,550,316
56,04/25/2020,1595,403,265
57,04/26/2020,1002,375,247
58,04/27/2020,2289,442,271
59,04/28/2020,2728,441,228
60,04/29/2020,2340,407,240
61,04/30/2020,2020,343,222
62,05/01/2020,1886,348,209
63,05/02/2020,1057,261,192
64,05/03/2020,783,255,178
65,05/04/2020,1548,309,159
66,05/05/2020,1512,283,151
67,05/06/2020,1403,257,150
68,05/07/2020,1234,252,142
69,05/08/2020,1086,253,131
70,05/09/2020,659,182,100
71,05/10/2020,459,152,102
72,05/11/2020,1234,246,103
73,05/12/2020,1284,201,91
74,05/13/2020,1336,223,83
75,05/14/2020,1112,215,70
76,05/15/2020,874,228,86
77,05/16/2020,489,164,83
78,05/17/2020,360,122,77
79,05/18/2020,900,175,57
80,05/19/2020,1006,201,54
81,05/20/2020,1072,164,81
82,05/21/2020,1070,172,45
83,05/22/2020,1061,193,64
84,05/23/2020,464,129,60
85,05/24/2020,479,119,49
86,05/25/2020,467,139,49
87,05/26/2020,1054,149,37
88,05/27/2020,753,159,49
89,05/28/2020,637,139,38
90,05/29/2020,642,158,43
91,05/30/2020,349,95,53
92,05/31/2020,217,90,39
93,06/01/2020,666,124,34
94,06/02/2020,574,123,38
95,06/03/2020,513,115,42
96,06/04/2020,511,89,32
97,06/05/2020,409,64,26
98,06/06/2020,247,47,35
99,06/07/2020,198,45,24
100,06/08/2020,444,62,41
101,06/09/2020,425,50,32
102,06/10/2020,367,45,31
103,06/11/2020,355,41,21
104,06/12/2020,409,54,23
105,06/13/2020,196,29,14
106,06/14/2020,185,42,24
107,06/15/2020,376,48,20
108,06/16/2020,420,48,19
109,06/17/2020,350,41,20
110,06/18/2020,371,40,17
111,06/19/2020,353,40,17
112,06/20/2020,204,27,18
113,06/21/2020,173,33,28
114,06/22/2020,392,41,25
115,06/23/2020,376,42,27
116,06/24/2020,378,37,25
117,06/25/2020,296,36,19
118,06/26/2020,311,35,20
119,06/27/2020,204,36,21
120,06/28/2020,198,31,19
121,06/29/2020,439,39,25
122,06/30/2020,443,37,24
123,07/01/2020,396,30,12
124,07/02/2020,413,30,27
125,07/03/2020,226,24,23
126,07/04/2020,118,23,14
127,07/05/2020,153,24,16
128,07/06/2020,381,42,19
129,07/07/2020,356,42,13
130,07/08/2020,337,31,20
131,07/09/2020,291,39,9
132,07/10/2020,220,39,9
133,07/11/2020,183,28,12
134,07/12/2020,136,19,9
135,07/13/2020,308,45,13
136,07/14/2020,232,33,7
137,07/15/2020,192,22,5
138,07/16/2020,165,19,3
139,07/17/2020,81,5,0
140,07/18/2020,2,0,0
