,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,02/29/2020,1,14,0
1,03/01/2020,1,4,0
2,03/02/2020,0,22,0
3,03/03/2020,2,20,0
4,03/04/2020,5,22,0
5,03/05/2020,3,21,0
6,03/06/2020,7,22,0
7,03/07/2020,7,15,0
8,03/08/2020,21,17,0
9,03/09/2020,57,51,0
10,03/10/2020,70,66,0
11,03/11/2020,154,86,1
12,03/12/2020,356,93,0
13,03/13/2020,620,148,0
14,03/14/2020,643,161,2
15,03/15/2020,1033,192,5
16,03/16/2020,2123,307,9
17,03/17/2020,2454,354,8
18,03/18/2020,2977,468,20
19,03/19/2020,3707,553,24
20,03/20/2020,4010,665,46
21,03/21/2020,2635,691,44
22,03/22/2020,2575,725,50
23,03/23/2020,3558,1045,82
24,03/24/2020,4495,1160,95
25,03/25/2020,4834,1293,121
26,03/26/2020,5023,1430,187
27,03/27/2020,5092,1383,213
28,03/28/2020,3456,1337,264
29,03/29/2020,3523,1390,288
30,03/30/2020,6101,1696,322
31,03/31/2020,5428,1631,372
32,04/01/2020,5432,1541,428
33,04/02/2020,5753,1602,486
34,04/03/2020,5647,1599,481
35,04/04/2020,3848,1335,488
36,04/05/2020,3769,1328,561
37,04/06/2020,6353,1685,563
38,04/07/2020,6049,1558,587
39,04/08/2020,5552,1510,543
40,04/09/2020,5029,1388,533
41,04/10/2020,4430,1303,514
42,04/11/2020,3707,1064,521
43,04/12/2020,2866,959,550
44,04/13/2020,3287,1201,549
45,04/14/2020,4120,1053,499
46,04/15/2020,3868,978,437
47,04/16/2020,3518,862,398
48,04/17/2020,3568,898,360
49,04/18/2020,2163,657,362
50,04/19/2020,2347,593,371
51,04/20/2020,3769,717,340
52,04/21/2020,3060,659,302
53,04/22/2020,3459,603,294
54,04/23/2020,2831,519,306
55,04/24/2020,2462,568,297
56,04/25/2020,1589,405,237
57,04/26/2020,1008,370,225
58,04/27/2020,2304,454,249
59,04/28/2020,2713,447,209
60,04/29/2020,2334,408,218
61,04/30/2020,2003,329,200
62,05/01/2020,1865,357,194
63,05/02/2020,1048,274,179
64,05/03/2020,777,243,161
65,05/04/2020,1544,281,140
66,05/05/2020,1509,258,129
67,05/06/2020,1399,248,126
68,05/07/2020,1240,225,115
69,05/08/2020,1085,225,109
70,05/09/2020,668,157,89
71,05/10/2020,459,129,77
72,05/11/2020,1219,215,90
73,05/12/2020,1263,113,72
74,05/13/2020,1304,101,54
75,05/14/2020,934,83,38
76,05/15/2020,638,39,29
77,05/16/2020,283,2,19
78,05/17/2020,25,0,3
