,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,02/29/2020,1,11,0
1,03/01/2020,0,4,0
2,03/02/2020,0,22,0
3,03/03/2020,2,20,0
4,03/04/2020,5,22,0
5,03/05/2020,3,20,0
6,03/06/2020,8,18,0
7,03/07/2020,7,15,0
8,03/08/2020,21,18,0
9,03/09/2020,58,49,0
10,03/10/2020,70,63,0
11,03/11/2020,155,90,1
12,03/12/2020,357,92,0
13,03/13/2020,620,157,0
14,03/14/2020,644,159,2
15,03/15/2020,1037,189,5
16,03/16/2020,2123,317,8
17,03/17/2020,2455,359,8
18,03/18/2020,2984,472,21
19,03/19/2020,3714,559,24
20,03/20/2020,4015,665,47
21,03/21/2020,2640,700,44
22,03/22/2020,2582,725,50
23,03/23/2020,3571,1037,82
24,03/24/2020,4507,1153,95
25,03/25/2020,4865,1303,123
26,03/26/2020,5051,1454,190
27,03/27/2020,5128,1392,218
28,03/28/2020,3477,1364,273
29,03/29/2020,3560,1406,292
30,03/30/2020,6131,1717,327
31,03/31/2020,5473,1695,384
32,04/01/2020,5465,1588,447
33,04/02/2020,5768,1618,498
34,04/03/2020,5676,1601,498
35,04/04/2020,3869,1344,510
36,04/05/2020,3794,1328,581
37,04/06/2020,6378,1724,576
38,04/07/2020,6065,1605,597
39,04/08/2020,5585,1541,568
40,04/09/2020,5074,1429,561
41,04/10/2020,4521,1336,539
42,04/11/2020,3733,1097,543
43,04/12/2020,2889,995,573
44,04/13/2020,3311,1214,571
45,04/14/2020,4147,1088,512
46,04/15/2020,3876,982,454
47,04/16/2020,3524,882,413
48,04/17/2020,3580,903,384
49,04/18/2020,2169,662,391
50,04/19/2020,2346,594,399
51,04/20/2020,3787,721,364
52,04/21/2020,3062,660,323
53,04/22/2020,3460,598,312
54,04/23/2020,2843,533,332
55,04/24/2020,2539,550,316
56,04/25/2020,1595,403,265
57,04/26/2020,1002,375,247
58,04/27/2020,2290,442,271
59,04/28/2020,2727,441,228
60,04/29/2020,2339,407,240
61,04/30/2020,2020,343,222
62,05/01/2020,1886,348,209
63,05/02/2020,1057,261,192
64,05/03/2020,783,255,178
65,05/04/2020,1548,309,159
66,05/05/2020,1513,283,151
67,05/06/2020,1399,257,150
68,05/07/2020,1231,252,142
69,05/08/2020,1086,253,131
70,05/09/2020,656,182,100
71,05/10/2020,457,152,102
72,05/11/2020,1216,245,103
73,05/12/2020,1253,201,91
74,05/13/2020,1317,223,83
75,05/14/2020,1092,214,70
76,05/15/2020,853,228,86
77,05/16/2020,481,164,83
78,05/17/2020,351,122,77
79,05/18/2020,882,175,57
80,05/19/2020,983,199,54
81,05/20/2020,1060,163,81
82,05/21/2020,1062,171,45
83,05/22/2020,1057,193,64
84,05/23/2020,464,129,60
85,05/24/2020,480,119,49
86,05/25/2020,467,139,49
87,05/26/2020,1055,149,37
88,05/27/2020,753,159,49
89,05/28/2020,637,139,38
90,05/29/2020,643,158,43
91,05/30/2020,349,95,53
92,05/31/2020,217,90,39
93,06/01/2020,666,124,34
94,06/02/2020,575,123,38
95,06/03/2020,513,115,42
96,06/04/2020,511,89,32
97,06/05/2020,409,64,27
98,06/06/2020,247,47,35
99,06/07/2020,198,46,24
100,06/08/2020,445,62,41
101,06/09/2020,424,50,33
102,06/10/2020,367,45,31
103,06/11/2020,357,41,21
104,06/12/2020,411,54,23
105,06/13/2020,196,29,14
106,06/14/2020,185,42,24
107,06/15/2020,376,48,20
108,06/16/2020,423,49,19
109,06/17/2020,351,41,20
110,06/18/2020,371,39,17
111,06/19/2020,354,40,17
112,06/20/2020,204,27,19
113,06/21/2020,175,33,28
114,06/22/2020,393,41,25
115,06/23/2020,377,42,27
116,06/24/2020,380,37,25
117,06/25/2020,297,37,19
118,06/26/2020,311,34,20
119,06/27/2020,206,37,21
120,06/28/2020,199,32,19
121,06/29/2020,439,39,25
122,06/30/2020,443,37,24
123,07/01/2020,397,30,12
124,07/02/2020,413,31,25
125,07/03/2020,228,24,23
126,07/04/2020,118,22,14
127,07/05/2020,151,24,16
128,07/06/2020,432,42,19
129,07/07/2020,453,41,13
130,07/08/2020,436,30,20
131,07/09/2020,387,40,10
132,07/10/2020,294,36,9
133,07/11/2020,223,30,13
134,07/12/2020,188,18,11
135,07/13/2020,375,44,16
136,07/14/2020,292,33,9
137,07/15/2020,282,21,13
138,07/16/2020,263,31,9
139,07/17/2020,279,42,9
140,07/18/2020,127,25,7
141,07/19/2020,90,27,3
142,07/20/2020,207,30,7
143,07/21/2020,132,18,9
144,07/22/2020,73,5,2
145,07/23/2020,12,0,0
