,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG,INCOMPLETE
0,02/29/2020,1,11,0,,
1,03/01/2020,0,4,0,,
2,03/02/2020,0,21,0,,
3,03/03/2020,2,20,0,,
4,03/04/2020,5,22,0,,
5,03/05/2020,3,20,0,,
6,03/06/2020,8,18,0,3.0,
7,03/07/2020,7,15,0,4.0,
8,03/08/2020,21,18,0,7.0,
9,03/09/2020,58,49,0,15.0,
10,03/10/2020,70,63,0,25.0,
11,03/11/2020,155,91,1,46.0,
12,03/12/2020,357,92,0,97.0,
13,03/13/2020,621,157,0,184.0,
14,03/14/2020,644,159,2,275.0,
15,03/15/2020,1037,189,5,420.0,
16,03/16/2020,2124,317,8,715.0,
17,03/17/2020,2455,359,8,1056.0,
18,03/18/2020,2984,472,21,1460.0,
19,03/19/2020,3715,558,24,1940.0,
20,03/20/2020,4014,665,47,2425.0,
21,03/21/2020,2640,700,44,2710.0,
22,03/22/2020,2580,727,50,2930.0,
23,03/23/2020,3572,1036,82,3137.0,
24,03/24/2020,4507,1155,95,3430.0,
25,03/25/2020,4865,1303,123,3699.0,
26,03/26/2020,5052,1452,190,3890.0,
27,03/27/2020,5133,1393,218,4050.0,
28,03/28/2020,3478,1365,274,4170.0,
29,03/29/2020,3562,1408,292,4310.0,
30,03/30/2020,6136,1718,326,4676.0,
31,03/31/2020,5473,1697,384,4814.0,
32,04/01/2020,5465,1595,448,4900.0,
33,04/02/2020,5770,1618,499,5002.0,
34,04/03/2020,5676,1602,498,5080.0,
35,04/04/2020,3870,1345,510,5136.0,
36,04/05/2020,3796,1329,580,5169.0,
37,04/06/2020,6378,1723,576,5204.0,
38,04/07/2020,6066,1604,598,5289.0,
39,04/08/2020,5592,1541,569,5307.0,
40,04/09/2020,5075,1427,561,5208.0,
41,04/10/2020,4520,1337,539,5042.0,
42,04/11/2020,3733,1099,543,5023.0,
43,04/12/2020,2890,995,573,4893.0,
44,04/13/2020,3311,1213,571,4455.0,
45,04/14/2020,4148,1088,512,4181.0,
46,04/15/2020,3878,981,455,3936.0,
47,04/16/2020,3530,883,414,3716.0,
48,04/17/2020,3584,902,384,3582.0,
49,04/18/2020,2173,665,392,3359.0,
50,04/19/2020,2346,593,399,3281.0,
51,04/20/2020,3794,725,364,3350.0,
52,04/21/2020,3065,661,323,3196.0,
53,04/22/2020,3462,599,312,3136.0,
54,04/23/2020,2844,532,332,3038.0,
55,04/24/2020,2538,550,316,2889.0,
56,04/25/2020,1595,403,265,2806.0,
57,04/26/2020,1003,375,247,2614.0,
58,04/27/2020,2298,444,271,2401.0,
59,04/28/2020,2731,445,228,2353.0,
60,04/29/2020,2342,408,240,2193.0,
61,04/30/2020,2024,345,223,2076.0,
62,05/01/2020,1889,353,209,1983.0,
63,05/02/2020,1060,261,192,1907.0,
64,05/03/2020,785,256,178,1876.0,
65,05/04/2020,1551,312,159,1769.0,
66,05/05/2020,1513,283,151,1595.0,
67,05/06/2020,1402,262,150,1461.0,
68,05/07/2020,1235,259,142,1348.0,
69,05/08/2020,1081,257,131,1232.0,
70,05/09/2020,657,185,100,1175.0,
71,05/10/2020,458,158,103,1128.0,
72,05/11/2020,1233,247,103,1083.0,
73,05/12/2020,1285,211,91,1050.0,
74,05/13/2020,1337,230,83,1041.0,
75,05/14/2020,1112,220,70,1023.0,
76,05/15/2020,875,234,86,994.0,
77,05/16/2020,488,164,83,970.0,
78,05/17/2020,359,125,77,956.0,
79,05/18/2020,900,178,57,908.0,
80,05/19/2020,1004,205,54,868.0,
81,05/20/2020,1075,171,81,830.0,
82,05/21/2020,1072,174,45,825.0,
83,05/22/2020,1061,197,64,851.0,
84,05/23/2020,465,134,60,848.0,
85,05/24/2020,479,120,49,865.0,
86,05/25/2020,469,141,49,804.0,
87,05/26/2020,1055,153,37,811.0,
88,05/27/2020,751,161,49,765.0,
89,05/28/2020,639,140,38,703.0,
90,05/29/2020,645,170,43,643.0,
91,05/30/2020,349,99,54,627.0,
92,05/31/2020,217,90,39,589.0,
93,06/01/2020,665,124,34,617.0,
94,06/02/2020,575,124,38,549.0,
95,06/03/2020,516,116,42,515.0,
96,06/04/2020,513,90,32,497.0,
97,06/05/2020,409,65,28,463.0,
98,06/06/2020,248,46,35,449.0,
99,06/07/2020,199,48,24,446.0,
100,06/08/2020,445,62,41,415.0,
101,06/09/2020,422,51,34,393.0,
102,06/10/2020,365,45,31,372.0,
103,06/11/2020,359,41,21,350.0,
104,06/12/2020,412,55,23,350.0,
105,06/13/2020,197,28,14,343.0,
106,06/14/2020,184,43,24,341.0,
107,06/15/2020,379,49,20,331.0,
108,06/16/2020,425,50,19,332.0,
109,06/17/2020,356,41,20,330.0,
110,06/18/2020,371,39,17,332.0,
111,06/19/2020,361,41,17,325.0,
112,06/20/2020,205,26,19,326.0,
113,06/21/2020,176,34,28,325.0,
114,06/22/2020,394,44,25,327.0,
115,06/23/2020,382,42,27,321.0,
116,06/24/2020,383,37,25,325.0,
117,06/25/2020,297,37,19,314.0,
118,06/26/2020,313,34,20,307.0,
119,06/27/2020,209,37,21,308.0,
120,06/28/2020,201,31,19,311.0,
121,06/29/2020,438,38,25,318.0,
122,06/30/2020,446,37,24,327.0,
123,07/01/2020,398,29,12,329.0,
124,07/02/2020,413,30,25,345.0,
125,07/03/2020,230,22,24,334.0,
126,07/04/2020,119,22,14,321.0,
127,07/05/2020,154,24,17,314.0,
128,07/06/2020,437,43,17,314.0,
129,07/07/2020,462,41,13,316.0,
130,07/08/2020,438,33,20,322.0,
131,07/09/2020,392,42,10,319.0,
132,07/10/2020,311,35,10,330.0,
133,07/11/2020,255,30,13,350.0,
134,07/12/2020,222,18,11,360.0,
135,07/13/2020,480,46,17,366.0,
136,07/14/2020,398,32,10,357.0,
137,07/15/2020,435,26,14,356.0,
138,07/16/2020,411,31,10,359.0,
139,07/17/2020,418,48,14,374.0,
140,07/18/2020,217,29,11,369.0,
141,07/19/2020,174,32,7,362.0,
142,07/20/2020,394,32,11,350.0,
143,07/21/2020,337,22,12,341.0,
144,07/22/2020,326,31,8,325.0,
145,07/23/2020,301,31,9,310.0,
146,07/24/2020,301,34,6,293.0,
147,07/25/2020,153,29,11,284.0,
148,07/26/2020,138,19,8,279.0,
149,07/27/2020,320,42,5,268.0,
150,07/28/2020,309,35,12,264.0,
151,07/29/2020,287,23,5,258.0,
152,07/30/2020,268,31,4,254.0,
153,07/31/2020,259,25,4,248.0,
154,08/01/2020,186,21,8,252.0,
155,08/02/2020,136,28,2,252.0,
