,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,02/29/2020,1,14,0
1,03/01/2020,1,4,0
2,03/02/2020,0,23,0
3,03/03/2020,2,22,0
4,03/04/2020,5,22,0
5,03/05/2020,3,21,0
6,03/06/2020,8,23,0
7,03/07/2020,7,16,0
8,03/08/2020,21,17,0
9,03/09/2020,58,52,0
10,03/10/2020,70,65,0
11,03/11/2020,155,86,1
12,03/12/2020,357,90,0
13,03/13/2020,620,148,0
14,03/14/2020,642,158,2
15,03/15/2020,1033,193,5
16,03/16/2020,2122,308,9
17,03/17/2020,2457,353,8
18,03/18/2020,2980,463,20
19,03/19/2020,3713,552,24
20,03/20/2020,4014,660,46
21,03/21/2020,2639,686,45
22,03/22/2020,2580,724,50
23,03/23/2020,3567,1033,82
24,03/24/2020,4497,1142,94
25,03/25/2020,4839,1296,121
26,03/26/2020,5023,1422,186
27,03/27/2020,5095,1378,212
28,03/28/2020,3458,1337,265
29,03/29/2020,3524,1381,287
30,03/30/2020,6111,1691,321
31,03/31/2020,5431,1627,372
32,04/01/2020,5432,1534,431
33,04/02/2020,5753,1592,486
34,04/03/2020,5656,1595,482
35,04/04/2020,3855,1329,488
36,04/05/2020,3772,1317,564
37,04/06/2020,6361,1686,564
38,04/07/2020,6051,1561,590
39,04/08/2020,5562,1512,544
40,04/09/2020,5035,1390,534
41,04/10/2020,4495,1306,517
42,04/11/2020,3710,1071,523
43,04/12/2020,2870,967,555
44,04/13/2020,3297,1192,550
45,04/14/2020,4131,1057,503
46,04/15/2020,3866,961,437
47,04/16/2020,3515,850,398
48,04/17/2020,3574,895,366
49,04/18/2020,2162,643,361
50,04/19/2020,2349,588,372
51,04/20/2020,3776,710,346
52,04/21/2020,3055,647,306
53,04/22/2020,3458,594,299
54,04/23/2020,2844,515,307
55,04/24/2020,2537,553,297
56,04/25/2020,1593,402,239
57,04/26/2020,1006,376,230
58,04/27/2020,2307,438,254
59,04/28/2020,2722,439,216
60,04/29/2020,2341,400,227
61,04/30/2020,2014,330,206
62,05/01/2020,1881,346,200
63,05/02/2020,1056,268,184
64,05/03/2020,782,252,166
65,05/04/2020,1548,288,146
66,05/05/2020,1508,264,139
67,05/06/2020,1402,253,136
68,05/07/2020,1238,230,129
69,05/08/2020,1086,243,120
70,05/09/2020,670,161,98
71,05/10/2020,460,140,88
72,05/11/2020,1233,242,97
73,05/12/2020,1284,201,84
74,05/13/2020,1332,198,71
75,05/14/2020,1109,185,61
76,05/15/2020,869,191,82
77,05/16/2020,486,139,71
78,05/17/2020,360,109,66
79,05/18/2020,902,142,44
80,05/19/2020,993,167,48
81,05/20/2020,968,80,63
82,05/21/2020,961,76,33
83,05/22/2020,887,104,43
84,05/23/2020,346,54,37
85,05/24/2020,358,60,24
86,05/25/2020,220,45,13
87,05/26/2020,165,19,6
88,05/27/2020,19,0,0
