,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,02/29/2020,1,14,0
1,03/01/2020,1,4,0
2,03/02/2020,0,23,0
3,03/03/2020,2,22,0
4,03/04/2020,5,22,0
5,03/05/2020,3,21,0
6,03/06/2020,8,23,0
7,03/07/2020,7,16,0
8,03/08/2020,21,17,0
9,03/09/2020,57,52,0
10,03/10/2020,70,65,0
11,03/11/2020,155,86,1
12,03/12/2020,357,90,0
13,03/13/2020,620,148,0
14,03/14/2020,642,158,2
15,03/15/2020,1033,192,5
16,03/16/2020,2122,307,9
17,03/17/2020,2456,354,8
18,03/18/2020,2979,464,20
19,03/19/2020,3712,550,24
20,03/20/2020,4012,661,46
21,03/21/2020,2638,688,44
22,03/22/2020,2577,726,50
23,03/23/2020,3567,1032,82
24,03/24/2020,4496,1144,95
25,03/25/2020,4838,1297,121
26,03/26/2020,5023,1420,187
27,03/27/2020,5095,1382,213
28,03/28/2020,3455,1339,265
29,03/29/2020,3522,1384,287
30,03/30/2020,6101,1692,322
31,03/31/2020,5426,1629,372
32,04/01/2020,5431,1537,430
33,04/02/2020,5753,1593,486
34,04/03/2020,5650,1596,482
35,04/04/2020,3854,1331,487
36,04/05/2020,3772,1315,562
37,04/06/2020,6353,1689,564
38,04/07/2020,6048,1564,590
39,04/08/2020,5557,1514,543
40,04/09/2020,5027,1388,534
41,04/10/2020,4489,1307,516
42,04/11/2020,3706,1074,522
43,04/12/2020,2867,965,552
44,04/13/2020,3291,1193,549
45,04/14/2020,4124,1058,501
46,04/15/2020,3866,964,437
47,04/16/2020,3516,852,399
48,04/17/2020,3572,893,364
49,04/18/2020,2162,644,361
50,04/19/2020,2347,589,372
51,04/20/2020,3775,711,345
52,04/21/2020,3055,649,304
53,04/22/2020,3458,593,294
54,04/23/2020,2844,516,307
55,04/24/2020,2540,559,298
56,04/25/2020,1594,402,238
57,04/26/2020,1006,377,230
58,04/27/2020,2307,444,252
59,04/28/2020,2716,440,215
60,04/29/2020,2336,402,227
61,04/30/2020,2012,330,205
62,05/01/2020,1871,348,199
63,05/02/2020,1054,269,183
64,05/03/2020,778,250,166
65,05/04/2020,1547,292,143
66,05/05/2020,1506,264,139
67,05/06/2020,1402,251,134
68,05/07/2020,1239,234,125
69,05/08/2020,1086,242,116
70,05/09/2020,672,162,94
71,05/10/2020,462,139,84
72,05/11/2020,1234,241,96
73,05/12/2020,1286,201,81
74,05/13/2020,1330,199,68
75,05/14/2020,1101,187,58
76,05/15/2020,865,193,73
77,05/16/2020,485,138,59
78,05/17/2020,358,109,59
79,05/18/2020,798,141,32
80,05/19/2020,820,158,38
81,05/20/2020,533,63,37
82,05/21/2020,185,22,15
83,05/22/2020,26,0,0
