,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,02/29/2020,1,14,0
1,03/01/2020,1,4,0
2,03/02/2020,0,23,0
3,03/03/2020,2,22,0
4,03/04/2020,5,22,0
5,03/05/2020,3,21,0
6,03/06/2020,8,23,0
7,03/07/2020,7,16,0
8,03/08/2020,21,17,0
9,03/09/2020,58,52,0
10,03/10/2020,70,65,0
11,03/11/2020,155,87,1
12,03/12/2020,357,90,0
13,03/13/2020,620,148,0
14,03/14/2020,642,158,2
15,03/15/2020,1033,192,5
16,03/16/2020,2122,309,9
17,03/17/2020,2457,353,8
18,03/18/2020,2980,464,20
19,03/19/2020,3712,551,24
20,03/20/2020,4013,662,46
21,03/21/2020,2639,687,45
22,03/22/2020,2580,724,50
23,03/23/2020,3567,1033,82
24,03/24/2020,4497,1142,94
25,03/25/2020,4840,1297,120
26,03/26/2020,5025,1423,186
27,03/27/2020,5097,1380,212
28,03/28/2020,3458,1337,265
29,03/29/2020,3526,1384,286
30,03/30/2020,6114,1691,321
31,03/31/2020,5433,1628,372
32,04/01/2020,5436,1545,431
33,04/02/2020,5753,1592,486
34,04/03/2020,5659,1600,482
35,04/04/2020,3856,1330,488
36,04/05/2020,3776,1322,565
37,04/06/2020,6368,1694,564
38,04/07/2020,6053,1567,590
39,04/08/2020,5563,1521,544
40,04/09/2020,5039,1402,534
41,04/10/2020,4498,1317,517
42,04/11/2020,3710,1079,523
43,04/12/2020,2870,979,555
44,04/13/2020,3300,1205,550
45,04/14/2020,4131,1065,503
46,04/15/2020,3866,971,436
47,04/16/2020,3517,857,399
48,04/17/2020,3574,895,366
49,04/18/2020,2164,648,360
50,04/19/2020,2349,592,373
51,04/20/2020,3776,717,348
52,04/21/2020,3055,648,306
53,04/22/2020,3458,597,298
54,04/23/2020,2844,517,307
55,04/24/2020,2537,555,297
56,04/25/2020,1593,405,239
57,04/26/2020,1006,376,231
58,04/27/2020,2307,443,255
59,04/28/2020,2723,441,217
60,04/29/2020,2341,405,228
61,04/30/2020,2016,334,206
62,05/01/2020,1881,343,201
63,05/02/2020,1057,270,186
64,05/03/2020,782,253,166
65,05/04/2020,1548,289,148
66,05/05/2020,1508,264,140
67,05/06/2020,1402,255,136
68,05/07/2020,1238,234,129
69,05/08/2020,1086,248,120
70,05/09/2020,671,164,99
71,05/10/2020,460,140,90
72,05/11/2020,1232,241,97
73,05/12/2020,1286,202,85
74,05/13/2020,1332,202,72
75,05/14/2020,1109,183,63
76,05/15/2020,869,201,83
77,05/16/2020,489,140,72
78,05/17/2020,363,114,67
79,05/18/2020,904,142,46
80,05/19/2020,995,175,50
81,05/20/2020,1029,91,72
82,05/21/2020,1022,82,38
83,05/22/2020,986,110,50
84,05/23/2020,444,61,47
85,05/24/2020,459,75,36
86,05/25/2020,438,63,27
87,05/26/2020,684,81,23
88,05/27/2020,324,40,12
89,05/28/2020,108,5,8
90,05/29/2020,6,0,0
