,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,02/29/2020,1,11,0
1,03/01/2020,0,4,0
2,03/02/2020,0,21,0
3,03/03/2020,2,20,0
4,03/04/2020,5,22,0
5,03/05/2020,3,20,0
6,03/06/2020,8,18,0
7,03/07/2020,7,15,0
8,03/08/2020,21,18,0
9,03/09/2020,58,49,0
10,03/10/2020,70,63,0
11,03/11/2020,155,91,1
12,03/12/2020,357,92,0
13,03/13/2020,621,157,0
14,03/14/2020,644,159,2
15,03/15/2020,1037,189,5
16,03/16/2020,2124,317,8
17,03/17/2020,2455,359,8
18,03/18/2020,2984,472,21
19,03/19/2020,3715,558,24
20,03/20/2020,4014,665,47
21,03/21/2020,2640,700,44
22,03/22/2020,2580,727,50
23,03/23/2020,3572,1036,82
24,03/24/2020,4507,1155,95
25,03/25/2020,4865,1303,123
26,03/26/2020,5051,1452,190
27,03/27/2020,5132,1393,218
28,03/28/2020,3478,1365,274
29,03/29/2020,3561,1408,292
30,03/30/2020,6136,1718,326
31,03/31/2020,5473,1697,384
32,04/01/2020,5465,1595,448
33,04/02/2020,5770,1618,499
34,04/03/2020,5676,1602,498
35,04/04/2020,3870,1345,510
36,04/05/2020,3796,1329,580
37,04/06/2020,6377,1724,576
38,04/07/2020,6066,1604,598
39,04/08/2020,5589,1541,569
40,04/09/2020,5075,1429,561
41,04/10/2020,4520,1337,539
42,04/11/2020,3733,1099,543
43,04/12/2020,2890,995,573
44,04/13/2020,3311,1213,571
45,04/14/2020,4148,1088,512
46,04/15/2020,3878,981,455
47,04/16/2020,3530,883,414
48,04/17/2020,3584,903,384
49,04/18/2020,2173,665,392
50,04/19/2020,2346,593,399
51,04/20/2020,3794,725,364
52,04/21/2020,3065,661,323
53,04/22/2020,3462,599,312
54,04/23/2020,2844,532,332
55,04/24/2020,2538,550,316
56,04/25/2020,1595,403,265
57,04/26/2020,1003,375,247
58,04/27/2020,2298,444,271
59,04/28/2020,2731,445,228
60,04/29/2020,2342,408,240
61,04/30/2020,2024,345,223
62,05/01/2020,1889,353,209
63,05/02/2020,1060,261,192
64,05/03/2020,785,256,178
65,05/04/2020,1551,312,159
66,05/05/2020,1513,283,151
67,05/06/2020,1402,262,150
68,05/07/2020,1235,259,142
69,05/08/2020,1081,257,131
70,05/09/2020,657,185,100
71,05/10/2020,458,158,103
72,05/11/2020,1233,247,103
73,05/12/2020,1285,211,91
74,05/13/2020,1337,230,83
75,05/14/2020,1112,220,70
76,05/15/2020,875,234,86
77,05/16/2020,488,164,83
78,05/17/2020,359,125,77
79,05/18/2020,900,178,57
80,05/19/2020,1004,205,54
81,05/20/2020,1072,171,81
82,05/21/2020,1071,175,45
83,05/22/2020,1060,197,64
84,05/23/2020,465,134,60
85,05/24/2020,479,120,49
86,05/25/2020,469,141,49
87,05/26/2020,1055,153,37
88,05/27/2020,753,161,49
89,05/28/2020,640,140,38
90,05/29/2020,645,170,43
91,05/30/2020,349,99,54
92,05/31/2020,217,90,39
93,06/01/2020,665,124,34
94,06/02/2020,576,124,38
95,06/03/2020,516,116,42
96,06/04/2020,514,90,32
97,06/05/2020,409,65,28
98,06/06/2020,248,46,35
99,06/07/2020,199,48,24
100,06/08/2020,445,62,41
101,06/09/2020,422,51,34
102,06/10/2020,366,45,31
103,06/11/2020,357,41,21
104,06/12/2020,412,55,23
105,06/13/2020,197,28,14
106,06/14/2020,184,43,24
107,06/15/2020,379,49,20
108,06/16/2020,426,50,19
109,06/17/2020,356,41,20
110,06/18/2020,371,39,17
111,06/19/2020,360,41,17
112,06/20/2020,205,26,19
113,06/21/2020,176,34,28
114,06/22/2020,394,44,25
115,06/23/2020,382,42,27
116,06/24/2020,383,37,25
117,06/25/2020,297,37,19
118,06/26/2020,313,34,20
119,06/27/2020,209,37,21
120,06/28/2020,201,31,19
121,06/29/2020,440,38,25
122,06/30/2020,446,37,24
123,07/01/2020,399,29,12
124,07/02/2020,414,30,25
125,07/03/2020,230,22,24
126,07/04/2020,119,22,14
127,07/05/2020,154,24,17
128,07/06/2020,437,43,17
129,07/07/2020,462,41,13
130,07/08/2020,438,33,20
131,07/09/2020,392,42,10
132,07/10/2020,311,35,10
133,07/11/2020,255,29,13
134,07/12/2020,222,18,11
135,07/13/2020,480,46,17
136,07/14/2020,398,32,10
137,07/15/2020,435,26,14
138,07/16/2020,411,31,10
139,07/17/2020,417,48,14
140,07/18/2020,217,29,11
141,07/19/2020,175,32,7
142,07/20/2020,393,32,11
143,07/21/2020,337,22,12
144,07/22/2020,326,31,8
145,07/23/2020,301,31,9
146,07/24/2020,301,34,6
147,07/25/2020,153,29,11
148,07/26/2020,138,19,8
149,07/27/2020,321,42,5
150,07/28/2020,309,35,12
151,07/29/2020,287,24,5
152,07/30/2020,268,31,4
153,07/31/2020,258,25,4
154,08/01/2020,186,21,8
155,08/02/2020,136,30,2
156,08/03/2020,351,28,3
157,08/04/2020,187,32,5
158,08/05/2020,295,27,7
159,08/06/2020,300,32,4
160,08/07/2020,258,19,5
161,08/08/2020,154,18,4
162,08/09/2020,124,24,3
163,08/10/2020,251,26,6
164,08/11/2020,205,17,5
165,08/12/2020,207,23,2
166,08/13/2020,141,14,0
167,08/14/2020,73,3,1
168,08/15/2020,14,0,0
