,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG,INCOMPLETE
149,07/27/2020,322,43,5,269.0,
150,07/28/2020,313,35,12,266.0,
151,07/29/2020,285,23,5,260.0,
152,07/30/2020,268,32,4,254.0,
153,07/31/2020,258,27,5,248.0,
154,08/01/2020,185,21,8,253.0,
155,08/02/2020,133,29,2,252.0,
156,08/03/2020,352,29,3,256.0,
157,08/04/2020,187,31,6,238.0,
158,08/05/2020,314,26,8,242.0,
159,08/06/2020,308,32,4,248.0,
160,08/07/2020,268,19,5,250.0,
161,08/08/2020,152,18,6,245.0,
162,08/09/2020,133,24,3,245.0,
163,08/10/2020,303,27,6,238.0,
164,08/11/2020,261,17,6,248.0,
165,08/12/2020,317,25,2,249.0,
166,08/13/2020,261,32,3,242.0,
167,08/14/2020,271,31,3,243.0,
168,08/15/2020,149,20,7,242.0,
169,08/16/2020,139,21,5,243.0,
170,08/17/2020,318,26,5,245.0,
171,08/18/2020,267,33,2,246.0,
172,08/19/2020,246,24,3,236.0,6000.0
173,08/20/2020,195,23,2,226.0,6000.0
174,08/21/2020,200,27,2,216.0,6000.0
175,08/22/2020,70,12,5,205.0,6000.0
176,08/23/2020,62,11,3,194.0,6000.0
177,08/24/2020,77,1,2,160.0,6000.0
178,08/25/2020,8,0,0,123.0,6000.0
