,DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0,02/29/2020,1,14,0
1,03/01/2020,1,4,0
2,03/02/2020,0,23,0
3,03/03/2020,2,22,0
4,03/04/2020,5,22,0
5,03/05/2020,3,21,0
6,03/06/2020,7,23,0
7,03/07/2020,7,16,0
8,03/08/2020,21,17,0
9,03/09/2020,57,52,0
10,03/10/2020,70,66,0
11,03/11/2020,154,86,1
12,03/12/2020,355,91,0
13,03/13/2020,620,147,0
14,03/14/2020,643,159,2
15,03/15/2020,1033,191,5
16,03/16/2020,2123,306,9
17,03/17/2020,2454,356,8
18,03/18/2020,2977,466,20
19,03/19/2020,3709,552,24
20,03/20/2020,4016,663,46
21,03/21/2020,2638,688,44
22,03/22/2020,2579,727,50
23,03/23/2020,3562,1043,82
24,03/24/2020,4496,1152,95
25,03/25/2020,4834,1296,121
26,03/26/2020,5022,1424,187
27,03/27/2020,5093,1382,213
28,03/28/2020,3456,1340,264
29,03/29/2020,3524,1388,288
30,03/30/2020,6102,1696,322
31,03/31/2020,5429,1633,372
32,04/01/2020,5432,1543,429
33,04/02/2020,5753,1604,487
34,04/03/2020,5646,1605,481
35,04/04/2020,3848,1335,489
36,04/05/2020,3769,1322,561
37,04/06/2020,6353,1693,563
38,04/07/2020,6050,1568,590
39,04/08/2020,5556,1526,543
40,04/09/2020,5029,1396,533
41,04/10/2020,4432,1309,514
42,04/11/2020,3707,1079,521
43,04/12/2020,2866,972,550
44,04/13/2020,3288,1205,551
45,04/14/2020,4120,1062,499
46,04/15/2020,3868,976,437
47,04/16/2020,3518,858,400
48,04/17/2020,3568,897,361
49,04/18/2020,2163,652,361
50,04/19/2020,2347,593,372
51,04/20/2020,3771,719,344
52,04/21/2020,3059,657,303
53,04/22/2020,3459,604,295
54,04/23/2020,2834,522,306
55,04/24/2020,2466,568,297
56,04/25/2020,1589,406,237
57,04/26/2020,1008,377,228
58,04/27/2020,2304,454,250
59,04/28/2020,2715,448,212
60,04/29/2020,2337,409,221
61,04/30/2020,2008,335,202
62,05/01/2020,1867,356,195
63,05/02/2020,1051,281,181
64,05/03/2020,778,255,164
65,05/04/2020,1545,291,140
66,05/05/2020,1509,262,133
67,05/06/2020,1404,252,133
68,05/07/2020,1241,228,120
69,05/08/2020,1086,236,114
70,05/09/2020,670,163,90
71,05/10/2020,462,137,81
72,05/11/2020,1232,237,95
73,05/12/2020,1272,197,75
74,05/13/2020,1315,187,61
75,05/14/2020,1085,130,49
76,05/15/2020,864,112,53
77,05/16/2020,446,75,39
78,05/17/2020,287,28,37
79,05/18/2020,378,6,9
80,05/19/2020,26,0,0
