Report Date,Health District,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths
5/3/2020,Southside,Not Reported,0,0,0
5/3/2020,Chesapeake,Female,162,36,4
5/3/2020,Richmond,Female,204,29,3
5/3/2020,Roanoke,Male,30,3,0
5/3/2020,Fairfax,Not Reported,42,5,1
5/3/2020,Thomas Jefferson,Female,177,33,5
5/3/2020,Chesapeake,Not Reported,0,0,0
5/3/2020,Cumberland Plateau,Male,13,1,0
5/3/2020,Eastern Shore,Female,280,14,5
5/3/2020,Lord Fairfax,Not Reported,1,0,0
5/3/2020,Rappahannock,Not Reported,2,0,0
5/3/2020,Central Shenandoah,Not Reported,8,0,0
5/3/2020,Peninsula,Male,172,55,9
5/3/2020,Norfolk,Male,110,21,4
5/3/2020,Alexandria,Female,465,49,12
5/3/2020,Lenowisco,Male,22,8,1
5/3/2020,Pittsylvania-Danville,Female,30,11,1
5/3/2020,New River,Not Reported,1,0,0
5/3/2020,Chesterfield,Not Reported,8,0,0
5/3/2020,Loudoun,Male,443,59,8
5/3/2020,Rappahannock Rapidan,Female,185,12,1
5/3/2020,Piedmont,Female,86,8,1
5/3/2020,Richmond,Male,196,42,11
5/3/2020,Crater,Female,119,35,10
5/3/2020,Portsmouth,Female,82,18,4
5/3/2020,Arlington,Not Reported,9,0,0
5/3/2020,Mount Rogers,Not Reported,1,0,0
5/3/2020,Thomas Jefferson,Not Reported,1,0,0
5/3/2020,Three Rivers,Not Reported,1,0,0
5/3/2020,Hampton,Male,53,17,1
5/3/2020,Alleghany,Male,47,10,1
5/3/2020,Roanoke,Female,49,2,0
5/3/2020,Loudoun,Not Reported,2,0,0
5/3/2020,Fairfax,Female,2131,326,94
5/3/2020,Western Tidewater,Male,234,33,8
5/3/2020,Peninsula,Not Reported,1,0,0
5/3/2020,New River,Male,35,7,1
5/3/2020,Central Shenandoah,Male,384,24,10
5/3/2020,Southside,Male,45,15,5
5/3/2020,Chesterfield,Male,295,32,16
5/3/2020,Arlington,Female,551,86,18
5/3/2020,Rappahannock,Male,276,59,9
5/3/2020,Central Virginia,Male,79,5,1
5/3/2020,Alleghany,Not Reported,0,0,0
5/3/2020,Henrico,Male,383,73,50
5/3/2020,Thomas Jefferson,Male,133,27,8
5/3/2020,Lord Fairfax,Male,210,21,3
5/3/2020,Three Rivers,Male,173,10,1
5/3/2020,Richmond,Not Reported,3,1,2
5/3/2020,Pittsylvania-Danville,Male,21,9,1
5/3/2020,Portsmouth,Not Reported,1,0,0
5/3/2020,Norfolk,Not Reported,0,0,0
5/3/2020,Chesapeake,Male,117,27,5
5/3/2020,Chickahominy,Female,169,28,10
5/3/2020,Prince William,Male,1172,125,15
5/3/2020,Eastern Shore,Not Reported,4,0,0
5/3/2020,Eastern Shore,Male,250,11,2
5/3/2020,Rappahannock Rapidan,Male,189,18,4
5/3/2020,Henrico,Not Reported,4,0,1
5/3/2020,Cumberland Plateau,Female,14,1,0
5/3/2020,West Piedmont,Male,21,4,1
5/3/2020,Hampton,Not Reported,1,0,0
5/3/2020,Alexandria,Not Reported,2,0,0
5/3/2020,Western Tidewater,Not Reported,1,0,0
5/3/2020,Cumberland Plateau,Not Reported,0,0,0
5/3/2020,Virginia Beach,Male,184,46,10
5/3/2020,Alleghany,Female,73,6,2
5/3/2020,Lenowisco,Female,19,6,1
5/3/2020,Virginia Beach,Not Reported,1,0,0
5/3/2020,Western Tidewater,Female,204,17,10
5/3/2020,Mount Rogers,Male,49,10,4
5/3/2020,Lord Fairfax,Female,284,21,2
5/3/2020,Piedmont,Not Reported,0,0,0
5/3/2020,Alexandria,Male,432,60,14
5/3/2020,Pittsylvania-Danville,Not Reported,0,0,0
5/3/2020,West Piedmont,Not Reported,0,0,0
5/3/2020,Loudoun,Female,486,36,8
5/3/2020,Hampton,Female,69,11,0
5/3/2020,Henrico,Female,567,63,54
5/3/2020,Prince William,Not Reported,38,0,0
5/3/2020,Chickahominy,Male,84,24,9
5/3/2020,Rappahannock Rapidan,Not Reported,8,0,0
5/3/2020,Peninsula,Female,190,44,16
5/3/2020,Lenowisco,Not Reported,0,0,0
5/3/2020,Crater,Not Reported,2,2,0
5/3/2020,Chickahominy,Not Reported,5,1,0
5/3/2020,Portsmouth,Male,100,17,4
5/3/2020,New River,Female,39,3,0
5/3/2020,Rappahannock,Female,284,37,2
5/3/2020,Central Virginia,Female,67,3,0
5/3/2020,Roanoke,Not Reported,2,0,0
5/3/2020,West Piedmont,Female,25,2,0
5/3/2020,Mount Rogers,Female,45,6,0
5/3/2020,Piedmont,Male,160,15,2
5/3/2020,Chesterfield,Female,370,21,14
5/3/2020,Fairfax,Male,2234,419,94
5/3/2020,Crater,Male,92,20,3
5/3/2020,Central Virginia,Not Reported,0,0,0
5/3/2020,Prince William,Female,1164,116,17
5/3/2020,Virginia Beach,Female,228,35,5
5/3/2020,Norfolk,Female,111,24,0
5/3/2020,Three Rivers,Female,69,12,1
5/3/2020,Arlington,Male,546,108,28
5/3/2020,Central Shenandoah,Female,445,22,8
5/3/2020,Southside,Female,95,10,5
