,report_date,health_district,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-08-29T00:00:00.000,Alexandria,3358,297,62
1,2020-08-29T00:00:00.000,Alleghany,1152,58,19
2,2020-08-29T00:00:00.000,Arlington,3513,461,137
3,2020-08-29T00:00:00.000,Central Shenandoah,3237,234,61
4,2020-08-29T00:00:00.000,Central Virginia,2258,77,18
5,2020-08-29T00:00:00.000,Chesapeake,3736,316,47
6,2020-08-29T00:00:00.000,Chesterfield,5417,302,108
7,2020-08-29T00:00:00.000,Chickahominy,1216,140,48
8,2020-08-29T00:00:00.000,Crater,3090,249,73
9,2020-08-29T00:00:00.000,Cumberland Plateau,528,45,7
10,2020-08-29T00:00:00.000,Eastern Shore,1447,137,48
11,2020-08-29T00:00:00.000,Fairfax,18378,2075,569
12,2020-08-29T00:00:00.000,Hampton,1529,54,16
13,2020-08-29T00:00:00.000,Henrico,4553,377,192
14,2020-08-29T00:00:00.000,Lenowisco,686,58,12
15,2020-08-29T00:00:00.000,Lord Fairfax,2791,239,93
16,2020-08-29T00:00:00.000,Loudoun,5924,379,118
17,2020-08-29T00:00:00.000,Mount Rogers,1914,174,70
18,2020-08-29T00:00:00.000,New River,1102,37,9
19,2020-08-29T00:00:00.000,Norfolk,4334,283,52
20,2020-08-29T00:00:00.000,Peninsula,3675,181,53
21,2020-08-29T00:00:00.000,Piedmont,1687,127,38
22,2020-08-29T00:00:00.000,Pittsylvania-Danville,1318,95,18
23,2020-08-29T00:00:00.000,Portsmouth,2198,173,34
24,2020-08-29T00:00:00.000,Prince William,13073,1030,214
25,2020-08-29T00:00:00.000,Rappahannock,4398,345,62
26,2020-08-29T00:00:00.000,Rappahannock Rapidan,2261,148,30
27,2020-08-29T00:00:00.000,Richmond,3831,372,47
28,2020-08-29T00:00:00.000,Roanoke,1186,44,15
29,2020-08-29T00:00:00.000,Southside,993,69,37
30,2020-08-29T00:00:00.000,Thomas Jefferson,2424,166,50
31,2020-08-29T00:00:00.000,Three Rivers,1268,93,20
32,2020-08-29T00:00:00.000,Virginia Beach,5948,320,67
33,2020-08-29T00:00:00.000,Western Tidewater,2794,161,90
34,2020-08-29T00:00:00.000,West Piedmont,1592,196,34
35,2020-08-28T00:00:00.000,Alexandria,3352,297,64
36,2020-08-28T00:00:00.000,Alleghany,1161,58,19
37,2020-08-28T00:00:00.000,Arlington,3492,458,137
38,2020-08-28T00:00:00.000,Central Shenandoah,3180,234,61
39,2020-08-28T00:00:00.000,Central Virginia,2206,74,18
40,2020-08-28T00:00:00.000,Chesapeake,3685,313,47
41,2020-08-28T00:00:00.000,Chesterfield,5378,298,108
42,2020-08-28T00:00:00.000,Chickahominy,1195,139,47
43,2020-08-28T00:00:00.000,Crater,3023,244,72
44,2020-08-28T00:00:00.000,Cumberland Plateau,523,45,7
45,2020-08-28T00:00:00.000,Eastern Shore,1444,137,48
46,2020-08-28T00:00:00.000,Fairfax,18260,2067,564
47,2020-08-28T00:00:00.000,Hampton,1519,54,16
48,2020-08-28T00:00:00.000,Henrico,4510,376,193
49,2020-08-28T00:00:00.000,Lenowisco,674,57,12
50,2020-08-28T00:00:00.000,Lord Fairfax,2779,237,93
51,2020-08-28T00:00:00.000,Loudoun,5878,374,118
52,2020-08-28T00:00:00.000,Mount Rogers,1870,172,70
53,2020-08-28T00:00:00.000,New River,1012,37,8
54,2020-08-28T00:00:00.000,Norfolk,4328,281,52
