Event Date,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
5/12/2020,Confirmed,10,4,1
5/12/2020,Probable,1,0,0
5/11/2020,Confirmed,65,14,14
5/11/2020,Probable,4,0,0
5/10/2020,Confirmed,126,28,18
5/10/2020,Probable,3,0,0
5/9/2020,Confirmed,233,33,10
5/9/2020,Probable,2,0,0
5/8/2020,Confirmed,537,40,20
5/8/2020,Probable,7,0,0
5/7/2020,Confirmed,575,42,23
5/7/2020,Probable,6,0,0
5/6/2020,Confirmed,594,54,18
5/6/2020,Probable,23,0,1
5/5/2020,Confirmed,663,53,31
5/5/2020,Probable,19,0,1
5/4/2020,Confirmed,758,67,18
5/4/2020,Probable,30,0,0
5/3/2020,Confirmed,429,65,16
5/3/2020,Probable,18,0,1
5/2/2020,Confirmed,507,53,28
5/2/2020,Probable,21,2,1
5/1/2020,Confirmed,824,71,17
5/1/2020,Probable,38,0,0
4/30/2020,Confirmed,714,67,31
4/30/2020,Probable,47,0,0
4/29/2020,Confirmed,738,64,20
4/29/2020,Probable,30,1,2
4/28/2020,Confirmed,728,71,28
4/28/2020,Probable,36,1,0
4/27/2020,Confirmed,789,74,20
4/27/2020,Probable,32,2,0
4/26/2020,Confirmed,569,53,25
4/26/2020,Probable,25,0,3
4/25/2020,Confirmed,558,51,20
4/25/2020,Probable,42,1,3
4/24/2020,Confirmed,795,72,24
4/24/2020,Probable,45,0,1
4/23/2020,Confirmed,700,59,18
4/23/2020,Probable,37,0,2
4/22/2020,Confirmed,693,60,25
4/22/2020,Probable,42,0,0
4/21/2020,Confirmed,637,89,27
4/21/2020,Probable,28,2,2
4/20/2020,Confirmed,785,78,16
4/20/2020,Probable,59,1,2
4/19/2020,Confirmed,426,55,33
4/19/2020,Probable,30,1,0
4/18/2020,Confirmed,402,60,19
4/18/2020,Probable,23,1,0
4/17/2020,Confirmed,629,57,28
4/17/2020,Probable,39,0,1
4/16/2020,Confirmed,572,69,29
4/16/2020,Probable,20,0,0
4/15/2020,Confirmed,461,73,22
4/15/2020,Probable,22,0,0
4/14/2020,Confirmed,553,58,23
4/14/2020,Probable,31,0,1
4/13/2020,Confirmed,578,86,25
4/13/2020,Probable,44,2,2
4/12/2020,Confirmed,376,65,20
4/12/2020,Probable,33,0,1
4/11/2020,Confirmed,332,50,14
4/11/2020,Probable,30,0,0
4/10/2020,Confirmed,512,61,21
4/10/2020,Probable,34,0,0
4/9/2020,Confirmed,398,73,12
4/9/2020,Probable,21,0,0
4/8/2020,Confirmed,423,56,11
4/8/2020,Probable,32,0,1
4/7/2020,Confirmed,398,59,14
4/7/2020,Probable,17,0,0
4/6/2020,Confirmed,450,81,16
4/6/2020,Probable,35,0,0
4/5/2020,Confirmed,279,58,10
4/5/2020,Probable,26,0,0
4/4/2020,Confirmed,294,58,8
4/4/2020,Probable,15,0,0
4/3/2020,Confirmed,326,61,11
4/3/2020,Probable,16,1,0
4/2/2020,Confirmed,309,55,9
4/2/2020,Probable,17,0,0
4/1/2020,Confirmed,306,70,10
4/1/2020,Probable,27,0,1
3/31/2020,Confirmed,283,48,10
3/31/2020,Probable,12,0,1
3/30/2020,Confirmed,376,66,6
3/30/2020,Probable,23,0,0
3/29/2020,Confirmed,186,65,7
3/29/2020,Probable,9,0,0
3/28/2020,Confirmed,220,63,8
3/28/2020,Probable,7,0,0
3/27/2020,Confirmed,242,57,9
3/27/2020,Probable,4,0,0
3/26/2020,Confirmed,253,49,4
3/26/2020,Probable,11,0,1
3/25/2020,Confirmed,244,54,4
3/25/2020,Probable,7,0,0
3/24/2020,Confirmed,228,52,3
3/24/2020,Probable,14,0,0
3/23/2020,Confirmed,246,41,1
3/23/2020,Probable,16,0,0
3/22/2020,Confirmed,163,23,4
3/22/2020,Probable,6,0,0
