,report_date,health_district,sex,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-08-05T00:00:00.000,Alexandria,Female,1481,127,33
1,2020-08-05T00:00:00.000,Alexandria,Male,1383,147,27
2,2020-08-05T00:00:00.000,Alexandria,Not Reported,8,0,0
3,2020-08-05T00:00:00.000,Alleghany,Female,474,14,10
4,2020-08-05T00:00:00.000,Alleghany,Male,400,26,8
5,2020-08-05T00:00:00.000,Alleghany,Not Reported,8,0,0
6,2020-08-05T00:00:00.000,Arlington,Female,1476,194,66
7,2020-08-05T00:00:00.000,Arlington,Male,1515,242,69
8,2020-08-05T00:00:00.000,Arlington,Not Reported,6,0,0
9,2020-08-05T00:00:00.000,Central Shenandoah,Female,1467,106,28
10,2020-08-05T00:00:00.000,Central Shenandoah,Male,1252,101,27
11,2020-08-05T00:00:00.000,Central Shenandoah,Not Reported,0,0,0
12,2020-08-05T00:00:00.000,Central Virginia,Female,624,22,4
13,2020-08-05T00:00:00.000,Central Virginia,Male,569,36,9
14,2020-08-05T00:00:00.000,Central Virginia,Not Reported,4,0,0
15,2020-08-05T00:00:00.000,Chesapeake,Female,1512,116,14
16,2020-08-05T00:00:00.000,Chesapeake,Male,1199,105,19
17,2020-08-05T00:00:00.000,Chesapeake,Not Reported,3,0,0
18,2020-08-05T00:00:00.000,Chesterfield,Female,2221,121,46
19,2020-08-05T00:00:00.000,Chesterfield,Male,2160,131,52
20,2020-08-05T00:00:00.000,Chesterfield,Not Reported,112,0,2
21,2020-08-05T00:00:00.000,Chickahominy,Female,513,64,21
22,2020-08-05T00:00:00.000,Chickahominy,Male,418,66,24
23,2020-08-05T00:00:00.000,Chickahominy,Not Reported,5,0,0
24,2020-08-05T00:00:00.000,Crater,Female,1034,115,38
25,2020-08-05T00:00:00.000,Crater,Male,1176,99,30
26,2020-08-05T00:00:00.000,Crater,Not Reported,23,1,0
27,2020-08-05T00:00:00.000,Cumberland Plateau,Female,165,10,2
28,2020-08-05T00:00:00.000,Cumberland Plateau,Male,133,14,1
29,2020-08-05T00:00:00.000,Cumberland Plateau,Not Reported,0,0,0
30,2020-08-05T00:00:00.000,Eastern Shore,Female,690,67,24
31,2020-08-05T00:00:00.000,Eastern Shore,Male,681,60,20
32,2020-08-05T00:00:00.000,Eastern Shore,Not Reported,9,0,0
33,2020-08-05T00:00:00.000,Fairfax,Female,8227,815,265
34,2020-08-05T00:00:00.000,Fairfax,Male,7846,1109,276
35,2020-08-05T00:00:00.000,Fairfax,Not Reported,87,1,1
36,2020-08-05T00:00:00.000,Hampton,Female,631,17,4
37,2020-08-05T00:00:00.000,Hampton,Male,495,32,3
38,2020-08-05T00:00:00.000,Hampton,Not Reported,3,0,0
39,2020-08-05T00:00:00.000,Henrico,Female,1952,156,97
40,2020-08-05T00:00:00.000,Henrico,Male,1741,166,85
41,2020-08-05T00:00:00.000,Henrico,Not Reported,21,0,0
42,2020-08-05T00:00:00.000,Lenowisco,Female,154,17,1
43,2020-08-05T00:00:00.000,Lenowisco,Male,137,17,6
44,2020-08-05T00:00:00.000,Lenowisco,Not Reported,0,0,0
45,2020-08-05T00:00:00.000,Lord Fairfax,Female,1325,103,47
46,2020-08-05T00:00:00.000,Lord Fairfax,Male,1180,116,38
47,2020-08-05T00:00:00.000,Lord Fairfax,Not Reported,8,0,0
48,2020-08-05T00:00:00.000,Loudoun,Female,2559,149,71
49,2020-08-05T00:00:00.000,Loudoun,Male,2532,191,42
50,2020-08-05T00:00:00.000,Loudoun,Not Reported,26,0,0
51,2020-08-05T00:00:00.000,Mount Rogers,Female,685,40,17
52,2020-08-05T00:00:00.000,Mount Rogers,Male,606,82,35
53,2020-08-05T00:00:00.000,Mount Rogers,Not Reported,4,0,0
54,2020-08-05T00:00:00.000,New River,Female,215,9,2
55,2020-08-05T00:00:00.000,New River,Male,249,23,5
56,2020-08-05T00:00:00.000,New River,Not Reported,4,0,0
57,2020-08-05T00:00:00.000,Norfolk,Female,1851,92,13
58,2020-08-05T00:00:00.000,Norfolk,Male,1640,87,15
59,2020-08-05T00:00:00.000,Norfolk,Not Reported,2,0,0
60,2020-08-05T00:00:00.000,Peninsula,Female,1486,80,26
61,2020-08-05T00:00:00.000,Peninsula,Male,1302,85,18
62,2020-08-05T00:00:00.000,Peninsula,Not Reported,14,0,0
63,2020-08-05T00:00:00.000,Piedmont,Female,430,50,7
64,2020-08-05T00:00:00.000,Piedmont,Male,981,69,22
65,2020-08-05T00:00:00.000,Piedmont,Not Reported,4,0,0
66,2020-08-05T00:00:00.000,Pittsylvania-Danville,Female,428,44,7
67,2020-08-05T00:00:00.000,Pittsylvania-Danville,Male,304,24,2
68,2020-08-05T00:00:00.000,Pittsylvania-Danville,Not Reported,5,0,0
69,2020-08-05T00:00:00.000,Portsmouth,Female,898,72,12
70,2020-08-05T00:00:00.000,Portsmouth,Male,762,59,13
71,2020-08-05T00:00:00.000,Portsmouth,Not Reported,3,0,0
72,2020-08-05T00:00:00.000,Prince William,Female,5648,423,86
73,2020-08-05T00:00:00.000,Prince William,Male,5542,540,116
74,2020-08-05T00:00:00.000,Prince William,Not Reported,74,1,0
75,2020-08-05T00:00:00.000,Rappahannock,Female,1791,136,22
76,2020-08-05T00:00:00.000,Rappahannock,Male,1586,156,33
77,2020-08-05T00:00:00.000,Rappahannock,Not Reported,10,1,0
78,2020-08-05T00:00:00.000,Rappahannock Rapidan,Female,951,54,11
79,2020-08-05T00:00:00.000,Rappahannock Rapidan,Male,923,79,16
80,2020-08-05T00:00:00.000,Rappahannock Rapidan,Not Reported,4,0,0
81,2020-08-05T00:00:00.000,Richmond,Female,1514,137,12
82,2020-08-05T00:00:00.000,Richmond,Male,1475,147,25
83,2020-08-05T00:00:00.000,Richmond,Not Reported,45,2,2
84,2020-08-05T00:00:00.000,Roanoke,Female,488,10,9
85,2020-08-05T00:00:00.000,Roanoke,Male,429,11,5
86,2020-08-05T00:00:00.000,Roanoke,Not Reported,15,0,0
87,2020-08-05T00:00:00.000,Southside,Female,348,31,20
88,2020-08-05T00:00:00.000,Southside,Male,337,34,15
89,2020-08-05T00:00:00.000,Southside,Not Reported,4,0,0
90,2020-08-05T00:00:00.000,Thomas Jefferson,Female,974,71,23
91,2020-08-05T00:00:00.000,Thomas Jefferson,Male,852,66,18
92,2020-08-05T00:00:00.000,Thomas Jefferson,Not Reported,2,0,0
93,2020-08-05T00:00:00.000,Three Rivers,Female,358,40,10
94,2020-08-05T00:00:00.000,Three Rivers,Male,630,29,6
