Report Date,Health District,Ethnicity,Number of Cases,Number of Hospitalizations,Number of Deaths
6/12/2020,Loudoun,Hispanic or Latino,790,80,5
6/12/2020,Rappahannock Rapidan,Hispanic or Latino,604,43,5
6/12/2020,Roanoke,Not Reported,79,0,1
6/12/2020,Rappahannock,Hispanic or Latino,698,67,2
6/12/2020,Lenowisco,Hispanic or Latino,0,0,0
6/12/2020,Virginia Beach,Hispanic or Latino,85,7,1
6/12/2020,Prince William,Not Hispanic or Latino,1248,260,101
6/12/2020,Central Virginia,Not Reported,159,4,0
6/12/2020,Central Shenandoah,Not Hispanic or Latino,794,88,24
6/12/2020,Hampton,Hispanic or Latino,29,2,0
6/12/2020,Roanoke,Hispanic or Latino,71,1,0
