Event Date,Health Planning Region,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
6/10/2020,Central,Confirmed,1,0,0
6/10/2020,Northwest,Confirmed,2,3,0
6/10/2020,Northwest,Probable,0,0,1
6/10/2020,Southwest,Confirmed,0,0,1
6/9/2020,Central,Confirmed,9,1,0
6/9/2020,Eastern,Confirmed,3,0,0
6/9/2020,Northern,Confirmed,5,0,0
6/9/2020,Northwest,Confirmed,10,1,1
6/9/2020,Northwest,Probable,1,0,0
6/9/2020,Southwest,Confirmed,4,2,1
6/8/2020,Central,Confirmed,23,2,1
6/8/2020,Eastern,Confirmed,14,2,1
6/8/2020,Northern,Confirmed,14,3,0
6/8/2020,Northern,Probable,0,0,1
6/8/2020,Northwest,Confirmed,31,0,0
6/8/2020,Northwest,Probable,2,0,1
6/8/2020,Southwest,Confirmed,5,3,1
6/7/2020,Central,Confirmed,11,1,0
6/7/2020,Eastern,Confirmed,13,0,2
6/7/2020,Eastern,Probable,1,0,0
6/7/2020,Northern,Confirmed,51,7,2
6/7/2020,Northwest,Confirmed,20,0,3
6/7/2020,Northwest,Probable,1,0,0
6/7/2020,Southwest,Confirmed,5,3,2
6/6/2020,Central,Confirmed,16,3,0
6/6/2020,Eastern,Confirmed,22,1,0
6/6/2020,Northern,Confirmed,85,6,2
6/6/2020,Northwest,Confirmed,35,3,1
6/6/2020,Northwest,Probable,1,0,0
6/6/2020,Southwest,Confirmed,25,3,0
6/5/2020,Central,Confirmed,49,7,0
6/5/2020,Eastern,Confirmed,66,1,1
6/5/2020,Northern,Confirmed,127,15,2
6/5/2020,Northern,Probable,3,0,0
6/5/2020,Northwest,Confirmed,41,1,1
6/5/2020,Northwest,Probable,9,0,0
6/5/2020,Southwest,Confirmed,24,1,1
6/4/2020,Central,Confirmed,144,5,1
6/4/2020,Eastern,Confirmed,43,6,1
6/4/2020,Northern,Confirmed,144,12,2
6/4/2020,Northern,Probable,0,1,0
6/4/2020,Northwest,Confirmed,63,2,0
6/4/2020,Northwest,Probable,5,1,0
6/4/2020,Southwest,Confirmed,14,4,1
6/3/2020,Central,Confirmed,115,5,2
6/3/2020,Eastern,Confirmed,52,3,1
6/3/2020,Northern,Confirmed,193,16,7
6/3/2020,Northern,Probable,2,0,0
6/3/2020,Northwest,Confirmed,47,3,2
6/3/2020,Northwest,Probable,4,0,0
6/3/2020,Southwest,Confirmed,37,0,0
6/2/2020,Central,Confirmed,194,6,0
