,report_date,health_district,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-08-27T00:00:00.000,Alexandria,3333,297,61
1,2020-08-27T00:00:00.000,Alleghany,1134,58,19
2,2020-08-27T00:00:00.000,Arlington,3457,454,138
3,2020-08-27T00:00:00.000,Central Shenandoah,3145,234,61
4,2020-08-27T00:00:00.000,Central Virginia,2155,72,18
5,2020-08-27T00:00:00.000,Chesapeake,3660,309,47
6,2020-08-27T00:00:00.000,Chesterfield,5347,296,104
7,2020-08-27T00:00:00.000,Chickahominy,1187,139,47
8,2020-08-27T00:00:00.000,Crater,2997,242,71
9,2020-08-27T00:00:00.000,Cumberland Plateau,514,45,7
10,2020-08-27T00:00:00.000,Eastern Shore,1442,137,47
11,2020-08-27T00:00:00.000,Fairfax,18134,2054,563
12,2020-08-27T00:00:00.000,Hampton,1505,54,15
13,2020-08-27T00:00:00.000,Henrico,4467,374,191
14,2020-08-27T00:00:00.000,Lenowisco,666,57,11
15,2020-08-27T00:00:00.000,Lord Fairfax,2778,237,93
16,2020-08-27T00:00:00.000,Loudoun,5825,373,117
17,2020-08-27T00:00:00.000,Mount Rogers,1844,169,69
18,2020-08-27T00:00:00.000,New River,963,37,8
19,2020-08-27T00:00:00.000,Norfolk,4297,276,49
20,2020-08-27T00:00:00.000,Peninsula,3568,181,50
21,2020-08-27T00:00:00.000,Piedmont,1656,127,38
22,2020-08-27T00:00:00.000,Pittsylvania-Danville,1270,94,16
23,2020-08-27T00:00:00.000,Portsmouth,2161,167,34
24,2020-08-27T00:00:00.000,Prince William,12910,1024,213
25,2020-08-27T00:00:00.000,Rappahannock,4320,339,61
26,2020-08-27T00:00:00.000,Rappahannock Rapidan,2225,148,29
27,2020-08-27T00:00:00.000,Richmond,3767,365,45
28,2020-08-27T00:00:00.000,Roanoke,1169,44,15
29,2020-08-27T00:00:00.000,Southside,977,69,37
30,2020-08-27T00:00:00.000,Thomas Jefferson,2336,164,48
31,2020-08-27T00:00:00.000,Three Rivers,1250,91,19
32,2020-08-27T00:00:00.000,Virginia Beach,5876,314,65
33,2020-08-27T00:00:00.000,Western Tidewater,2710,161,89
34,2020-08-27T00:00:00.000,West Piedmont,1534,189,32
35,2020-08-26T00:00:00.000,Alexandria,3324,296,61
36,2020-08-26T00:00:00.000,Alleghany,1108,58,19
37,2020-08-26T00:00:00.000,Arlington,3435,452,138
38,2020-08-26T00:00:00.000,Central Shenandoah,3102,234,61
39,2020-08-26T00:00:00.000,Central Virginia,2088,72,18
40,2020-08-26T00:00:00.000,Chesapeake,3625,306,45
41,2020-08-26T00:00:00.000,Chesterfield,5314,291,103
42,2020-08-26T00:00:00.000,Chickahominy,1180,139,47
43,2020-08-26T00:00:00.000,Crater,2964,242,71
44,2020-08-26T00:00:00.000,Cumberland Plateau,505,43,7
45,2020-08-26T00:00:00.000,Eastern Shore,1439,137,47
46,2020-08-26T00:00:00.000,Fairfax,18053,2041,563
47,2020-08-26T00:00:00.000,Hampton,1483,54,15
48,2020-08-26T00:00:00.000,Henrico,4428,372,190
49,2020-08-26T00:00:00.000,Lenowisco,652,56,11
50,2020-08-26T00:00:00.000,Lord Fairfax,2775,237,93
51,2020-08-26T00:00:00.000,Loudoun,5787,370,117
52,2020-08-26T00:00:00.000,Mount Rogers,1811,166,69
53,2020-08-26T00:00:00.000,New River,925,37,8
54,2020-08-26T00:00:00.000,Norfolk,4260,269,47
55,2020-08-26T00:00:00.000,Peninsula,3526,181,50
56,2020-08-26T00:00:00.000,Piedmont,1643,127,38
57,2020-08-26T00:00:00.000,Pittsylvania-Danville,1236,93,16
58,2020-08-26T00:00:00.000,Portsmouth,2142,163,34
59,2020-08-26T00:00:00.000,Prince William,12838,1021,213
60,2020-08-26T00:00:00.000,Rappahannock,4262,337,60
61,2020-08-26T00:00:00.000,Rappahannock Rapidan,2202,147,29
62,2020-08-26T00:00:00.000,Richmond,3735,362,44
63,2020-08-26T00:00:00.000,Roanoke,1140,42,15
64,2020-08-26T00:00:00.000,Southside,957,69,37
65,2020-08-26T00:00:00.000,Thomas Jefferson,2309,164,47
66,2020-08-26T00:00:00.000,Three Rivers,1231,90,18
67,2020-08-26T00:00:00.000,Virginia Beach,5821,314,66
68,2020-08-26T00:00:00.000,Western Tidewater,2674,161,88
69,2020-08-26T00:00:00.000,West Piedmont,1484,183,30
70,2020-08-25T00:00:00.000,Alexandria,3309,294,61
71,2020-08-25T00:00:00.000,Alleghany,1086,58,19
72,2020-08-25T00:00:00.000,Arlington,3415,452,138
73,2020-08-25T00:00:00.000,Central Shenandoah,3091,234,61
74,2020-08-25T00:00:00.000,Central Virginia,2081,71,18
75,2020-08-25T00:00:00.000,Chesapeake,3582,303,43
76,2020-08-25T00:00:00.000,Chesterfield,5286,289,103
77,2020-08-25T00:00:00.000,Chickahominy,1136,139,47
78,2020-08-25T00:00:00.000,Crater,2929,242,71
79,2020-08-25T00:00:00.000,Cumberland Plateau,499,38,6
80,2020-08-25T00:00:00.000,Eastern Shore,1438,137,47
81,2020-08-25T00:00:00.000,Fairfax,17956,2036,561
82,2020-08-25T00:00:00.000,Hampton,1474,54,15
83,2020-08-25T00:00:00.000,Henrico,4403,368,189
84,2020-08-25T00:00:00.000,Lenowisco,647,56,11
85,2020-08-25T00:00:00.000,Lord Fairfax,2770,237,93
86,2020-08-25T00:00:00.000,Loudoun,5769,369,115
87,2020-08-25T00:00:00.000,Mount Rogers,1794,164,68
88,2020-08-25T00:00:00.000,New River,857,37,8
89,2020-08-25T00:00:00.000,Norfolk,4245,261,44
90,2020-08-25T00:00:00.000,Peninsula,3508,179,50
91,2020-08-25T00:00:00.000,Piedmont,1635,127,37
92,2020-08-25T00:00:00.000,Pittsylvania-Danville,1213,92,16
93,2020-08-25T00:00:00.000,Portsmouth,2135,160,31
94,2020-08-25T00:00:00.000,Prince William,12793,1017,213
95,2020-08-25T00:00:00.000,Rappahannock,4242,335,60
96,2020-08-25T00:00:00.000,Rappahannock Rapidan,2191,144,29
97,2020-08-25T00:00:00.000,Richmond,3662,359,43
98,2020-08-25T00:00:00.000,Roanoke,1129,41,15
99,2020-08-25T00:00:00.000,Southside,948,69,37
100,2020-08-25T00:00:00.000,Thomas Jefferson,2294,163,46
101,2020-08-25T00:00:00.000,Three Rivers,1226,89,18
102,2020-08-25T00:00:00.000,Virginia Beach,5788,309,64
103,2020-08-25T00:00:00.000,Western Tidewater,2644,160,88
104,2020-08-25T00:00:00.000,West Piedmont,1460,176,29
105,2020-08-23T00:00:00.000,Alexandria,3257,292,61
106,2020-08-23T00:00:00.000,Alleghany,1066,57,19
107,2020-08-23T00:00:00.000,Arlington,3383,449,137
108,2020-08-23T00:00:00.000,Central Shenandoah,3046,231,60
109,2020-08-23T00:00:00.000,Central Virginia,2007,71,18
110,2020-08-23T00:00:00.000,Chesapeake,3523,293,42
111,2020-08-23T00:00:00.000,Chesterfield,5246,285,102
112,2020-08-23T00:00:00.000,Chickahominy,1125,138,47
113,2020-08-23T00:00:00.000,Crater,2900,241,70
114,2020-08-23T00:00:00.000,Cumberland Plateau,487,38,6
115,2020-08-23T00:00:00.000,Eastern Shore,1438,137,47
116,2020-08-23T00:00:00.000,Fairfax,17817,2036,556
117,2020-08-23T00:00:00.000,Hampton,1454,53,11
118,2020-08-23T00:00:00.000,Henrico,4319,361,189
119,2020-08-23T00:00:00.000,Lenowisco,603,55,10
120,2020-08-23T00:00:00.000,Lord Fairfax,2745,235,92
121,2020-08-23T00:00:00.000,Loudoun,5712,366,115
122,2020-08-23T00:00:00.000,Mount Rogers,1748,158,64
