Event Date,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
5/16/2020,Confirmed,7,0,1
5/16/2020,Probable,1,0,0
5/15/2020,Confirmed,30,3,2
5/15/2020,Probable,3,0,0
5/14/2020,Confirmed,88,16,8
5/14/2020,Probable,4,0,1
5/13/2020,Confirmed,384,31,7
5/13/2020,Probable,8,0,1
5/12/2020,Confirmed,669,36,14
5/12/2020,Probable,15,0,0
5/11/2020,Confirmed,621,41,25
5/11/2020,Probable,10,1,0
5/10/2020,Confirmed,331,49,21
5/10/2020,Probable,11,0,0
5/9/2020,Confirmed,441,47,12
5/9/2020,Probable,20,0,0
5/8/2020,Confirmed,724,53,27
5/8/2020,Probable,19,0,0
5/7/2020,Confirmed,655,52,26
5/7/2020,Probable,13,0,0
5/6/2020,Confirmed,706,64,19
5/6/2020,Probable,37,0,1
5/5/2020,Confirmed,760,66,32
5/5/2020,Probable,28,0,1
5/4/2020,Confirmed,870,76,19
5/4/2020,Probable,36,1,0
5/3/2020,Confirmed,478,74,17
5/3/2020,Probable,24,0,2
5/2/2020,Confirmed,586,58,27
5/2/2020,Probable,22,2,1
5/1/2020,Confirmed,953,79,19
5/1/2020,Probable,53,0,0
4/30/2020,Confirmed,792,71,36
4/30/2020,Probable,49,0,0
4/29/2020,Confirmed,773,66,21
4/29/2020,Probable,36,2,2
4/28/2020,Confirmed,767,74,30
4/28/2020,Probable,36,1,0
4/27/2020,Confirmed,829,79,21
4/27/2020,Probable,37,2,0
4/26/2020,Confirmed,588,55,24
4/26/2020,Probable,25,0,3
4/25/2020,Confirmed,572,52,21
4/25/2020,Probable,42,1,3
4/24/2020,Confirmed,822,75,25
4/24/2020,Probable,45,0,2
4/23/2020,Confirmed,728,61,19
4/23/2020,Probable,41,0,2
4/22/2020,Confirmed,688,64,26
4/22/2020,Probable,39,0,0
4/21/2020,Confirmed,626,91,27
4/21/2020,Probable,26,2,2
4/20/2020,Confirmed,792,82,16
4/20/2020,Probable,56,1,3
4/19/2020,Confirmed,439,58,33
4/19/2020,Probable,29,1,0
4/18/2020,Confirmed,400,63,21
4/18/2020,Probable,23,1,0
4/17/2020,Confirmed,636,61,28
4/17/2020,Probable,40,1,2
4/16/2020,Confirmed,576,70,29
4/16/2020,Probable,19,0,0
4/15/2020,Confirmed,483,75,22
4/15/2020,Probable,24,0,0
4/14/2020,Confirmed,570,59,24
4/14/2020,Probable,31,0,0
4/13/2020,Confirmed,610,86,25
4/13/2020,Probable,46,2,2
4/12/2020,Confirmed,388,65,20
4/12/2020,Probable,33,0,1
4/11/2020,Confirmed,342,50,14
4/11/2020,Probable,30,0,0
4/10/2020,Confirmed,512,61,21
4/10/2020,Probable,36,0,0
4/9/2020,Confirmed,405,73,12
4/9/2020,Probable,24,0,0
4/8/2020,Confirmed,431,58,11
4/8/2020,Probable,33,0,1
4/7/2020,Confirmed,407,60,14
4/7/2020,Probable,18,0,0
4/6/2020,Confirmed,463,80,16
4/6/2020,Probable,39,0,0
4/5/2020,Confirmed,292,59,10
4/5/2020,Probable,26,0,0
4/4/2020,Confirmed,298,58,8
4/4/2020,Probable,17,0,0
4/3/2020,Confirmed,331,61,11
4/3/2020,Probable,16,1,0
4/2/2020,Confirmed,313,55,9
4/2/2020,Probable,17,0,0
4/1/2020,Confirmed,309,70,10
4/1/2020,Probable,27,0,1
3/31/2020,Confirmed,283,50,10
3/31/2020,Probable,12,0,1
3/30/2020,Confirmed,374,66,6
3/30/2020,Probable,25,0,0
3/29/2020,Confirmed,187,65,7
3/29/2020,Probable,10,0,0
3/28/2020,Confirmed,221,64,8
3/28/2020,Probable,7,0,0
3/27/2020,Confirmed,244,57,9
3/27/2020,Probable,4,0,0
3/26/2020,Confirmed,253,49,4
