Event Date,Health Planning Region,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
6/5/2020,Central,Confirmed,3,0,0
6/5/2020,Northern,Confirmed,0,1,0
6/5/2020,Northwest,Confirmed,1,0,1
6/4/2020,Central,Confirmed,17,0,0
6/4/2020,Eastern,Confirmed,6,2,1
6/4/2020,Northern,Confirmed,17,0,2
6/4/2020,Northwest,Confirmed,9,0,0
6/4/2020,Southwest,Confirmed,2,0,1
6/3/2020,Central,Confirmed,15,2,1
6/3/2020,Eastern,Confirmed,11,2,1
6/3/2020,Northern,Confirmed,50,4,3
6/3/2020,Northwest,Confirmed,12,2,0
6/3/2020,Southwest,Confirmed,10,0,0
6/2/2020,Central,Confirmed,94,3,0
6/2/2020,Eastern,Confirmed,25,2,1
6/2/2020,Northern,Confirmed,108,7,6
6/2/2020,Northern,Probable,1,1,1
6/2/2020,Northwest,Confirmed,29,2,1
6/2/2020,Northwest,Probable,4,0,0
6/2/2020,Southwest,Confirmed,20,0,0
6/1/2020,Central,Confirmed,94,5,0
6/1/2020,Eastern,Confirmed,61,4,1
6/1/2020,Northern,Confirmed,238,8,4
6/1/2020,Northwest,Confirmed,63,5,1
6/1/2020,Northwest,Probable,2,0,0
6/1/2020,Southwest,Confirmed,28,1,0
5/31/2020,Central,Confirmed,65,5,0
5/31/2020,Eastern,Confirmed,45,1,0
5/31/2020,Northern,Confirmed,101,12,1
5/31/2020,Northern,Probable,7,0,0
5/31/2020,Northwest,Confirmed,39,6,1
5/31/2020,Northwest,Probable,3,0,0
5/31/2020,Southwest,Confirmed,16,0,1
5/31/2020,Southwest,Probable,1,0,0
5/30/2020,Central,Confirmed,109,1,1
5/30/2020,Eastern,Confirmed,47,2,1
5/30/2020,Northern,Confirmed,141,16,5
5/30/2020,Northern,Probable,2,0,0
5/30/2020,Northwest,Confirmed,54,4,1
5/30/2020,Northwest,Probable,7,0,0
5/30/2020,Southwest,Confirmed,18,1,0
5/30/2020,Southwest,Probable,2,0,0
5/29/2020,Central,Confirmed,120,9,2
5/29/2020,Eastern,Confirmed,35,3,2
5/29/2020,Northern,Confirmed,289,17,3
5/29/2020,Northern,Probable,3,0,0
5/29/2020,Northwest,Confirmed,136,5,1
5/29/2020,Northwest,Probable,7,0,0
5/29/2020,Southwest,Confirmed,51,1,0
5/28/2020,Central,Confirmed,107,4,0
5/28/2020,Eastern,Confirmed,47,3,2
5/28/2020,Eastern,Probable,1,0,0
5/28/2020,Northern,Confirmed,332,22,9
5/28/2020,Northern,Probable,7,0,0
5/28/2020,Northwest,Confirmed,85,4,1
5/28/2020,Northwest,Probable,4,0,0
5/28/2020,Southwest,Confirmed,32,0,0
5/27/2020,Central,Confirmed,281,7,1
5/27/2020,Central,Probable,10,0,0
5/27/2020,Eastern,Confirmed,53,1,0
5/27/2020,Northern,Confirmed,317,14,6
5/27/2020,Northern,Probable,11,0,0
5/27/2020,Northwest,Confirmed,108,5,4
5/27/2020,Northwest,Probable,6,0,0
5/27/2020,Southwest,Confirmed,26,3,0
5/26/2020,Central,Confirmed,164,5,1
5/26/2020,Eastern,Confirmed,72,3,1
5/26/2020,Eastern,Probable,0,0,1
5/26/2020,Northern,Confirmed,360,20,13
5/26/2020,Northern,Probable,18,0,0
5/26/2020,Northwest,Confirmed,117,7,3
5/26/2020,Northwest,Probable,9,0,0
5/26/2020,Southwest,Confirmed,44,2,0
5/26/2020,Southwest,Probable,2,0,0
5/25/2020,Central,Confirmed,77,12,2
5/25/2020,Central,Probable,6,0,0
5/25/2020,Eastern,Confirmed,48,4,1
5/25/2020,Eastern,Probable,1,1,0
5/25/2020,Northern,Confirmed,309,25,3
5/25/2020,Northern,Probable,11,0,0
5/25/2020,Northwest,Confirmed,73,3,0
5/25/2020,Northwest,Probable,6,0,0
5/25/2020,Southwest,Confirmed,19,4,0
5/24/2020,Central,Confirmed,117,2,3
5/24/2020,Central,Probable,2,0,0
5/24/2020,Eastern,Confirmed,28,3,1
5/24/2020,Eastern,Probable,7,0,0
5/24/2020,Northern,Confirmed,275,27,10
5/24/2020,Northern,Probable,5,0,2
5/24/2020,Northwest,Confirmed,89,8,1
5/24/2020,Northwest,Probable,10,0,0
5/24/2020,Southwest,Confirmed,12,0,1
5/24/2020,Southwest,Probable,2,0,0
5/23/2020,Central,Confirmed,99,7,3
5/23/2020,Central,Probable,1,0,0
5/23/2020,Eastern,Confirmed,40,6,1
5/23/2020,Northern,Confirmed,324,23,9
5/23/2020,Northern,Probable,4,0,3
5/23/2020,Northwest,Confirmed,112,6,2
5/23/2020,Northwest,Probable,5,0,0
5/23/2020,Southwest,Confirmed,26,5,0
5/23/2020,Southwest,Probable,1,0,0
5/22/2020,Central,Confirmed,234,10,3
5/22/2020,Eastern,Confirmed,59,5,2
5/22/2020,Eastern,Probable,1,0,0
5/22/2020,Northern,Confirmed,437,33,12
5/22/2020,Northern,Probable,12,0,1
5/22/2020,Northwest,Confirmed,121,7,0
5/22/2020,Northwest,Probable,7,0,0
5/22/2020,Southwest,Confirmed,29,6,1
5/21/2020,Central,Confirmed,336,3,1
5/21/2020,Eastern,Confirmed,54,6,0
5/21/2020,Eastern,Probable,2,0,0
5/21/2020,Northern,Confirmed,475,23,9
5/21/2020,Northern,Probable,6,0,1
5/21/2020,Northwest,Confirmed,89,6,2
5/21/2020,Northwest,Probable,9,0,0
5/21/2020,Southwest,Confirmed,23,2,0
5/20/2020,Central,Confirmed,241,16,2
5/20/2020,Eastern,Confirmed,314,2,0
5/20/2020,Eastern,Probable,1,0,0
5/20/2020,Northern,Confirmed,587,24,9
5/20/2020,Northern,Probable,14,1,1
5/20/2020,Northwest,Confirmed,114,4,3
5/20/2020,Northwest,Probable,9,0,0
5/20/2020,Southwest,Confirmed,50,4,1
5/20/2020,Southwest,Probable,7,0,0
5/19/2020,Central,Confirmed,232,7,2
5/19/2020,Eastern,Confirmed,59,8,3
5/19/2020,Eastern,Probable,1,0,0
5/19/2020,Northern,Confirmed,574,26,11
5/19/2020,Northern,Probable,15,1,0
5/19/2020,Northwest,Confirmed,114,15,1
5/19/2020,Northwest,Probable,12,0,0
5/19/2020,Southwest,Confirmed,22,4,0
5/19/2020,Southwest,Probable,3,0,0
5/18/2020,Central,Confirmed,224,5,2
5/18/2020,Eastern,Confirmed,96,5,2
5/18/2020,Eastern,Probable,3,0,0
5/18/2020,Northern,Confirmed,663,29,12
5/18/2020,Northern,Probable,16,0,0
5/18/2020,Northwest,Confirmed,178,13,0
5/18/2020,Northwest,Probable,15,0,0
5/18/2020,Southwest,Confirmed,46,4,1
5/17/2020,Central,Confirmed,104,7,2
5/17/2020,Central,Probable,0,0,1
5/17/2020,Eastern,Confirmed,41,7,2
5/17/2020,Eastern,Probable,1,0,0
5/17/2020,Northern,Confirmed,343,40,11
5/17/2020,Northern,Probable,8,0,0
5/17/2020,Northwest,Confirmed,96,7,2
5/17/2020,Northwest,Probable,17,1,0
5/17/2020,Southwest,Confirmed,23,3,0
5/17/2020,Southwest,Probable,2,0,0
5/16/2020,Central,Confirmed,101,4,4
5/16/2020,Eastern,Confirmed,39,3,3
5/16/2020,Eastern,Probable,2,0,0
5/16/2020,Northern,Confirmed,403,29,14
5/16/2020,Northern,Probable,15,0,0
5/16/2020,Northwest,Confirmed,133,6,4
5/16/2020,Northwest,Probable,8,0,0
5/16/2020,Southwest,Confirmed,15,2,0
5/16/2020,Southwest,Probable,1,0,0
5/15/2020,Central,Confirmed,164,6,3
5/15/2020,Central,Probable,2,0,0
5/15/2020,Eastern,Confirmed,56,3,2
5/15/2020,Northern,Confirmed,591,33,7
5/15/2020,Northern,Probable,24,0,0
5/15/2020,Northwest,Confirmed,164,7,3
5/15/2020,Northwest,Probable,13,1,0
5/15/2020,Southwest,Confirmed,34,1,1
5/14/2020,Central,Confirmed,138,7,1
5/14/2020,Eastern,Confirmed,72,4,2
5/14/2020,Eastern,Probable,3,0,0
5/14/2020,Northern,Confirmed,503,43,10
5/14/2020,Northern,Probable,18,1,2
5/14/2020,Northwest,Confirmed,106,8,0
5/14/2020,Northwest,Probable,4,0,0
5/14/2020,Southwest,Confirmed,27,0,0
5/13/2020,Central,Confirmed,182,3,2
5/13/2020,Central,Probable,0,0,1
5/13/2020,Eastern,Confirmed,67,5,2
5/13/2020,Northern,Confirmed,527,31,7
5/13/2020,Northern,Probable,24,0,1
5/13/2020,Northwest,Confirmed,113,3,0
5/13/2020,Northwest,Probable,6,0,0
5/13/2020,Southwest,Confirmed,25,2,0
5/13/2020,Southwest,Probable,1,0,0
5/12/2020,Central,Confirmed,234,4,1
5/12/2020,Central,Probable,1,0,0
5/12/2020,Eastern,Confirmed,117,5,5
5/12/2020,Eastern,Probable,3,1,0
5/12/2020,Northern,Confirmed,511,40,12
5/12/2020,Northern,Probable,17,0,0
5/12/2020,Northwest,Confirmed,118,8,1
5/12/2020,Northwest,Probable,9,0,0
5/12/2020,Southwest,Confirmed,37,1,1
5/12/2020,Southwest,Probable,1,0,0
5/11/2020,Central,Confirmed,141,8,2
5/11/2020,Eastern,Confirmed,62,4,3
5/11/2020,Eastern,Probable,1,0,0
5/11/2020,Northern,Confirmed,617,42,20
5/11/2020,Northern,Probable,20,1,1
5/11/2020,Northwest,Confirmed,110,10,5
5/11/2020,Northwest,Probable,6,0,0
5/11/2020,Southwest,Confirmed,17,1,2
5/11/2020,Southwest,Probable,2,0,0
5/10/2020,Central,Confirmed,104,5,2
5/10/2020,Eastern,Confirmed,33,6,2
5/10/2020,Eastern,Probable,1,0,0
5/10/2020,Northern,Confirmed,360,42,16
5/10/2020,Northern,Probable,13,0,0
5/10/2020,Northwest,Confirmed,105,8,3
5/10/2020,Northwest,Probable,9,0,0
5/10/2020,Southwest,Confirmed,17,4,0
5/10/2020,Southwest,Probable,1,0,0
5/9/2020,Central,Confirmed,68,5,1
5/9/2020,Central,Probable,1,0,0
5/9/2020,Eastern,Confirmed,67,5,4
5/9/2020,Eastern,Probable,1,0,0
5/9/2020,Northern,Confirmed,336,42,15
5/9/2020,Northern,Probable,17,0,2
5/9/2020,Northwest,Confirmed,95,13,1
5/9/2020,Northwest,Probable,13,0,1
5/9/2020,Southwest,Confirmed,16,0,0
5/8/2020,Central,Confirmed,163,10,5
5/8/2020,Eastern,Confirmed,72,3,3
5/8/2020,Eastern,Probable,2,0,0
5/8/2020,Northern,Confirmed,579,42,15
5/8/2020,Northern,Probable,11,1,2
5/8/2020,Northwest,Confirmed,112,11,3
5/8/2020,Northwest,Probable,13,0,0
5/8/2020,Southwest,Confirmed,24,1,1
5/8/2020,Southwest,Probable,1,0,0
5/7/2020,Central,Confirmed,129,8,3
5/7/2020,Central,Probable,1,0,0
5/7/2020,Eastern,Confirmed,70,3,5
5/7/2020,Eastern,Probable,4,0,1
5/7/2020,Northern,Confirmed,469,43,21
5/7/2020,Northern,Probable,19,0,1
5/7/2020,Northwest,Confirmed,94,8,5
5/7/2020,Northwest,Probable,4,0,0
5/7/2020,Southwest,Confirmed,31,0,0
5/6/2020,Central,Confirmed,107,9,1
5/6/2020,Eastern,Confirmed,102,5,5
5/6/2020,Eastern,Probable,9,0,0
5/6/2020,Northern,Confirmed,582,57,10
5/6/2020,Northern,Probable,22,0,2
5/6/2020,Northwest,Confirmed,64,10,5
5/6/2020,Northwest,Probable,10,0,0
5/6/2020,Southwest,Confirmed,22,1,1
5/5/2020,Central,Confirmed,113,11,4
5/5/2020,Central,Probable,0,0,1
5/5/2020,Eastern,Confirmed,142,5,8
5/5/2020,Eastern,Probable,5,0,1
5/5/2020,Northern,Confirmed,515,52,21
5/5/2020,Northern,Probable,25,0,0
5/5/2020,Northwest,Confirmed,104,7,4
5/5/2020,Northwest,Probable,11,0,1
5/5/2020,Southwest,Confirmed,23,2,0
5/4/2020,Central,Confirmed,130,9,2
5/4/2020,Central,Probable,1,0,0
5/4/2020,Eastern,Confirmed,126,11,1
5/4/2020,Eastern,Probable,2,0,0
5/4/2020,Northern,Confirmed,630,62,15
5/4/2020,Northern,Probable,34,0,1
5/4/2020,Northwest,Confirmed,112,13,5
5/4/2020,Northwest,Probable,7,0,1
