,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
82,2020-08-13T00:00:00.000,Crater,20-29,417,9,0
83,2020-08-13T00:00:00.000,Crater,30-39,453,9,0
84,2020-08-13T00:00:00.000,Crater,40-49,370,23,1
85,2020-08-13T00:00:00.000,Crater,50-59,420,42,4
86,2020-08-13T00:00:00.000,Crater,60-69,335,58,19
87,2020-08-13T00:00:00.000,Crater,70-79,197,46,23
88,2020-08-13T00:00:00.000,Crater,80+,154,35,23
89,2020-08-13T00:00:00.000,Crater,Missing,25,0,0
90,2020-08-13T00:00:00.000,Cumberland Plateau,0-9,15,0,0
91,2020-08-13T00:00:00.000,Cumberland Plateau,10-19,49,1,0
92,2020-08-13T00:00:00.000,Cumberland Plateau,20-29,53,0,0
93,2020-08-13T00:00:00.000,Cumberland Plateau,30-39,49,2,0
94,2020-08-13T00:00:00.000,Cumberland Plateau,40-49,53,3,0
95,2020-08-13T00:00:00.000,Cumberland Plateau,50-59,69,6,0
96,2020-08-13T00:00:00.000,Cumberland Plateau,60-69,51,9,2
97,2020-08-13T00:00:00.000,Cumberland Plateau,70-79,29,3,0
98,2020-08-13T00:00:00.000,Cumberland Plateau,80+,24,6,2
99,2020-08-13T00:00:00.000,Cumberland Plateau,Missing,0,0,0
100,2020-08-13T00:00:00.000,Eastern Shore,0-9,25,2,0
101,2020-08-13T00:00:00.000,Eastern Shore,10-19,68,1,0
102,2020-08-13T00:00:00.000,Eastern Shore,20-29,209,6,0
103,2020-08-13T00:00:00.000,Eastern Shore,30-39,247,11,0
104,2020-08-13T00:00:00.000,Eastern Shore,40-49,260,13,2
105,2020-08-13T00:00:00.000,Eastern Shore,50-59,287,23,5
106,2020-08-13T00:00:00.000,Eastern Shore,60-69,196,31,8
107,2020-08-13T00:00:00.000,Eastern Shore,70-79,58,21,12
108,2020-08-13T00:00:00.000,Eastern Shore,80+,52,24,19
109,2020-08-13T00:00:00.000,Eastern Shore,Missing,6,0,0
110,2020-08-13T00:00:00.000,Fairfax,0-9,616,24,0
111,2020-08-13T00:00:00.000,Fairfax,10-19,1158,34,0
112,2020-08-13T00:00:00.000,Fairfax,20-29,2850,100,3
113,2020-08-13T00:00:00.000,Fairfax,30-39,3235,211,6
114,2020-08-13T00:00:00.000,Fairfax,40-49,3025,310,11
115,2020-08-13T00:00:00.000,Fairfax,50-59,2577,354,34
116,2020-08-13T00:00:00.000,Fairfax,60-69,1611,355,66
117,2020-08-13T00:00:00.000,Fairfax,70-79,745,260,119
118,2020-08-13T00:00:00.000,Fairfax,80+,857,322,304
119,2020-08-13T00:00:00.000,Fairfax,Missing,184,5,0
120,2020-08-13T00:00:00.000,Hampton,0-9,29,0,0
121,2020-08-13T00:00:00.000,Hampton,10-19,80,0,0
122,2020-08-13T00:00:00.000,Hampton,20-29,344,3,0
123,2020-08-13T00:00:00.000,Hampton,30-39,236,3,0
124,2020-08-13T00:00:00.000,Hampton,40-49,191,7,0
125,2020-08-13T00:00:00.000,Hampton,50-59,176,12,1
126,2020-08-13T00:00:00.000,Hampton,60-69,114,11,3
127,2020-08-13T00:00:00.000,Hampton,70-79,66,13,2
