Event Date,Health Planning Region,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
7/12/2020,Eastern,Confirmed,1,0,0
7/12/2020,Northern,Confirmed,1,1,0
7/12/2020,Northwest,Confirmed,3,0,0
7/11/2020,Central,Confirmed,4,1,0
7/11/2020,Eastern,Confirmed,16,2,3
7/11/2020,Northern,Confirmed,5,1,1
7/11/2020,Northern,Probable,6,0,0
7/11/2020,Northwest,Confirmed,9,5,0
7/11/2020,Northwest,Probable,6,0,0
7/11/2020,Southwest,Confirmed,2,1,0
7/10/2020,Central,Confirmed,26,5,0
7/10/2020,Eastern,Confirmed,73,1,0
7/10/2020,Northern,Confirmed,22,0,0
7/10/2020,Northern,Probable,2,0,0
7/10/2020,Northwest,Confirmed,28,2,0
7/10/2020,Northwest,Probable,4,0,0
7/10/2020,Southwest,Confirmed,3,2,0
7/9/2020,Central,Confirmed,59,3,0
7/9/2020,Eastern,Confirmed,108,2,0
7/9/2020,Northern,Confirmed,45,0,2
7/9/2020,Northern,Probable,2,0,0
7/9/2020,Northwest,Confirmed,56,1,0
7/9/2020,Northwest,Probable,14,0,0
7/9/2020,Southwest,Confirmed,22,3,0
7/9/2020,Southwest,Probable,1,0,0
7/8/2020,Central,Confirmed,62,4,0
7/8/2020,Eastern,Confirmed,207,7,2
7/8/2020,Northern,Confirmed,70,4,1
7/8/2020,Northern,Probable,6,0,0
7/8/2020,Northwest,Confirmed,42,5,0
7/8/2020,Northwest,Probable,8,0,0
7/8/2020,Southwest,Confirmed,22,2,0
7/7/2020,Central,Confirmed,128,5,0
7/7/2020,Eastern,Confirmed,214,4,0
7/7/2020,Eastern,Probable,3,0,0
7/7/2020,Northern,Confirmed,48,6,0
7/7/2020,Northern,Probable,2,0,0
7/7/2020,Northwest,Confirmed,58,4,0
7/7/2020,Northwest,Probable,14,0,0
7/7/2020,Southwest,Confirmed,67,7,0
7/7/2020,Southwest,Probable,1,0,0
7/6/2020,Central,Confirmed,85,5,0
7/6/2020,Eastern,Confirmed,309,6,0
7/6/2020,Eastern,Probable,1,0,0
7/6/2020,Northern,Confirmed,101,6,0
7/6/2020,Northern,Probable,6,0,0
7/6/2020,Northwest,Confirmed,57,1,0
7/6/2020,Northwest,Probable,14,0,0
7/6/2020,Southwest,Confirmed,66,4,0
7/6/2020,Southwest,Probable,2,0,0
7/5/2020,Central,Confirmed,51,2,0
7/5/2020,Eastern,Confirmed,182,6,2
7/5/2020,Eastern,Probable,4,0,0
7/5/2020,Northern,Confirmed,62,6,1
7/5/2020,Northern,Probable,4,0,0
7/5/2020,Northwest,Confirmed,38,7,0
7/5/2020,Northwest,Probable,18,2,0
7/5/2020,Southwest,Confirmed,37,2,0
7/5/2020,Southwest,Probable,1,0,0
7/4/2020,Central,Confirmed,43,5,1
7/4/2020,Eastern,Confirmed,145,2,1
7/4/2020,Northern,Confirmed,52,5,0
7/4/2020,Northern,Probable,3,0,0
7/4/2020,Northwest,Confirmed,43,3,0
7/4/2020,Northwest,Probable,21,1,0
7/4/2020,Southwest,Confirmed,26,0,0
7/3/2020,Central,Confirmed,61,5,0
7/3/2020,Eastern,Confirmed,178,6,2
7/3/2020,Eastern,Probable,1,0,0
7/3/2020,Northern,Confirmed,65,4,1
7/3/2020,Northern,Probable,3,0,0
7/3/2020,Northwest,Confirmed,49,7,2
7/3/2020,Northwest,Probable,6,0,0
7/3/2020,Southwest,Confirmed,43,1,0
7/3/2020,Southwest,Probable,1,0,0
7/2/2020,Central,Confirmed,94,5,1
7/2/2020,Eastern,Confirmed,270,8,0
7/2/2020,Eastern,Probable,1,0,0
7/2/2020,Northern,Confirmed,107,5,1
7/2/2020,Northern,Probable,11,0,0
7/2/2020,Northwest,Confirmed,89,5,1
7/2/2020,Northwest,Probable,13,0,0
7/2/2020,Southwest,Confirmed,61,2,0
7/1/2020,Central,Confirmed,117,4,1
7/1/2020,Eastern,Confirmed,222,9,0
7/1/2020,Eastern,Probable,2,0,0
7/1/2020,Northern,Confirmed,128,4,0
7/1/2020,Northern,Probable,12,0,0
7/1/2020,Northwest,Confirmed,54,6,0
7/1/2020,Northwest,Probable,14,0,0
7/1/2020,Southwest,Confirmed,88,0,1
6/30/2020,Central,Confirmed,102,6,0
6/30/2020,Eastern,Confirmed,328,4,1
6/30/2020,Eastern,Probable,1,0,0
6/30/2020,Northern,Confirmed,155,6,0
6/30/2020,Northern,Probable,11,0,0
6/30/2020,Northwest,Confirmed,86,2,1
6/30/2020,Northwest,Probable,18,0,0
6/30/2020,Southwest,Confirmed,68,3,0
6/30/2020,Southwest,Probable,5,0,0
6/29/2020,Central,Confirmed,119,4,1
6/29/2020,Eastern,Confirmed,332,9,0
6/29/2020,Eastern,Probable,4,0,0
6/29/2020,Northern,Confirmed,169,5,0
6/29/2020,Northern,Probable,16,0,0
6/29/2020,Northwest,Confirmed,59,3,1
6/29/2020,Northwest,Probable,11,0,0
6/29/2020,Southwest,Confirmed,96,2,0
6/28/2020,Central,Confirmed,61,4,4
6/28/2020,Central,Probable,1,0,0
6/28/2020,Eastern,Confirmed,167,9,2
6/28/2020,Eastern,Probable,2,0,0
6/28/2020,Northern,Confirmed,107,7,4
6/28/2020,Northern,Probable,6,0,0
6/28/2020,Northwest,Confirmed,49,6,0
6/28/2020,Northwest,Probable,7,0,0
6/28/2020,Southwest,Confirmed,58,3,0
6/27/2020,Central,Confirmed,64,3,0
6/27/2020,Eastern,Confirmed,127,10,0
6/27/2020,Eastern,Probable,2,0,0
6/27/2020,Northern,Confirmed,136,1,2
6/27/2020,Northern,Probable,3,0,0
6/27/2020,Northwest,Confirmed,49,0,0
6/27/2020,Northwest,Probable,10,0,0
6/27/2020,Southwest,Confirmed,61,1,0
6/27/2020,Southwest,Probable,1,0,0
6/26/2020,Central,Confirmed,109,6,0
6/26/2020,Eastern,Confirmed,166,5,1
6/26/2020,Eastern,Probable,1,0,0
6/26/2020,Northern,Confirmed,167,7,1
6/26/2020,Northern,Probable,8,0,0
6/26/2020,Northwest,Confirmed,71,4,1
6/26/2020,Northwest,Probable,5,0,0
6/26/2020,Southwest,Confirmed,83,1,1
6/26/2020,Southwest,Probable,1,0,0
6/25/2020,Central,Confirmed,114,4,1
6/25/2020,Central,Probable,2,0,0
6/25/2020,Eastern,Confirmed,112,4,0
6/25/2020,Eastern,Probable,2,0,0
6/25/2020,Northern,Confirmed,185,6,0
6/25/2020,Northern,Probable,6,1,0
6/25/2020,Northwest,Confirmed,57,2,6
6/25/2020,Northwest,Probable,5,1,0
6/25/2020,Southwest,Confirmed,86,6,0
6/25/2020,Southwest,Probable,1,0,0
6/24/2020,Central,Confirmed,96,5,0
6/24/2020,Eastern,Confirmed,133,5,1
6/24/2020,Eastern,Probable,2,0,0
6/24/2020,Northern,Confirmed,188,0,2
6/24/2020,Northern,Probable,7,0,0
6/24/2020,Northwest,Confirmed,62,3,1
6/24/2020,Northwest,Probable,8,0,0
6/24/2020,Southwest,Confirmed,111,2,0
6/24/2020,Southwest,Probable,1,0,0
6/23/2020,Central,Confirmed,129,7,0
6/23/2020,Central,Probable,1,0,0
6/23/2020,Eastern,Confirmed,123,7,2
6/23/2020,Eastern,Probable,2,0,0
6/23/2020,Northern,Confirmed,201,8,2
6/23/2020,Northern,Probable,12,0,0
6/23/2020,Northwest,Confirmed,76,3,1
6/23/2020,Northwest,Probable,8,0,0
6/23/2020,Southwest,Confirmed,80,4,1
6/23/2020,Southwest,Probable,3,0,0
