Report Date,Health District,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths
5/4/2020,Southside,Not Reported,0,0,0
5/4/2020,Chesapeake,Female,166,36,4
5/4/2020,Richmond,Female,211,29,3
5/4/2020,Roanoke,Male,30,3,0
5/4/2020,Fairfax,Not Reported,46,5,1
5/4/2020,Thomas Jefferson,Female,184,33,5
5/4/2020,Chesapeake,Not Reported,0,0,0
5/4/2020,Cumberland Plateau,Male,13,1,0
5/4/2020,Eastern Shore,Female,296,14,5
5/4/2020,Lord Fairfax,Not Reported,2,0,0
5/4/2020,Rappahannock,Not Reported,2,0,0
5/4/2020,Central Shenandoah,Not Reported,7,0,0
5/4/2020,Peninsula,Male,178,56,9
5/4/2020,Norfolk,Male,128,21,4
5/4/2020,Alexandria,Female,483,49,12
5/4/2020,Lenowisco,Male,22,8,1
5/4/2020,Pittsylvania-Danville,Female,31,11,1
5/4/2020,New River,Not Reported,1,0,0
5/4/2020,Chesterfield,Not Reported,8,0,0
5/4/2020,Loudoun,Male,453,60,9
5/4/2020,Rappahannock Rapidan,Female,189,12,1
5/4/2020,Piedmont,Female,87,8,1
5/4/2020,Richmond,Male,205,42,11
5/4/2020,Crater,Female,144,35,10
5/4/2020,Portsmouth,Female,82,18,4
5/4/2020,Arlington,Not Reported,9,0,0
5/4/2020,Mount Rogers,Not Reported,1,0,0
5/4/2020,Thomas Jefferson,Not Reported,1,0,0
5/4/2020,Three Rivers,Not Reported,1,0,0
5/4/2020,Hampton,Male,55,17,1
5/4/2020,Alleghany,Male,47,10,1
5/4/2020,Roanoke,Female,49,2,0
5/4/2020,Loudoun,Not Reported,2,0,0
5/4/2020,Fairfax,Female,2266,340,103
5/4/2020,Western Tidewater,Male,234,33,8
5/4/2020,Peninsula,Not Reported,1,0,0
5/4/2020,New River,Male,35,7,1
5/4/2020,Central Shenandoah,Male,392,24,10
5/4/2020,Southside,Male,45,15,5
5/4/2020,Chesterfield,Male,295,32,16
5/4/2020,Arlington,Female,568,86,19
5/4/2020,Rappahannock,Male,290,59,9
5/4/2020,Central Virginia,Male,80,5,1
5/4/2020,Alleghany,Not Reported,0,0,0
5/4/2020,Henrico,Male,389,73,50
5/4/2020,Thomas Jefferson,Male,134,27,8
5/4/2020,Lord Fairfax,Male,217,21,3
5/4/2020,Three Rivers,Male,177,10,1
5/4/2020,Richmond,Not Reported,3,1,2
5/4/2020,Pittsylvania-Danville,Male,21,9,1
5/4/2020,Portsmouth,Not Reported,1,0,0
5/4/2020,Norfolk,Not Reported,0,0,0
5/4/2020,Chesapeake,Male,118,27,5
5/4/2020,Chickahominy,Female,173,28,10
5/4/2020,Prince William,Male,1246,137,17
5/4/2020,Eastern Shore,Not Reported,4,0,0
5/4/2020,Eastern Shore,Male,264,12,2
5/4/2020,Rappahannock Rapidan,Male,200,20,6
5/4/2020,Henrico,Not Reported,3,0,1
5/4/2020,Cumberland Plateau,Female,14,1,0
5/4/2020,West Piedmont,Male,21,4,1
5/4/2020,Hampton,Not Reported,1,0,0
5/4/2020,Alexandria,Not Reported,2,0,0
5/4/2020,Western Tidewater,Not Reported,1,0,0
5/4/2020,Cumberland Plateau,Not Reported,0,0,0
5/4/2020,Virginia Beach,Male,194,46,10
5/4/2020,Alleghany,Female,74,6,2
5/4/2020,Lenowisco,Female,19,6,1
5/4/2020,Virginia Beach,Not Reported,2,0,0
5/4/2020,Western Tidewater,Female,204,17,10
5/4/2020,Mount Rogers,Male,58,10,4
5/4/2020,Lord Fairfax,Female,292,21,2
5/4/2020,Piedmont,Not Reported,0,0,0
5/4/2020,Alexandria,Male,455,61,14
5/4/2020,Pittsylvania-Danville,Not Reported,0,0,0
5/4/2020,West Piedmont,Not Reported,0,0,0
5/4/2020,Loudoun,Female,506,36,9
5/4/2020,Hampton,Female,72,11,0
5/4/2020,Henrico,Female,572,64,54
5/4/2020,Prince William,Not Reported,38,0,0
5/4/2020,Chickahominy,Male,86,24,9
5/4/2020,Rappahannock Rapidan,Not Reported,8,0,0
5/4/2020,Peninsula,Female,196,46,16
5/4/2020,Lenowisco,Not Reported,0,0,0
5/4/2020,Crater,Not Reported,2,2,0
5/4/2020,Chickahominy,Not Reported,5,1,0
5/4/2020,Portsmouth,Male,100,17,4
5/4/2020,New River,Female,42,3,0
5/4/2020,Rappahannock,Female,303,37,2
5/4/2020,Central Virginia,Female,67,3,0
5/4/2020,Roanoke,Not Reported,2,0,0
5/4/2020,West Piedmont,Female,25,2,0
5/4/2020,Mount Rogers,Female,55,6,0
5/4/2020,Piedmont,Male,161,15,2
5/4/2020,Chesterfield,Female,370,21,14
5/4/2020,Fairfax,Male,2372,439,100
5/4/2020,Crater,Male,110,22,4
5/4/2020,Central Virginia,Not Reported,0,0,0
5/4/2020,Prince William,Female,1223,129,18
5/4/2020,Virginia Beach,Female,243,37,5
5/4/2020,Norfolk,Female,111,24,0
5/4/2020,Three Rivers,Female,78,13,1
5/4/2020,Arlington,Male,562,108,28
5/4/2020,Central Shenandoah,Female,462,22,8
5/4/2020,Southside,Female,95,10,5
