Report Date,Health District,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths
7/18/2020,Southside,Not Reported,4,0,0
7/18/2020,Chesapeake,Female,915,89,12
7/18/2020,Richmond,Female,1237,114,10
7/18/2020,Roanoke,Male,284,8,3
7/18/2020,Fairfax,Not Reported,94,2,2
7/18/2020,Thomas Jefferson,Female,729,60,14
7/18/2020,Chesapeake,Not Reported,3,0,0
7/18/2020,Cumberland Plateau,Male,65,6,0
7/18/2020,Eastern Shore,Female,666,61,23
7/18/2020,Lord Fairfax,Not Reported,8,0,0
7/18/2020,Rappahannock,Not Reported,7,1,0
7/18/2020,Central Shenandoah,Not Reported,1,0,0
7/18/2020,Peninsula,Male,798,73,15
7/18/2020,Norfolk,Male,994,67,11
7/18/2020,Alexandria,Female,1315,119,30
7/18/2020,Lenowisco,Male,53,11,4
7/18/2020,Pittsylvania-Danville,Female,214,29,3
7/18/2020,New River,Not Reported,3,0,0
7/18/2020,Chesterfield,Not Reported,91,0,2
7/18/2020,Loudoun,Male,2267,180,39
7/18/2020,Rappahannock Rapidan,Female,833,51,10
7/18/2020,Piedmont,Female,354,47,5
7/18/2020,Richmond,Male,1262,134,24
7/18/2020,Crater,Female,797,96,29
7/18/2020,Portsmouth,Female,481,56,12
7/18/2020,Arlington,Not Reported,4,0,0
7/18/2020,Mount Rogers,Not Reported,2,0,0
7/18/2020,Thomas Jefferson,Not Reported,0,0,0
7/18/2020,Three Rivers,Not Reported,20,0,0
7/18/2020,Hampton,Male,278,27,3
7/18/2020,Alleghany,Male,319,24,5
7/18/2020,Roanoke,Female,325,7,7
7/18/2020,Loudoun,Not Reported,27,0,0
7/18/2020,Fairfax,Female,7583,771,256
7/18/2020,Western Tidewater,Male,588,64,38
7/18/2020,Peninsula,Not Reported,5,0,0
7/18/2020,New River,Male,175,17,5
7/18/2020,Central Shenandoah,Male,1119,94,23
7/18/2020,Southside,Male,229,30,13
7/18/2020,Chesterfield,Male,1802,102,42
7/18/2020,Arlington,Female,1340,191,66
7/18/2020,Rappahannock,Male,1317,135,27
7/18/2020,Central Virginia,Male,293,10,4
7/18/2020,Alleghany,Not Reported,7,0,0
7/18/2020,Henrico,Male,1368,151,83
7/18/2020,Thomas Jefferson,Male,634,55,15
7/18/2020,Lord Fairfax,Male,1088,107,36
7/18/2020,Three Rivers,Male,567,25,3
7/18/2020,Richmond,Not Reported,42,2,2
7/18/2020,Pittsylvania-Danville,Male,157,23,1
7/18/2020,Portsmouth,Not Reported,3,0,0
7/18/2020,Norfolk,Not Reported,1,0,0
7/18/2020,Chesapeake,Male,694,75,12
7/18/2020,Chickahominy,Female,422,58,20
7/18/2020,Prince William,Male,5000,493,106
7/18/2020,Eastern Shore,Not Reported,9,0,0
7/18/2020,Eastern Shore,Male,654,55,20
7/18/2020,Rappahannock Rapidan,Male,833,73,14
7/18/2020,Henrico,Not Reported,14,0,0
7/18/2020,Cumberland Plateau,Female,65,2,0
7/18/2020,West Piedmont,Male,319,35,4
7/18/2020,Hampton,Not Reported,3,0,0
7/18/2020,Alexandria,Not Reported,7,0,0
7/18/2020,Western Tidewater,Not Reported,1,0,0
7/18/2020,Cumberland Plateau,Not Reported,0,0,0
7/18/2020,Virginia Beach,Male,1135,74,20
7/18/2020,Alleghany,Female,368,13,10
7/18/2020,Lenowisco,Female,60,10,1
7/18/2020,Virginia Beach,Not Reported,11,0,0
7/18/2020,Western Tidewater,Female,658,45,30
7/18/2020,Mount Rogers,Male,432,58,20
7/18/2020,Lord Fairfax,Female,1202,95,44
7/18/2020,Piedmont,Not Reported,4,0,0
7/18/2020,Alexandria,Male,1218,136,26
7/18/2020,Pittsylvania-Danville,Not Reported,2,0,0
7/18/2020,West Piedmont,Not Reported,4,0,0
7/18/2020,Loudoun,Female,2302,137,64
7/18/2020,Hampton,Female,364,15,1
7/18/2020,Henrico,Female,1623,131,92
7/18/2020,Prince William,Not Reported,69,1,0
7/18/2020,Chickahominy,Male,350,56,20
7/18/2020,Rappahannock Rapidan,Not Reported,7,1,1
7/18/2020,Peninsula,Female,944,71,23
7/18/2020,Lenowisco,Not Reported,0,0,0
7/18/2020,Crater,Not Reported,15,1,0
7/18/2020,Chickahominy,Not Reported,4,0,0
7/18/2020,Portsmouth,Male,441,40,8
7/18/2020,New River,Female,157,8,1
7/18/2020,Rappahannock,Female,1482,120,19
7/18/2020,Central Virginia,Female,283,7,2
7/18/2020,Roanoke,Not Reported,12,0,0
7/18/2020,West Piedmont,Female,376,43,4
7/18/2020,Mount Rogers,Female,501,31,16
7/18/2020,Piedmont,Male,803,67,14
7/18/2020,Chesterfield,Female,1799,104,44
7/18/2020,Fairfax,Male,7248,1035,264
7/18/2020,Crater,Male,1014,89,21
7/18/2020,Central Virginia,Not Reported,0,0,0
7/18/2020,Prince William,Female,5026,389,82
7/18/2020,Virginia Beach,Female,1318,70,16
7/18/2020,Norfolk,Female,1139,71,8
7/18/2020,Three Rivers,Female,255,36,8
7/18/2020,Arlington,Male,1382,236,69
7/18/2020,Central Shenandoah,Female,1288,97,25
7/18/2020,Southside,Female,288,30,19
