Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
5/4/2020,Central Shenandoah,80+,61,7,7
5/4/2020,Thomas Jefferson,40-49,33,4,0
5/4/2020,Rappahannock Rapidan,60-69,35,6,0
5/4/2020,Norfolk,30-39,51,4,0
5/4/2020,Rappahannock Rapidan,Missing,0,0,0
5/4/2020,Lord Fairfax,80+,34,7,1
5/4/2020,Three Rivers,10-19,6,0,0
5/4/2020,Piedmont,40-49,45,1,0
5/4/2020,Norfolk,80+,7,5,2
5/4/2020,Peninsula,20-29,31,1,0
5/4/2020,Norfolk,50-59,41,7,0
5/4/2020,Thomas Jefferson,50-59,49,9,1
5/4/2020,Richmond,70-79,32,15,5
5/4/2020,Chesterfield,70-79,55,9,5
5/4/2020,Piedmont,30-39,45,0,0
5/4/2020,Prince William,30-39,495,29,1
5/4/2020,Alleghany,20-29,14,1,0
5/4/2020,Alleghany,0-9,0,0,0
5/4/2020,Mount Rogers,40-49,15,0,0
5/4/2020,Eastern Shore,40-49,111,3,1
5/4/2020,Central Virginia,60-69,26,2,1
5/4/2020,Richmond,10-19,9,1,0
5/4/2020,Pittsylvania-Danville,60-69,7,4,1
5/4/2020,Pittsylvania-Danville,Missing,0,0,0
5/4/2020,Chesterfield,60-69,82,13,8
5/4/2020,Southside,10-19,3,0,0
5/4/2020,New River,80+,4,2,0
5/4/2020,Central Virginia,50-59,26,1,0
5/4/2020,Hampton,70-79,8,5,0
5/4/2020,Pittsylvania-Danville,10-19,1,0,0
5/4/2020,Richmond,60-69,70,20,4
5/4/2020,Chickahominy,40-49,46,5,1
5/4/2020,Three Rivers,80+,19,4,0
5/4/2020,Rappahannock,30-39,123,7,0
5/4/2020,Chickahominy,50-59,56,11,0
5/4/2020,Alleghany,40-49,14,0,0
5/4/2020,Prince William,50-59,466,59,4
5/4/2020,Mount Rogers,0-9,5,1,0
5/4/2020,Eastern Shore,0-9,5,0,0
5/4/2020,Thomas Jefferson,60-69,44,11,2
5/4/2020,Pittsylvania-Danville,70-79,9,6,0
5/4/2020,Chesterfield,80+,78,8,14
5/4/2020,Richmond,0-9,3,0,0
5/4/2020,Chesapeake,80+,29,9,5
5/4/2020,Peninsula,40-49,42,3,1
5/4/2020,Henrico,0-9,21,0,0
5/4/2020,Lenowisco,80+,0,0,0
5/4/2020,Piedmont,60-69,39,6,0
5/4/2020,West Piedmont,0-9,0,0,0
5/4/2020,Rappahannock Rapidan,70-79,14,2,2
5/4/2020,Central Shenandoah,70-79,60,11,8
5/4/2020,Chesapeake,30-39,46,3,0
5/4/2020,Chickahominy,0-9,1,0,0
5/4/2020,Prince William,0-9,62,2,0
5/4/2020,Eastern Shore,50-59,129,4,3
5/4/2020,Mount Rogers,50-59,22,1,0
5/4/2020,Loudoun,10-19,26,0,0
5/4/2020,Southside,80+,37,4,5
5/4/2020,Central Virginia,80+,4,1,0
5/4/2020,Rappahannock,Missing,0,0,0
5/4/2020,Rappahannock Rapidan,30-39,87,7,0
5/4/2020,New River,50-59,15,2,0
5/4/2020,Richmond,80+,21,8,7
5/4/2020,Mount Rogers,20-29,19,0,0
5/4/2020,Eastern Shore,20-29,67,1,0
5/4/2020,Hampton,10-19,6,0,0
5/4/2020,Portsmouth,0-9,1,1,0
5/4/2020,Crater,70-79,30,11,4
5/4/2020,Chesterfield,40-49,123,5,2
5/4/2020,Alexandria,Missing,1,0,0
5/4/2020,Southside,30-39,12,0,0
5/4/2020,Prince William,Missing,0,0,0
5/4/2020,Hampton,60-69,21,9,1
5/4/2020,Fairfax,20-29,629,32,1
5/4/2020,Thomas Jefferson,0-9,3,1,0
5/4/2020,Lenowisco,40-49,4,1,0
5/4/2020,Central Virginia,10-19,9,0,0
5/4/2020,Lenowisco,70-79,4,3,0
5/4/2020,Arlington,50-59,195,32,1
5/4/2020,Piedmont,70-79,21,10,2
5/4/2020,Alexandria,60-69,85,18,1
5/4/2020,Portsmouth,30-39,47,3,0
5/4/2020,Lenowisco,20-29,6,0,0
5/4/2020,Central Virginia,30-39,25,1,0
5/4/2020,Norfolk,10-19,7,0,0
5/4/2020,New River,10-19,3,0,0
5/4/2020,Central Virginia,20-29,24,1,0
5/4/2020,Rappahannock,50-59,103,19,1
5/4/2020,Rappahannock,60-69,72,28,3
5/4/2020,Piedmont,20-29,37,0,0
5/4/2020,New River,60-69,15,2,0
5/4/2020,Roanoke,40-49,7,0,0
5/4/2020,Three Rivers,20-29,31,0,0
5/4/2020,Rappahannock,40-49,125,16,1
5/4/2020,Portsmouth,80+,13,4,1
5/4/2020,Central Shenandoah,Missing,0,0,0
5/4/2020,Eastern Shore,70-79,25,4,1
5/4/2020,Mount Rogers,70-79,10,6,1
5/4/2020,Cumberland Plateau,70-79,2,0,0
5/4/2020,Piedmont,10-19,3,0,0
5/4/2020,Southside,20-29,17,2,0
5/4/2020,Chesterfield,50-59,114,14,1
5/4/2020,Rappahannock Rapidan,20-29,71,1,0
5/4/2020,Cumberland Plateau,60-69,2,1,0
5/4/2020,Roanoke,70-79,6,1,0
5/4/2020,Central Shenandoah,20-29,133,1,0
5/4/2020,Pittsylvania-Danville,80+,3,2,1
5/4/2020,Virginia Beach,80+,57,18,9
5/4/2020,Central Shenandoah,50-59,166,11,0
5/4/2020,Lenowisco,Missing,0,0,0
5/4/2020,Fairfax,30-39,863,73,2
5/4/2020,Lenowisco,60-69,8,6,1
5/4/2020,Loudoun,30-39,134,8,0
5/4/2020,West Piedmont,80+,3,1,0
5/4/2020,Roanoke,80+,33,2,0
5/4/2020,Fairfax,40-49,918,114,2
5/4/2020,Thomas Jefferson,80+,55,19,9
5/4/2020,Roanoke,20-29,9,0,0
5/4/2020,Henrico,60-69,139,22,17
5/4/2020,Lord Fairfax,40-49,77,2,0
5/4/2020,Western Tidewater,Missing,0,0,0
5/4/2020,Chickahominy,60-69,35,10,2
5/4/2020,Chesapeake,20-29,25,3,0
5/4/2020,Three Rivers,Missing,0,0,0
5/4/2020,Henrico,10-19,10,0,0
5/4/2020,Mount Rogers,30-39,21,3,0
5/4/2020,Eastern Shore,30-39,103,2,0
5/4/2020,Norfolk,0-9,5,0,0
5/4/2020,Cumberland Plateau,40-49,4,0,0
5/4/2020,Eastern Shore,10-19,16,0,0
5/4/2020,Mount Rogers,10-19,6,0,0
5/4/2020,Rappahannock Rapidan,0-9,11,1,0
5/4/2020,Three Rivers,0-9,2,0,0
5/4/2020,Henrico,40-49,126,12,0
5/4/2020,Alexandria,50-59,128,23,7
5/4/2020,Arlington,0-9,9,1,0
5/4/2020,Chickahominy,Missing,0,0,0
5/4/2020,New River,20-29,18,0,0
5/4/2020,Virginia Beach,20-29,48,1,0
5/4/2020,Chesapeake,50-59,59,12,1
5/4/2020,Alleghany,80+,20,4,2
5/4/2020,Fairfax,10-19,137,4,0
5/4/2020,Chesapeake,60-69,44,14,3
5/4/2020,West Piedmont,Missing,0,0,0
5/4/2020,Peninsula,80+,30,20,9
5/4/2020,Crater,40-49,38,8,1
5/4/2020,Chesapeake,40-49,50,8,0
5/4/2020,Thomas Jefferson,20-29,40,0,0
5/4/2020,Lord Fairfax,20-29,78,0,0
5/4/2020,Norfolk,20-29,44,0,0
5/4/2020,Arlington,30-39,191,23,0
5/4/2020,West Piedmont,60-69,12,1,0
5/4/2020,Henrico,50-59,136,17,4
5/4/2020,West Piedmont,50-59,10,1,0
5/4/2020,Cumberland Plateau,20-29,0,0,0
5/4/2020,Alexandria,70-79,56,23,7
5/4/2020,Portsmouth,20-29,22,2,0
5/4/2020,Western Tidewater,30-39,32,1,0
5/4/2020,Central Shenandoah,0-9,13,0,0
5/4/2020,Henrico,80+,216,47,55
5/4/2020,Alexandria,0-9,37,1,0
5/4/2020,Pittsylvania-Danville,40-49,8,3,0
5/4/2020,Henrico,20-29,78,5,0
5/4/2020,Roanoke,60-69,7,1,0
5/4/2020,Peninsula,30-39,41,4,0
5/4/2020,Alleghany,60-69,20,4,0
5/4/2020,Prince William,70-79,97,33,9
5/4/2020,Norfolk,60-69,26,13,1
5/4/2020,Southside,40-49,13,3,0
5/4/2020,Chesterfield,30-39,110,1,0
5/4/2020,Loudoun,70-79,56,17,2
5/4/2020,Central Virginia,40-49,18,0,0
5/4/2020,New River,Missing,0,0,0
5/4/2020,Chickahominy,20-29,29,0,0
5/4/2020,New River,0-9,2,0,0
5/4/2020,Cumberland Plateau,0-9,0,0,0
5/4/2020,Three Rivers,70-79,16,5,1
5/4/2020,Rappahannock Rapidan,40-49,87,3,1
5/4/2020,Hampton,0-9,4,0,0
5/4/2020,Piedmont,50-59,48,5,0
5/4/2020,Rappahannock,20-29,106,5,0
5/4/2020,West Piedmont,20-29,5,0,0
5/4/2020,Arlington,70-79,104,32,11
5/4/2020,Lord Fairfax,60-69,79,14,2
5/4/2020,Western Tidewater,0-9,3,0,0
5/4/2020,Rappahannock,70-79,21,13,4
5/4/2020,Prince William,80+,58,22,9
5/4/2020,Hampton,80+,3,2,0
5/4/2020,Alexandria,80+,44,16,10
5/4/2020,Mount Rogers,60-69,12,1,0
5/4/2020,Eastern Shore,60-69,81,5,0
5/4/2020,Lord Fairfax,70-79,35,8,1
5/4/2020,New River,30-39,4,0,0
5/4/2020,Chesapeake,10-19,4,0,0
5/4/2020,Hampton,40-49,14,2,0
