,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-07-30T00:00:00.000,Alexandria,0-9,158,2,0
1,2020-07-30T00:00:00.000,Alexandria,10-19,208,5,0
2,2020-07-30T00:00:00.000,Alexandria,20-29,479,11,1
3,2020-07-30T00:00:00.000,Alexandria,30-39,638,32,0
4,2020-07-30T00:00:00.000,Alexandria,40-49,512,43,0
5,2020-07-30T00:00:00.000,Alexandria,50-59,346,53,11
6,2020-07-30T00:00:00.000,Alexandria,60-69,224,50,2
7,2020-07-30T00:00:00.000,Alexandria,70-79,107,41,18
8,2020-07-30T00:00:00.000,Alexandria,80+,96,29,25
9,2020-07-30T00:00:00.000,Alexandria,Missing,11,0,0
10,2020-07-30T00:00:00.000,Alleghany,0-9,19,0,0
11,2020-07-30T00:00:00.000,Alleghany,10-19,104,0,0
12,2020-07-30T00:00:00.000,Alleghany,20-29,151,1,0
13,2020-07-30T00:00:00.000,Alleghany,30-39,109,2,0
14,2020-07-30T00:00:00.000,Alleghany,40-49,117,2,0
15,2020-07-30T00:00:00.000,Alleghany,50-59,116,6,1
16,2020-07-30T00:00:00.000,Alleghany,60-69,79,8,1
17,2020-07-30T00:00:00.000,Alleghany,70-79,76,8,10
18,2020-07-30T00:00:00.000,Alleghany,80+,46,10,6
19,2020-07-30T00:00:00.000,Alleghany,Missing,2,0,0
20,2020-07-30T00:00:00.000,Arlington,0-9,63,2,0
21,2020-07-30T00:00:00.000,Arlington,10-19,140,5,0
22,2020-07-30T00:00:00.000,Arlington,20-29,571,22,0
23,2020-07-30T00:00:00.000,Arlington,30-39,520,43,0
24,2020-07-30T00:00:00.000,Arlington,40-49,471,52,8
25,2020-07-30T00:00:00.000,Arlington,50-59,411,69,6
26,2020-07-30T00:00:00.000,Arlington,60-69,300,82,19
27,2020-07-30T00:00:00.000,Arlington,70-79,180,73,33
28,2020-07-30T00:00:00.000,Arlington,80+,205,84,69
29,2020-07-30T00:00:00.000,Arlington,Missing,13,1,0
30,2020-07-30T00:00:00.000,Central Shenandoah,0-9,74,0,0
31,2020-07-30T00:00:00.000,Central Shenandoah,10-19,159,1,0
32,2020-07-30T00:00:00.000,Central Shenandoah,20-29,515,11,0
33,2020-07-30T00:00:00.000,Central Shenandoah,30-39,386,8,0
34,2020-07-30T00:00:00.000,Central Shenandoah,40-49,427,16,0
35,2020-07-30T00:00:00.000,Central Shenandoah,50-59,443,35,4
36,2020-07-30T00:00:00.000,Central Shenandoah,60-69,316,47,14
37,2020-07-30T00:00:00.000,Central Shenandoah,70-79,161,50,14
38,2020-07-30T00:00:00.000,Central Shenandoah,80+,136,35,20
39,2020-07-30T00:00:00.000,Central Shenandoah,Missing,1,0,0
40,2020-07-30T00:00:00.000,Central Virginia,0-9,27,0,0
41,2020-07-30T00:00:00.000,Central Virginia,10-19,113,1,0
42,2020-07-30T00:00:00.000,Central Virginia,20-29,224,2,0
43,2020-07-30T00:00:00.000,Central Virginia,30-39,133,1,0
44,2020-07-30T00:00:00.000,Central Virginia,40-49,137,1,0
45,2020-07-30T00:00:00.000,Central Virginia,50-59,143,4,4
46,2020-07-30T00:00:00.000,Central Virginia,60-69,90,6,2
47,2020-07-30T00:00:00.000,Central Virginia,70-79,54,5,2
48,2020-07-30T00:00:00.000,Central Virginia,80+,35,5,1
49,2020-07-30T00:00:00.000,Central Virginia,Missing,1,0,0
50,2020-07-30T00:00:00.000,Chesapeake,0-9,74,1,0
51,2020-07-30T00:00:00.000,Chesapeake,10-19,165,1,0
