,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-08-29T00:00:00.000,Alexandria,0-9,200,2,0
1,2020-08-29T00:00:00.000,Alexandria,10-19,237,5,0
2,2020-08-29T00:00:00.000,Alexandria,20-29,602,12,1
3,2020-08-29T00:00:00.000,Alexandria,30-39,775,37,1
4,2020-08-29T00:00:00.000,Alexandria,40-49,605,45,0
5,2020-08-29T00:00:00.000,Alexandria,50-59,433,61,12
6,2020-08-29T00:00:00.000,Alexandria,60-69,263,57,3
7,2020-08-29T00:00:00.000,Alexandria,70-79,120,44,18
8,2020-08-29T00:00:00.000,Alexandria,80+,112,34,27
9,2020-08-29T00:00:00.000,Alexandria,Missing,11,0,0
10,2020-08-29T00:00:00.000,Alleghany,0-9,37,0,0
11,2020-08-29T00:00:00.000,Alleghany,10-19,134,1,0
12,2020-08-29T00:00:00.000,Alleghany,20-29,234,1,0
13,2020-08-29T00:00:00.000,Alleghany,30-39,156,5,0
14,2020-08-29T00:00:00.000,Alleghany,40-49,161,5,0
15,2020-08-29T00:00:00.000,Alleghany,50-59,174,10,1
16,2020-08-29T00:00:00.000,Alleghany,60-69,107,11,1
17,2020-08-29T00:00:00.000,Alleghany,70-79,96,13,11
18,2020-08-29T00:00:00.000,Alleghany,80+,51,12,6
19,2020-08-29T00:00:00.000,Alleghany,Missing,2,0,0
20,2020-08-29T00:00:00.000,Arlington,0-9,88,2,0
21,2020-08-29T00:00:00.000,Arlington,10-19,188,5,0
22,2020-08-29T00:00:00.000,Arlington,20-29,764,22,0
23,2020-08-29T00:00:00.000,Arlington,30-39,662,44,0
24,2020-08-29T00:00:00.000,Arlington,40-49,566,60,8
25,2020-08-29T00:00:00.000,Arlington,50-59,479,77,6
26,2020-08-29T00:00:00.000,Arlington,60-69,335,85,19
27,2020-08-29T00:00:00.000,Arlington,70-79,200,75,34
28,2020-08-29T00:00:00.000,Arlington,80+,215,90,70
29,2020-08-29T00:00:00.000,Arlington,Missing,16,1,0
30,2020-08-29T00:00:00.000,Central Shenandoah,0-9,102,0,0
31,2020-08-29T00:00:00.000,Central Shenandoah,10-19,224,1,0
