Report Date,Health District,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths
6/12/2020,Southside,Not Reported,3,0,0
6/12/2020,Chesapeake,Female,358,50,7
6/12/2020,Richmond,Female,816,76,6
6/12/2020,Roanoke,Male,96,6,2
6/12/2020,Fairfax,Not Reported,136,5,5
6/12/2020,Thomas Jefferson,Female,355,42,9
6/12/2020,Chesapeake,Not Reported,1,0,0
6/12/2020,Cumberland Plateau,Male,16,1,0
6/12/2020,Eastern Shore,Female,623,48,21
6/12/2020,Lord Fairfax,Not Reported,14,0,0
6/12/2020,Rappahannock,Not Reported,10,1,0
6/12/2020,Central Shenandoah,Not Reported,0,0,0
6/12/2020,Peninsula,Male,336,62,12
6/12/2020,Norfolk,Male,314,37,6
6/12/2020,Alexandria,Female,1085,99,26
6/12/2020,Lenowisco,Male,24,8,3
6/12/2020,Pittsylvania-Danville,Female,67,16,2
6/12/2020,New River,Not Reported,3,0,0
6/12/2020,Chesterfield,Not Reported,72,0,1
6/12/2020,Loudoun,Male,1605,107,29
6/12/2020,Rappahannock Rapidan,Female,638,37,6
6/12/2020,Piedmont,Female,236,30,3
6/12/2020,Richmond,Male,876,107,20
6/12/2020,Crater,Female,474,61,14
6/12/2020,Portsmouth,Female,173,32,5
6/12/2020,Arlington,Not Reported,9,1,0
6/12/2020,Mount Rogers,Not Reported,4,1,1
6/12/2020,Thomas Jefferson,Not Reported,7,0,0
6/12/2020,Three Rivers,Not Reported,18,0,0
6/12/2020,Hampton,Male,107,23,3
6/12/2020,Alleghany,Male,117,17,5
6/12/2020,Roanoke,Female,130,5,8
6/12/2020,Loudoun,Not Reported,21,0,4
6/12/2020,Fairfax,Female,6511,647,216
6/12/2020,Western Tidewater,Male,345,49,26
6/12/2020,Peninsula,Not Reported,4,0,0
6/12/2020,New River,Male,69,11,4
6/12/2020,Central Shenandoah,Male,815,64,15
6/12/2020,Southside,Male,98,21,10
6/12/2020,Chesterfield,Male,1071,67,28
6/12/2020,Arlington,Female,1139,181,60
6/12/2020,Rappahannock,Male,958,105,17
6/12/2020,Central Virginia,Male,139,9,4
6/12/2020,Alleghany,Not Reported,3,0,0
6/12/2020,Henrico,Male,967,119,68
6/12/2020,Thomas Jefferson,Male,318,37,10
6/12/2020,Lord Fairfax,Male,816,71,30
6/12/2020,Three Rivers,Male,389,16,2
6/12/2020,Richmond,Not Reported,41,2,2
6/12/2020,Pittsylvania-Danville,Male,54,15,1
6/12/2020,Portsmouth,Not Reported,3,0,0
6/12/2020,Norfolk,Not Reported,2,0,0
6/12/2020,Chesapeake,Male,277,49,9
6/12/2020,Chickahominy,Female,303,46,15
6/12/2020,Prince William,Male,4060,400,74
6/12/2020,Eastern Shore,Not Reported,3,0,0
6/12/2020,Eastern Shore,Male,620,44,19
6/12/2020,Rappahannock Rapidan,Male,662,60,11
6/12/2020,Henrico,Not Reported,8,0,1
6/12/2020,Cumberland Plateau,Female,19,1,0
6/12/2020,West Piedmont,Male,155,18,3
6/12/2020,Hampton,Not Reported,2,0,0
6/12/2020,Alexandria,Not Reported,8,0,0
6/12/2020,Western Tidewater,Not Reported,2,0,0
6/12/2020,Cumberland Plateau,Not Reported,0,0,0
6/12/2020,Virginia Beach,Male,396,58,16
6/12/2020,Alleghany,Female,136,9,9
6/12/2020,Lenowisco,Female,21,8,1
6/12/2020,Virginia Beach,Not Reported,6,0,0
6/12/2020,Western Tidewater,Female,338,28,19
6/12/2020,Mount Rogers,Male,229,39,11
6/12/2020,Lord Fairfax,Female,873,68,31
6/12/2020,Piedmont,Not Reported,1,0,0
6/12/2020,Alexandria,Male,1035,123,22
6/12/2020,Pittsylvania-Danville,Not Reported,1,0,0
6/12/2020,West Piedmont,Not Reported,6,0,0
6/12/2020,Loudoun,Female,1654,97,37
6/12/2020,Hampton,Female,125,14,2
6/12/2020,Henrico,Female,1218,112,67
6/12/2020,Prince William,Not Reported,89,1,0
6/12/2020,Chickahominy,Male,236,48,19
6/12/2020,Rappahannock Rapidan,Not Reported,32,2,1
6/12/2020,Peninsula,Female,391,58,21
6/12/2020,Lenowisco,Not Reported,0,0,0
6/12/2020,Crater,Not Reported,17,3,0
6/12/2020,Chickahominy,Not Reported,7,1,0
6/12/2020,Portsmouth,Male,194,24,6
6/12/2020,New River,Female,74,7,0
6/12/2020,Rappahannock,Female,1020,80,7
6/12/2020,Central Virginia,Female,121,8,0
6/12/2020,Roanoke,Not Reported,6,0,0
6/12/2020,West Piedmont,Female,159,14,2
6/12/2020,Mount Rogers,Female,282,16,8
6/12/2020,Piedmont,Male,637,38,4
6/12/2020,Chesterfield,Female,1127,59,26
6/12/2020,Fairfax,Male,6340,830,214
6/12/2020,Crater,Male,669,45,7
6/12/2020,Central Virginia,Not Reported,0,0,0
6/12/2020,Prince William,Female,3941,324,64
6/12/2020,Virginia Beach,Female,445,49,11
6/12/2020,Norfolk,Female,314,37,1
6/12/2020,Three Rivers,Female,165,29,7
6/12/2020,Arlington,Male,1159,215,65
6/12/2020,Central Shenandoah,Female,941,74,17
6/12/2020,Southside,Female,201,23,16
