Event Date,Health Planning Region,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
6/1/2020,Eastern,Confirmed,6,0,0
6/1/2020,Northern,Confirmed,32,1,1
6/1/2020,Northwest,Confirmed,4,0,0
5/31/2020,Central,Confirmed,13,3,0
5/31/2020,Eastern,Confirmed,15,0,0
5/31/2020,Northern,Confirmed,22,3,1
5/31/2020,Northern,Probable,7,0,0
5/31/2020,Northwest,Confirmed,3,2,1
5/31/2020,Northwest,Probable,1,0,0
5/30/2020,Central,Confirmed,10,1,0
5/30/2020,Eastern,Confirmed,16,2,0
5/30/2020,Northern,Confirmed,29,8,2
5/30/2020,Northern,Probable,1,0,0
5/30/2020,Northwest,Confirmed,25,3,1
5/30/2020,Northwest,Probable,1,0,0
5/30/2020,Southwest,Confirmed,1,1,0
5/29/2020,Central,Confirmed,86,5,2
5/29/2020,Eastern,Confirmed,29,3,2
5/29/2020,Northern,Confirmed,98,10,3
5/29/2020,Northern,Probable,2,0,0
5/29/2020,Northwest,Confirmed,73,3,0
5/29/2020,Northwest,Probable,1,0,0
5/29/2020,Southwest,Confirmed,29,0,0
5/28/2020,Central,Confirmed,79,2,0
5/28/2020,Eastern,Confirmed,56,1,2
5/28/2020,Eastern,Probable,1,0,0
5/28/2020,Northern,Confirmed,265,16,6
5/28/2020,Northern,Probable,5,0,0
5/28/2020,Northwest,Confirmed,57,2,1
5/28/2020,Northwest,Probable,3,0,0
5/28/2020,Southwest,Confirmed,25,0,0
5/27/2020,Central,Confirmed,196,6,0
5/27/2020,Central,Probable,10,0,0
5/27/2020,Eastern,Confirmed,62,1,0
5/27/2020,Northern,Confirmed,222,13,5
5/27/2020,Northern,Probable,11,0,0
5/27/2020,Northwest,Confirmed,96,4,4
5/27/2020,Northwest,Probable,5,0,0
5/27/2020,Southwest,Confirmed,22,3,0
5/26/2020,Central,Confirmed,143,3,1
5/26/2020,Eastern,Confirmed,84,3,1
5/26/2020,Eastern,Probable,0,0,1
5/26/2020,Northern,Confirmed,358,15,8
5/26/2020,Northern,Probable,19,0,0
5/26/2020,Northwest,Confirmed,125,5,3
5/26/2020,Northwest,Probable,7,0,0
5/26/2020,Southwest,Confirmed,27,2,0
5/25/2020,Central,Confirmed,71,9,2
5/25/2020,Central,Probable,5,0,0
5/25/2020,Eastern,Confirmed,43,4,1
5/25/2020,Eastern,Probable,1,1,0
5/25/2020,Northern,Confirmed,309,19,3
5/25/2020,Northern,Probable,10,0,0
5/25/2020,Northwest,Confirmed,62,3,0
5/25/2020,Northwest,Probable,3,0,0
