Report Date,Health District,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths
7/16/2020,Southside,Not Reported,4,0,0
7/16/2020,Chesapeake,Female,861,87,12
7/16/2020,Richmond,Female,1220,114,10
7/16/2020,Roanoke,Male,283,8,3
7/16/2020,Fairfax,Not Reported,93,2,2
7/16/2020,Thomas Jefferson,Female,694,60,14
7/16/2020,Chesapeake,Not Reported,1,0,0
7/16/2020,Cumberland Plateau,Male,60,5,0
7/16/2020,Eastern Shore,Female,663,60,23
7/16/2020,Lord Fairfax,Not Reported,8,0,0
7/16/2020,Rappahannock,Not Reported,8,1,0
7/16/2020,Central Shenandoah,Not Reported,2,0,0
7/16/2020,Peninsula,Male,740,68,14
7/16/2020,Norfolk,Male,883,67,11
7/16/2020,Alexandria,Female,1295,118,30
7/16/2020,Lenowisco,Male,44,10,4
7/16/2020,Pittsylvania-Danville,Female,196,27,3
7/16/2020,New River,Not Reported,3,0,0
7/16/2020,Chesterfield,Not Reported,93,0,2
7/16/2020,Loudoun,Male,2254,175,39
7/16/2020,Rappahannock Rapidan,Female,807,51,10
7/16/2020,Piedmont,Female,347,47,5
7/16/2020,Richmond,Male,1236,133,24
7/16/2020,Crater,Female,774,94,29
7/16/2020,Portsmouth,Female,422,55,11
7/16/2020,Arlington,Not Reported,2,0,0
7/16/2020,Mount Rogers,Not Reported,2,0,0
7/16/2020,Thomas Jefferson,Not Reported,0,0,0
7/16/2020,Three Rivers,Not Reported,20,0,0
7/16/2020,Hampton,Male,259,27,3
7/16/2020,Alleghany,Male,318,24,5
7/16/2020,Roanoke,Female,322,7,7
7/16/2020,Loudoun,Not Reported,26,0,0
7/16/2020,Fairfax,Female,7524,767,256
7/16/2020,Western Tidewater,Male,548,60,38
7/16/2020,Peninsula,Not Reported,5,0,0
7/16/2020,New River,Male,170,16,5
7/16/2020,Central Shenandoah,Male,1100,93,21
7/16/2020,Southside,Male,221,28,13
7/16/2020,Chesterfield,Male,1766,97,41
7/16/2020,Arlington,Female,1321,190,65
7/16/2020,Rappahannock,Male,1294,134,27
7/16/2020,Central Virginia,Male,277,10,4
7/16/2020,Alleghany,Not Reported,7,0,0
7/16/2020,Henrico,Male,1353,149,83
7/16/2020,Thomas Jefferson,Male,604,53,15
7/16/2020,Lord Fairfax,Male,1065,106,36
7/16/2020,Three Rivers,Male,556,24,3
7/16/2020,Richmond,Not Reported,42,2,2
7/16/2020,Pittsylvania-Danville,Male,143,21,1
7/16/2020,Portsmouth,Not Reported,3,0,0
7/16/2020,Norfolk,Not Reported,1,0,0
7/16/2020,Chesapeake,Male,647,74,12
7/16/2020,Chickahominy,Female,410,58,20
7/16/2020,Prince William,Male,4926,489,105
7/16/2020,Eastern Shore,Not Reported,9,0,0
7/16/2020,Eastern Shore,Male,649,54,19
7/16/2020,Rappahannock Rapidan,Male,812,72,14
7/16/2020,Henrico,Not Reported,13,0,0
7/16/2020,Cumberland Plateau,Female,61,1,0
7/16/2020,West Piedmont,Male,311,35,4
7/16/2020,Hampton,Not Reported,4,0,0
7/16/2020,Alexandria,Not Reported,7,0,0
7/16/2020,Western Tidewater,Not Reported,1,0,0
7/16/2020,Cumberland Plateau,Not Reported,0,0,0
7/16/2020,Virginia Beach,Male,1052,72,18
7/16/2020,Alleghany,Female,364,13,10
7/16/2020,Lenowisco,Female,55,9,1
7/16/2020,Virginia Beach,Not Reported,11,0,0
7/16/2020,Western Tidewater,Female,619,43,30
7/16/2020,Mount Rogers,Male,410,56,20
7/16/2020,Lord Fairfax,Female,1179,93,43
7/16/2020,Piedmont,Not Reported,4,0,0
7/16/2020,Alexandria,Male,1205,135,26
7/16/2020,Pittsylvania-Danville,Not Reported,2,0,0
7/16/2020,West Piedmont,Not Reported,6,0,0
7/16/2020,Loudoun,Female,2277,133,62
7/16/2020,Hampton,Female,344,15,1
7/16/2020,Henrico,Female,1598,129,92
7/16/2020,Prince William,Not Reported,67,1,0
7/16/2020,Chickahominy,Male,343,56,20
7/16/2020,Rappahannock Rapidan,Not Reported,7,1,1
7/16/2020,Peninsula,Female,877,68,21
7/16/2020,Lenowisco,Not Reported,0,0,0
7/16/2020,Crater,Not Reported,15,1,0
7/16/2020,Chickahominy,Not Reported,4,0,0
7/16/2020,Portsmouth,Male,402,40,8
7/16/2020,New River,Female,149,8,1
7/16/2020,Rappahannock,Female,1447,118,19
7/16/2020,Central Virginia,Female,265,7,2
7/16/2020,Roanoke,Not Reported,12,0,0
7/16/2020,West Piedmont,Female,368,37,4
7/16/2020,Mount Rogers,Female,476,29,16
7/16/2020,Piedmont,Male,799,65,13
7/16/2020,Chesterfield,Female,1763,97,44
7/16/2020,Fairfax,Male,7198,1014,265
7/16/2020,Crater,Male,1001,86,21
7/16/2020,Central Virginia,Not Reported,0,0,0
7/16/2020,Prince William,Female,4948,387,80
7/16/2020,Virginia Beach,Female,1209,70,16
7/16/2020,Norfolk,Female,1004,67,8
7/16/2020,Three Rivers,Female,253,35,8
7/16/2020,Arlington,Male,1368,236,69
7/16/2020,Central Shenandoah,Female,1256,96,25
7/16/2020,Southside,Female,284,30,18
