Event Date,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
5/1/2020,Confirmed,18,2,1
5/1/2020,Probable,3,0,0
4/30/2020,Confirmed,94,6,19
4/30/2020,Probable,5,0,0
4/29/2020,Confirmed,356,24,13
4/29/2020,Probable,6,0,0
4/28/2020,Confirmed,548,37,20
4/28/2020,Probable,14,0,0
4/27/2020,Confirmed,589,50,18
4/27/2020,Probable,12,0,0
4/26/2020,Confirmed,356,32,21
4/26/2020,Probable,9,0,1
4/25/2020,Confirmed,385,39,15
4/25/2020,Probable,31,0,1
4/24/2020,Confirmed,628,53,17
4/24/2020,Probable,33,0,0
4/23/2020,Confirmed,567,41,17
4/23/2020,Probable,21,0,2
4/22/2020,Confirmed,574,48,23
4/22/2020,Probable,31,0,0
4/21/2020,Confirmed,560,68,22
4/21/2020,Probable,20,2,1
4/20/2020,Confirmed,654,63,16
4/20/2020,Probable,39,0,1
4/19/2020,Confirmed,360,45,31
4/19/2020,Probable,21,0,0
4/18/2020,Confirmed,361,54,16
4/18/2020,Probable,13,1,0
4/17/2020,Confirmed,572,48,27
4/17/2020,Probable,27,0,1
4/16/2020,Confirmed,525,59,29
4/16/2020,Probable,11,0,0
4/15/2020,Confirmed,426,64,21
4/15/2020,Probable,16,0,0
4/14/2020,Confirmed,547,54,23
4/14/2020,Probable,27,1,1
4/13/2020,Confirmed,538,79,23
4/13/2020,Probable,33,2,1
4/12/2020,Confirmed,337,61,19
4/12/2020,Probable,29,0,0
4/11/2020,Confirmed,319,44,15
4/11/2020,Probable,24,0,0
4/10/2020,Confirmed,501,58,18
4/10/2020,Probable,28,0,0
4/9/2020,Confirmed,377,68,12
4/9/2020,Probable,20,0,0
4/8/2020,Confirmed,416,48,9
4/8/2020,Probable,31,0,0
4/7/2020,Confirmed,396,56,14
4/7/2020,Probable,18,0,0
4/6/2020,Confirmed,417,72,16
4/6/2020,Probable,25,0,0
4/5/2020,Confirmed,270,50,10
4/5/2020,Probable,19,0,0
4/4/2020,Confirmed,268,56,8
4/4/2020,Probable,14,0,0
4/3/2020,Confirmed,312,52,10
4/3/2020,Probable,14,1,0
4/2/2020,Confirmed,288,49,8
4/2/2020,Probable,15,0,0
4/1/2020,Confirmed,276,66,10
4/1/2020,Probable,15,0,0
3/31/2020,Confirmed,278,43,10
3/31/2020,Probable,8,0,0
3/30/2020,Confirmed,358,60,6
3/30/2020,Probable,14,0,0
3/29/2020,Confirmed,181,63,6
3/29/2020,Probable,7,0,0
3/28/2020,Confirmed,211,56,8
3/28/2020,Probable,4,0,0
3/27/2020,Confirmed,238,50,9
3/27/2020,Probable,3,0,0
3/26/2020,Confirmed,240,46,3
3/26/2020,Probable,11,0,0
3/25/2020,Confirmed,231,53,4
3/25/2020,Probable,5,0,0
3/24/2020,Confirmed,223,52,3
3/24/2020,Probable,10,0,0
3/23/2020,Confirmed,244,40,1
3/23/2020,Probable,12,0,0
3/22/2020,Confirmed,152,22,4
3/22/2020,Probable,6,0,0
3/21/2020,Confirmed,159,27,4
3/21/2020,Probable,6,0,0
3/20/2020,Confirmed,187,19,1
3/20/2020,Probable,3,0,0
3/19/2020,Confirmed,173,16,0
3/19/2020,Probable,3,0,0
3/18/2020,Confirmed,187,13,0
3/18/2020,Probable,6,0,0
3/17/2020,Confirmed,166,11,0
3/17/2020,Probable,5,0,0
3/16/2020,Confirmed,175,11,0
3/16/2020,Probable,3,0,0
3/15/2020,Confirmed,100,9,1
3/15/2020,Probable,2,0,0
3/14/2020,Confirmed,131,6,1
3/14/2020,Probable,3,0,0
3/13/2020,Confirmed,104,6,0
3/13/2020,Probable,3,0,0
3/12/2020,Confirmed,93,5,0
3/12/2020,Probable,2,0,0
3/11/2020,Confirmed,70,4,0
3/11/2020,Probable,2,0,0
3/10/2020,Confirmed,54,2,0
3/10/2020,Probable,1,0,0
3/9/2020,Confirmed,44,3,0
3/9/2020,Probable,1,0,0
3/8/2020,Confirmed,20,0,0
3/8/2020,Probable,1,0,0
3/7/2020,Confirmed,20,1,0
3/6/2020,Confirmed,21,1,0
3/5/2020,Confirmed,13,1,0
3/4/2020,Confirmed,16,0,0
3/3/2020,Confirmed,11,0,0
3/3/2020,Probable,1,0,0
3/2/2020,Confirmed,9,0,0
3/2/2020,Probable,1,0,0
3/1/2020,Confirmed,10,0,0
3/1/2020,Probable,1,0,0
2/29/2020,Confirmed,2,0,0
2/28/2020,Confirmed,5,0,0
2/27/2020,Confirmed,1,0,0
2/26/2020,Confirmed,3,1,0
2/26/2020,Probable,1,0,0
2/24/2020,Confirmed,3,0,0
2/23/2020,Confirmed,2,0,0
2/19/2020,Confirmed,1,0,0
2/18/2020,Confirmed,1,1,0
2/16/2020,Confirmed,1,0,0
2/4/2020,Confirmed,1,0,0
