Event Date,Health Planning Region,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
5/26/2020,Central,Confirmed,8,0,0
5/26/2020,Eastern,Confirmed,4,0,0
5/26/2020,Northern,Confirmed,3,2,2
5/26/2020,Northern,Probable,17,0,0
5/26/2020,Northwest,Confirmed,6,0,0
5/25/2020,Central,Confirmed,10,0,2
5/25/2020,Central,Probable,4,0,0
5/25/2020,Eastern,Confirmed,6,0,0
5/25/2020,Northern,Confirmed,26,3,2
5/25/2020,Northern,Probable,5,0,0
5/25/2020,Northwest,Confirmed,12,1,0
5/25/2020,Southwest,Confirmed,1,1,0
5/24/2020,Central,Confirmed,8,0,2
5/24/2020,Central,Probable,2,0,0
5/24/2020,Eastern,Confirmed,9,2,0
5/24/2020,Eastern,Probable,5,0,0
5/24/2020,Northern,Confirmed,58,6,9
5/24/2020,Northern,Probable,2,0,0
5/24/2020,Northwest,Confirmed,13,1,0
5/24/2020,Northwest,Probable,3,0,0
5/24/2020,Southwest,Confirmed,0,0,1
5/24/2020,Southwest,Probable,4,0,0
5/23/2020,Central,Confirmed,28,1,0
5/23/2020,Eastern,Confirmed,19,3,0
5/23/2020,Northern,Confirmed,89,14,5
5/23/2020,Northern,Probable,2,0,0
5/23/2020,Northwest,Confirmed,38,3,0
5/23/2020,Northwest,Probable,2,0,0
5/23/2020,Southwest,Confirmed,4,2,0
5/23/2020,Southwest,Probable,1,0,0
5/22/2020,Central,Confirmed,110,3,0
5/22/2020,Eastern,Confirmed,44,2,1
5/22/2020,Northern,Confirmed,204,18,8
5/22/2020,Northern,Probable,4,0,0
5/22/2020,Northwest,Confirmed,71,5,0
5/22/2020,Northwest,Probable,4,0,0
5/22/2020,Southwest,Confirmed,12,1,0
5/21/2020,Central,Confirmed,119,1,1
5/21/2020,Eastern,Confirmed,57,4,0
5/21/2020,Eastern,Probable,1,0,0
5/21/2020,Northern,Confirmed,311,18,5
5/21/2020,Northern,Probable,3,0,0
5/21/2020,Northwest,Confirmed,69,3,1
5/21/2020,Northwest,Probable,6,0,0
5/21/2020,Southwest,Confirmed,15,1,0
5/20/2020,Central,Confirmed,109,9,0
5/20/2020,Eastern,Confirmed,109,0,0
5/20/2020,Northern,Confirmed,491,13,8
5/20/2020,Northern,Probable,7,1,0
5/20/2020,Northwest,Confirmed,104,3,3
5/20/2020,Northwest,Probable,6,0,0
5/20/2020,Southwest,Confirmed,34,2,1
5/20/2020,Southwest,Probable,3,0,0
5/19/2020,Central,Confirmed,175,3,1
5/19/2020,Eastern,Confirmed,78,3,3
5/19/2020,Northern,Confirmed,520,16,8
5/19/2020,Northern,Probable,15,0,0
5/19/2020,Northwest,Confirmed,105,14,1
5/19/2020,Northwest,Probable,8,0,0
5/19/2020,Southwest,Confirmed,11,3,0
5/19/2020,Southwest,Probable,2,0,0
5/18/2020,Central,Confirmed,210,6,1
5/18/2020,Eastern,Confirmed,69,3,2
5/18/2020,Eastern,Probable,2,0,0
5/18/2020,Northern,Confirmed,575,22,11
5/18/2020,Northern,Probable,13,0,0
5/18/2020,Northwest,Confirmed,143,7,0
5/18/2020,Northwest,Probable,11,0,0
5/18/2020,Southwest,Confirmed,38,4,1
5/17/2020,Central,Confirmed,88,6,2
5/17/2020,Central,Probable,0,0,1
5/17/2020,Eastern,Confirmed,35,6,2
5/17/2020,Northern,Confirmed,266,31,10
5/17/2020,Northern,Probable,6,0,1
5/17/2020,Northwest,Confirmed,66,7,2
5/17/2020,Northwest,Probable,15,1,0
5/17/2020,Southwest,Confirmed,17,1,0
5/16/2020,Central,Confirmed,92,2,2
5/16/2020,Eastern,Confirmed,25,3,2
5/16/2020,Northern,Confirmed,356,23,14
5/16/2020,Northern,Probable,15,0,0
5/16/2020,Northwest,Confirmed,114,6,4
5/16/2020,Northwest,Probable,10,0,0
5/16/2020,Southwest,Confirmed,11,1,0
5/15/2020,Central,Confirmed,131,6,2
5/15/2020,Central,Probable,2,0,0
5/15/2020,Eastern,Confirmed,54,1,2
5/15/2020,Northern,Confirmed,497,27,7
5/15/2020,Northern,Probable,23,0,0
5/15/2020,Northwest,Confirmed,150,7,2
5/15/2020,Northwest,Probable,15,0,0
5/15/2020,Southwest,Confirmed,28,0,0
5/15/2020,Southwest,Probable,0,0,1
5/14/2020,Central,Confirmed,116,7,1
5/14/2020,Eastern,Confirmed,52,2,2
5/14/2020,Eastern,Probable,2,0,0
5/14/2020,Northern,Confirmed,482,40,10
5/14/2020,Northern,Probable,14,1,2
5/14/2020,Northwest,Confirmed,96,8,0
5/14/2020,Northwest,Probable,7,0,0
5/14/2020,Southwest,Confirmed,17,0,0
5/13/2020,Central,Confirmed,166,3,1
5/13/2020,Eastern,Confirmed,62,4,2
5/13/2020,Northern,Confirmed,499,25,7
5/13/2020,Northern,Probable,22,0,1
5/13/2020,Northwest,Confirmed,106,3,0
5/13/2020,Northwest,Probable,5,0,0
5/13/2020,Southwest,Confirmed,24,3,0
5/13/2020,Southwest,Probable,1,0,0
5/12/2020,Central,Confirmed,213,4,1
