,report_date,health_district,sex,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-08-17T00:00:00.000,Alexandria,Female,1614,130,33
1,2020-08-17T00:00:00.000,Alexandria,Male,1505,154,28
2,2020-08-17T00:00:00.000,Alexandria,Not Reported,11,0,0
3,2020-08-17T00:00:00.000,Alleghany,Female,526,21,10
4,2020-08-17T00:00:00.000,Alleghany,Male,473,31,8
5,2020-08-17T00:00:00.000,Alleghany,Not Reported,8,0,0
6,2020-08-17T00:00:00.000,Arlington,Female,1600,194,66
7,2020-08-17T00:00:00.000,Arlington,Male,1641,243,69
8,2020-08-17T00:00:00.000,Arlington,Not Reported,5,0,0
9,2020-08-17T00:00:00.000,Central Shenandoah,Female,1582,115,30
10,2020-08-17T00:00:00.000,Central Shenandoah,Male,1362,110,30
11,2020-08-17T00:00:00.000,Central Shenandoah,Not Reported,0,0,0
12,2020-08-17T00:00:00.000,Central Virginia,Female,898,28,6
13,2020-08-17T00:00:00.000,Central Virginia,Male,819,40,11
14,2020-08-17T00:00:00.000,Central Virginia,Not Reported,9,0,0
15,2020-08-17T00:00:00.000,Chesapeake,Female,1831,137,18
16,2020-08-17T00:00:00.000,Chesapeake,Male,1468,120,23
17,2020-08-17T00:00:00.000,Chesapeake,Not Reported,4,0,0
18,2020-08-17T00:00:00.000,Chesterfield,Female,2471,126,51
19,2020-08-17T00:00:00.000,Chesterfield,Male,2396,141,53
20,2020-08-17T00:00:00.000,Chesterfield,Not Reported,130,0,2
21,2020-08-17T00:00:00.000,Chickahominy,Female,586,66,22
22,2020-08-17T00:00:00.000,Chickahominy,Male,476,68,24
23,2020-08-17T00:00:00.000,Chickahominy,Not Reported,6,0,0
24,2020-08-17T00:00:00.000,Crater,Female,1186,125,38
25,2020-08-17T00:00:00.000,Crater,Male,1462,104,32
26,2020-08-17T00:00:00.000,Crater,Not Reported,25,1,0
27,2020-08-17T00:00:00.000,Cumberland Plateau,Female,239,17,3
28,2020-08-17T00:00:00.000,Cumberland Plateau,Male,185,16,2
29,2020-08-17T00:00:00.000,Cumberland Plateau,Not Reported,0,0,0
30,2020-08-17T00:00:00.000,Eastern Shore,Female,715,68,25
31,2020-08-17T00:00:00.000,Eastern Shore,Male,702,67,21
32,2020-08-17T00:00:00.000,Eastern Shore,Not Reported,9,0,0
33,2020-08-17T00:00:00.000,Fairfax,Female,8762,850,269
34,2020-08-17T00:00:00.000,Fairfax,Male,8352,1137,275
35,2020-08-17T00:00:00.000,Fairfax,Not Reported,122,2,4
36,2020-08-17T00:00:00.000,Hampton,Female,741,18,5
37,2020-08-17T00:00:00.000,Hampton,Male,603,35,4
38,2020-08-17T00:00:00.000,Hampton,Not Reported,5,0,0
39,2020-08-17T00:00:00.000,Henrico,Female,2180,175,101
40,2020-08-17T00:00:00.000,Henrico,Male,1947,179,86
41,2020-08-17T00:00:00.000,Henrico,Not Reported,22,0,0
42,2020-08-17T00:00:00.000,Lenowisco,Female,275,22,3
43,2020-08-17T00:00:00.000,Lenowisco,Male,259,27,7
44,2020-08-17T00:00:00.000,Lenowisco,Not Reported,3,0,0
45,2020-08-17T00:00:00.000,Lord Fairfax,Female,1410,110,48
