,report_date,health_district,sex,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-08-22T00:00:00.000,Alexandria,Female,1669,133,33
1,2020-08-22T00:00:00.000,Alexandria,Male,1558,159,28
2,2020-08-22T00:00:00.000,Alexandria,Not Reported,11,0,0
3,2020-08-22T00:00:00.000,Alleghany,Female,559,23,10
4,2020-08-22T00:00:00.000,Alleghany,Male,499,34,8
5,2020-08-22T00:00:00.000,Alleghany,Not Reported,7,0,0
6,2020-08-22T00:00:00.000,Arlington,Female,1661,196,66
7,2020-08-22T00:00:00.000,Arlington,Male,1688,253,71
8,2020-08-22T00:00:00.000,Arlington,Not Reported,8,0,0
9,2020-08-22T00:00:00.000,Central Shenandoah,Female,1622,118,30
10,2020-08-22T00:00:00.000,Central Shenandoah,Male,1410,112,30
11,2020-08-22T00:00:00.000,Central Shenandoah,Not Reported,0,0,0
12,2020-08-22T00:00:00.000,Central Virginia,Female,1021,29,7
13,2020-08-22T00:00:00.000,Central Virginia,Male,933,42,11
14,2020-08-22T00:00:00.000,Central Virginia,Not Reported,9,0,0
15,2020-08-22T00:00:00.000,Chesapeake,Female,1916,151,18
16,2020-08-22T00:00:00.000,Chesapeake,Male,1542,136,24
17,2020-08-22T00:00:00.000,Chesapeake,Not Reported,4,0,0
18,2020-08-22T00:00:00.000,Chesterfield,Female,2589,134,49
19,2020-08-22T00:00:00.000,Chesterfield,Male,2487,150,52
20,2020-08-22T00:00:00.000,Chesterfield,Not Reported,130,0,1
21,2020-08-22T00:00:00.000,Chickahominy,Female,614,68,22
22,2020-08-22T00:00:00.000,Chickahominy,Male,494,68,24
23,2020-08-22T00:00:00.000,Chickahominy,Not Reported,6,0,0
24,2020-08-22T00:00:00.000,Crater,Female,1252,129,37
25,2020-08-22T00:00:00.000,Crater,Male,1559,110,32
26,2020-08-22T00:00:00.000,Crater,Not Reported,27,1,0
27,2020-08-22T00:00:00.000,Cumberland Plateau,Female,259,17,3
28,2020-08-22T00:00:00.000,Cumberland Plateau,Male,225,21,3
29,2020-08-22T00:00:00.000,Cumberland Plateau,Not Reported,0,0,0
30,2020-08-22T00:00:00.000,Eastern Shore,Female,723,69,26
31,2020-08-22T00:00:00.000,Eastern Shore,Male,706,67,21
32,2020-08-22T00:00:00.000,Eastern Shore,Not Reported,9,0,0
33,2020-08-22T00:00:00.000,Fairfax,Female,8999,866,270
34,2020-08-22T00:00:00.000,Fairfax,Male,8577,1161,279
35,2020-08-22T00:00:00.000,Fairfax,Not Reported,125,2,4
36,2020-08-22T00:00:00.000,Hampton,Female,791,18,5
37,2020-08-22T00:00:00.000,Hampton,Male,641,35,5
38,2020-08-22T00:00:00.000,Hampton,Not Reported,5,0,0
39,2020-08-22T00:00:00.000,Henrico,Female,2249,176,101
