Event Date,Health Planning Region,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
7/8/2020,Central,Confirmed,3,1,0
7/8/2020,Northern,Confirmed,4,1,0
7/8/2020,Northwest,Confirmed,7,0,0
7/7/2020,Central,Confirmed,20,1,0
7/7/2020,Eastern,Confirmed,36,0,0
7/7/2020,Eastern,Probable,1,0,0
7/7/2020,Northern,Confirmed,9,1,0
7/7/2020,Northern,Probable,1,0,0
7/7/2020,Northwest,Confirmed,21,2,0
7/7/2020,Northwest,Probable,6,0,0
7/7/2020,Southwest,Confirmed,4,4,0
7/6/2020,Central,Confirmed,30,3,0
7/6/2020,Eastern,Confirmed,131,3,0
7/6/2020,Northern,Confirmed,20,2,0
7/6/2020,Northern,Probable,8,0,0
7/6/2020,Northwest,Confirmed,29,1,0
7/6/2020,Northwest,Probable,6,0,0
7/6/2020,Southwest,Confirmed,11,3,0
7/5/2020,Central,Confirmed,22,1,0
7/5/2020,Eastern,Confirmed,85,5,2
7/5/2020,Eastern,Probable,1,0,0
7/5/2020,Northern,Confirmed,26,5,1
7/5/2020,Northern,Probable,3,0,0
7/5/2020,Northwest,Confirmed,21,5,0
7/5/2020,Northwest,Probable,13,2,0
7/5/2020,Southwest,Confirmed,5,1,0
7/4/2020,Central,Confirmed,16,4,1
7/4/2020,Eastern,Confirmed,77,2,1
7/4/2020,Northern,Confirmed,15,4,0
7/4/2020,Northern,Probable,2,0,0
7/4/2020,Northwest,Confirmed,21,3,0
7/4/2020,Northwest,Probable,13,1,0
7/4/2020,Southwest,Confirmed,5,0,0
7/3/2020,Central,Confirmed,29,4,0
7/3/2020,Eastern,Confirmed,85,3,2
7/3/2020,Eastern,Probable,2,0,0
7/3/2020,Northern,Confirmed,18,3,0
7/3/2020,Northern,Probable,3,0,0
7/3/2020,Northwest,Confirmed,26,4,2
7/3/2020,Northwest,Probable,6,0,0
7/3/2020,Southwest,Confirmed,15,1,0
7/2/2020,Central,Confirmed,50,4,1
7/2/2020,Eastern,Confirmed,144,5,0
7/2/2020,Eastern,Probable,1,0,0
7/2/2020,Northern,Confirmed,56,4,1
7/2/2020,Northern,Probable,12,0,0
7/2/2020,Northwest,Confirmed,71,3,1
7/2/2020,Northwest,Probable,11,0,0
7/2/2020,Southwest,Confirmed,31,2,0
7/1/2020,Central,Confirmed,79,2,1
7/1/2020,Eastern,Confirmed,128,8,0
7/1/2020,Eastern,Probable,1,0,0
7/1/2020,Northern,Confirmed,80,4,0
7/1/2020,Northern,Probable,10,0,0
7/1/2020,Northwest,Confirmed,22,5,0
7/1/2020,Northwest,Probable,11,0,0
7/1/2020,Southwest,Confirmed,56,0,0
6/30/2020,Central,Confirmed,66,6,0
6/30/2020,Eastern,Confirmed,164,4,1
6/30/2020,Eastern,Probable,1,0,0
6/30/2020,Northern,Confirmed,96,6,0
6/30/2020,Northern,Probable,9,0,0
6/30/2020,Northwest,Confirmed,68,2,1
6/30/2020,Northwest,Probable,16,0,0
6/30/2020,Southwest,Confirmed,40,3,0
6/30/2020,Southwest,Probable,4,0,0
6/29/2020,Central,Confirmed,103,4,1
6/29/2020,Eastern,Confirmed,218,9,0
6/29/2020,Eastern,Probable,1,0,0
6/29/2020,Northern,Confirmed,147,4,0
6/29/2020,Northern,Probable,16,0,0
6/29/2020,Northwest,Confirmed,55,3,1
6/29/2020,Northwest,Probable,11,0,0
6/29/2020,Southwest,Confirmed,93,2,0
6/28/2020,Central,Confirmed,57,4,4
6/28/2020,Central,Probable,1,0,0
6/28/2020,Eastern,Confirmed,162,9,2
6/28/2020,Eastern,Probable,1,0,0
6/28/2020,Northern,Confirmed,86,7,3
6/28/2020,Northern,Probable,5,0,0
6/28/2020,Northwest,Confirmed,41,6,0
6/28/2020,Northwest,Probable,4,0,0
6/28/2020,Southwest,Confirmed,54,3,0
6/27/2020,Central,Confirmed,62,3,0
6/27/2020,Eastern,Confirmed,110,9,0
6/27/2020,Eastern,Probable,2,0,0
6/27/2020,Northern,Confirmed,117,2,2
6/27/2020,Northern,Probable,3,0,0
