Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
5/3/2020,Virginia Beach,0-9,2,0,0
5/3/2020,Lenowisco,50-59,10,3,0
5/3/2020,Chesapeake,70-79,25,13,0
5/3/2020,Western Tidewater,80+,101,17,10
5/3/2020,Thomas Jefferson,10-19,5,0,0
5/3/2020,Richmond,40-49,73,4,0
5/3/2020,Lord Fairfax,50-59,97,5,1
5/3/2020,Lord Fairfax,10-19,22,0,0
5/3/2020,Rappahannock Rapidan,10-19,27,0,0
5/3/2020,Crater,50-59,43,11,0
5/3/2020,Arlington,Missing,1,0,0
5/3/2020,Roanoke,50-59,10,1,0
5/3/2020,Rappahannock,10-19,23,0,0
5/3/2020,Roanoke,10-19,0,0,0
5/3/2020,Eastern Shore,Missing,0,0,0
5/3/2020,Mount Rogers,Missing,0,0,0
5/3/2020,Prince William,60-69,248,42,9
5/3/2020,Alleghany,70-79,12,3,1
5/3/2020,Crater,20-29,25,4,0
5/3/2020,Loudoun,60-69,83,17,1
5/3/2020,Fairfax,0-9,52,4,0
5/3/2020,Roanoke,Missing,1,0,0
5/3/2020,Alexandria,20-29,122,2,1
5/3/2020,Portsmouth,70-79,12,5,2
5/3/2020,Alleghany,30-39,9,0,0
5/3/2020,Prince William,20-29,370,19,0
5/3/2020,Southside,70-79,21,7,4
5/3/2020,Piedmont,Missing,0,0,0
5/3/2020,Rappahannock,0-9,8,1,0
5/3/2020,Henrico,30-39,95,3,0
5/3/2020,Prince William,10-19,105,2,0
5/3/2020,Chickahominy,10-19,4,0,0
5/3/2020,Lord Fairfax,0-9,10,0,0
5/3/2020,Central Virginia,Missing,0,0,0
5/3/2020,Fairfax,60-69,557,158,25
5/3/2020,Hampton,20-29,19,1,0
5/3/2020,Central Shenandoah,40-49,147,2,0
5/3/2020,Pittsylvania-Danville,0-9,1,0,0
5/3/2020,Crater,30-39,34,1,0
5/3/2020,Virginia Beach,70-79,45,20,4
5/3/2020,Virginia Beach,30-39,66,6,0
5/3/2020,Piedmont,0-9,1,0,0
5/3/2020,Central Shenandoah,30-39,128,2,0
5/3/2020,Hampton,50-59,28,7,0
5/3/2020,Peninsula,70-79,67,34,10
5/3/2020,Arlington,20-29,148,13,0
5/3/2020,West Piedmont,70-79,5,3,1
5/3/2020,Richmond,20-29,65,5,0
5/3/2020,Roanoke,0-9,0,0,0
5/3/2020,Hampton,30-39,21,2,0
5/3/2020,Thomas Jefferson,30-39,41,2,0
5/3/2020,Western Tidewater,40-49,59,3,0
5/3/2020,Richmond,50-59,75,15,0
5/3/2020,Western Tidewater,50-59,77,5,0
5/3/2020,West Piedmont,20-29,5,0,0
5/3/2020,Arlington,70-79,102,32,11
5/3/2020,Chickahominy,50-59,55,11,0
5/3/2020,Alleghany,40-49,14,0,0
5/3/2020,Prince William,50-59,442,54,4
5/3/2020,Mount Rogers,0-9,4,1,0
