Event Date,Health Planning Region,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
6/22/2020,Central,Confirmed,3,0,0
6/22/2020,Eastern,Confirmed,2,0,0
6/22/2020,Northern,Confirmed,2,0,0
6/22/2020,Northwest,Confirmed,5,0,0
6/22/2020,Northwest,Probable,1,0,0
6/22/2020,Southwest,Probable,1,0,0
6/21/2020,Central,Confirmed,2,0,0
6/21/2020,Central,Probable,1,0,0
6/21/2020,Eastern,Confirmed,5,2,0
6/21/2020,Northern,Confirmed,2,0,0
6/21/2020,Northern,Probable,2,0,0
6/21/2020,Northwest,Confirmed,8,4,3
6/21/2020,Southwest,Confirmed,1,1,0
6/20/2020,Central,Confirmed,7,2,0
6/20/2020,Eastern,Confirmed,21,2,0
6/20/2020,Eastern,Probable,1,0,0
6/20/2020,Northern,Confirmed,12,1,0
6/20/2020,Northwest,Confirmed,19,3,2
6/20/2020,Northwest,Probable,4,0,0
6/20/2020,Southwest,Confirmed,5,0,0
6/19/2020,Central,Confirmed,19,0,1
6/19/2020,Eastern,Confirmed,31,5,1
6/19/2020,Eastern,Probable,2,0,0
6/19/2020,Northern,Confirmed,49,7,1
6/19/2020,Northern,Probable,1,0,0
6/19/2020,Northwest,Confirmed,31,3,1
6/19/2020,Northwest,Probable,2,0,0
6/19/2020,Southwest,Confirmed,10,1,0
6/18/2020,Central,Confirmed,81,0,1
6/18/2020,Eastern,Confirmed,65,3,0
6/18/2020,Eastern,Probable,1,0,0
6/18/2020,Northern,Confirmed,65,4,1
6/18/2020,Northern,Probable,1,0,0
6/18/2020,Northwest,Confirmed,53,2,0
6/18/2020,Northwest,Probable,1,0,0
6/18/2020,Southwest,Confirmed,26,2,1
6/18/2020,Southwest,Probable,1,0,0
6/17/2020,Central,Confirmed,88,1,1
6/17/2020,Eastern,Confirmed,45,3,3
6/17/2020,Northern,Confirmed,87,2,3
6/17/2020,Northern,Probable,1,0,0
6/17/2020,Northwest,Confirmed,50,0,1
6/17/2020,Northwest,Probable,6,0,0
6/17/2020,Southwest,Confirmed,60,1,0
6/16/2020,Central,Confirmed,96,0,0
6/16/2020,Eastern,Confirmed,58,2,0
6/16/2020,Eastern,Probable,1,0,0
6/16/2020,Northern,Confirmed,111,4,0
6/16/2020,Northern,Probable,4,0,0
6/16/2020,Northwest,Confirmed,44,1,1
6/16/2020,Northwest,Probable,4,0,0
6/16/2020,Southwest,Confirmed,33,6,0
6/15/2020,Central,Confirmed,118,1,0
6/15/2020,Central,Probable,3,0,0
6/15/2020,Eastern,Confirmed,75,5,1
6/15/2020,Eastern,Probable,3,0,0
6/15/2020,Northern,Confirmed,165,6,4
6/15/2020,Northern,Probable,1,0,0
6/15/2020,Northwest,Confirmed,59,1,0
6/15/2020,Northwest,Probable,5,0,0
6/15/2020,Southwest,Confirmed,40,1,0
6/14/2020,Central,Confirmed,46,3,3
6/14/2020,Eastern,Confirmed,29,1,0
6/14/2020,Northern,Confirmed,81,9,0
6/14/2020,Northern,Probable,1,0,0
6/14/2020,Northwest,Confirmed,35,6,2
6/14/2020,Northwest,Probable,2,0,0
6/14/2020,Southwest,Confirmed,30,1,0
6/13/2020,Central,Confirmed,76,3,1
6/13/2020,Eastern,Confirmed,43,3,1
6/13/2020,Northern,Confirmed,66,6,2
6/13/2020,Northern,Probable,2,0,0
6/13/2020,Northwest,Confirmed,41,4,2
6/13/2020,Northwest,Probable,8,0,0
6/13/2020,Southwest,Confirmed,30,1,0
6/13/2020,Southwest,Probable,2,0,0
6/12/2020,Central,Confirmed,108,11,1
6/12/2020,Eastern,Confirmed,54,7,0
6/12/2020,Northern,Confirmed,150,14,1
6/12/2020,Northern,Probable,2,0,0
6/12/2020,Northwest,Confirmed,62,3,1
6/12/2020,Northwest,Probable,6,0,0
6/12/2020,Southwest,Confirmed,38,0,0
6/12/2020,Southwest,Probable,1,0,0
6/11/2020,Central,Confirmed,108,6,3
6/11/2020,Eastern,Confirmed,48,2,1
6/11/2020,Eastern,Probable,2,0,0
6/11/2020,Northern,Confirmed,133,9,4
6/11/2020,Northern,Probable,1,0,0
6/11/2020,Northwest,Confirmed,56,3,1
6/11/2020,Northwest,Probable,2,0,0
6/11/2020,Southwest,Confirmed,31,2,0
6/11/2020,Southwest,Probable,1,0,0
6/10/2020,Central,Confirmed,170,7,2
6/10/2020,Eastern,Confirmed,72,2,0
6/10/2020,Eastern,Probable,2,0,0
6/10/2020,Northern,Confirmed,180,9,2
6/10/2020,Northern,Probable,2,0,0
6/10/2020,Northwest,Confirmed,59,10,3
6/10/2020,Northwest,Probable,6,0,0
6/10/2020,Southwest,Confirmed,47,2,1
6/10/2020,Southwest,Probable,0,0,1
6/9/2020,Central,Confirmed,159,8,1
6/9/2020,Eastern,Confirmed,73,4,1
6/9/2020,Northern,Confirmed,163,8,4
6/9/2020,Northern,Probable,2,1,0
6/9/2020,Northwest,Confirmed,66,6,2
6/9/2020,Northwest,Probable,7,0,0
6/9/2020,Southwest,Confirmed,42,4,1
6/9/2020,Southwest,Probable,1,0,0
6/8/2020,Central,Confirmed,120,4,1
6/8/2020,Central,Probable,1,0,0
6/8/2020,Eastern,Confirmed,62,3,1
6/8/2020,Eastern,Probable,1,0,0
6/8/2020,Northern,Confirmed,180,9,4
6/8/2020,Northern,Probable,4,0,1
6/8/2020,Northwest,Confirmed,85,2,1
6/8/2020,Northwest,Probable,10,0,0
6/8/2020,Southwest,Confirmed,36,3,1
6/7/2020,Central,Confirmed,41,2,1
6/7/2020,Eastern,Confirmed,38,3,2
6/7/2020,Eastern,Probable,1,0,0
6/7/2020,Northern,Confirmed,110,14,4
6/7/2020,Northern,Probable,3,0,0
6/7/2020,Northwest,Confirmed,52,2,3
6/7/2020,Northwest,Probable,7,0,0
6/7/2020,Southwest,Confirmed,20,3,2
6/7/2020,Southwest,Probable,1,1,0
6/6/2020,Central,Confirmed,86,4,0
6/6/2020,Eastern,Confirmed,32,3,0
6/6/2020,Eastern,Probable,2,1,0
6/6/2020,Northern,Confirmed,123,14,5
6/6/2020,Northern,Probable,1,0,0
6/6/2020,Northwest,Confirmed,52,5,1
6/6/2020,Northwest,Probable,7,0,0
6/6/2020,Southwest,Confirmed,35,4,0
6/5/2020,Central,Confirmed,144,7,0
6/5/2020,Eastern,Confirmed,67,2,2
6/5/2020,Eastern,Probable,3,0,0
6/5/2020,Northern,Confirmed,222,17,5
6/5/2020,Northern,Probable,4,0,0
6/5/2020,Northwest,Confirmed,83,4,1
6/5/2020,Northwest,Probable,11,0,0
6/5/2020,Southwest,Confirmed,49,2,1
6/5/2020,Southwest,Probable,1,0,0
6/4/2020,Central,Confirmed,156,10,1
6/4/2020,Eastern,Confirmed,51,7,1
6/4/2020,Eastern,Probable,1,0,0
6/4/2020,Northern,Confirmed,237,17,3
6/4/2020,Northern,Probable,2,0,0
6/4/2020,Northwest,Confirmed,92,4,0
6/4/2020,Northwest,Probable,10,0,1
6/4/2020,Southwest,Confirmed,31,4,1
6/3/2020,Central,Confirmed,142,7,3
6/3/2020,Eastern,Confirmed,55,3,2
6/3/2020,Eastern,Probable,1,0,0
6/3/2020,Northern,Confirmed,241,18,8
6/3/2020,Northern,Probable,3,0,0
6/3/2020,Northwest,Confirmed,67,5,2
6/3/2020,Northwest,Probable,6,0,0
6/3/2020,Southwest,Confirmed,40,1,0
6/2/2020,Central,Confirmed,193,9,1
6/2/2020,Eastern,Confirmed,57,2,1
6/2/2020,Eastern,Probable,1,0,0
6/2/2020,Northern,Confirmed,234,19,8
6/2/2020,Northern,Probable,4,0,1
6/2/2020,Northwest,Confirmed,96,6,1
6/2/2020,Northwest,Probable,12,0,0
6/2/2020,Southwest,Confirmed,34,1,2
6/2/2020,Southwest,Probable,1,0,0
6/1/2020,Central,Confirmed,174,11,0
6/1/2020,Central,Probable,0,1,0
6/1/2020,Eastern,Confirmed,60,4,1
6/1/2020,Northern,Confirmed,366,19,6
6/1/2020,Northern,Probable,14,0,0
6/1/2020,Northwest,Confirmed,108,6,1
6/1/2020,Northwest,Probable,7,0,0
6/1/2020,Southwest,Confirmed,49,2,0
6/1/2020,Southwest,Probable,1,0,0
5/31/2020,Central,Confirmed,140,7,0
5/31/2020,Eastern,Confirmed,37,3,0
5/31/2020,Eastern,Probable,2,0,0
5/31/2020,Northern,Confirmed,172,17,5
5/31/2020,Northern,Probable,6,1,0
5/31/2020,Northwest,Confirmed,52,11,2
5/31/2020,Northwest,Probable,2,0,0
5/31/2020,Southwest,Confirmed,33,2,2
5/31/2020,Southwest,Probable,1,0,0
5/30/2020,Central,Confirmed,143,1,1
5/30/2020,Eastern,Confirmed,62,6,3
5/30/2020,Northern,Confirmed,189,20,5
5/30/2020,Northern,Probable,3,0,0
5/30/2020,Northwest,Confirmed,81,6,1
5/30/2020,Northwest,Probable,9,0,0
5/30/2020,Southwest,Confirmed,30,2,3
5/30/2020,Southwest,Probable,2,0,0
5/29/2020,Central,Confirmed,136,17,3
5/29/2020,Central,Probable,0,1,0
5/29/2020,Eastern,Confirmed,39,7,2
5/29/2020,Eastern,Probable,1,0,0
5/29/2020,Northern,Confirmed,370,22,5
5/29/2020,Northern,Probable,6,0,0
5/29/2020,Northwest,Confirmed,153,8,1
5/29/2020,Northwest,Probable,6,0,0
5/29/2020,Southwest,Confirmed,50,1,1
5/28/2020,Central,Confirmed,140,9,2
5/28/2020,Eastern,Confirmed,68,9,2
5/28/2020,Eastern,Probable,4,0,0
5/28/2020,Northern,Confirmed,414,25,10
5/28/2020,Northern,Probable,7,0,0
5/28/2020,Northwest,Confirmed,99,8,2
5/28/2020,Northwest,Probable,6,0,0
5/28/2020,Southwest,Confirmed,52,2,1
5/27/2020,Central,Confirmed,272,13,1
5/27/2020,Central,Probable,10,0,0
5/27/2020,Eastern,Confirmed,63,2,0
5/27/2020,Eastern,Probable,6,0,0
5/27/2020,Northern,Confirmed,350,19,9
5/27/2020,Northern,Probable,13,0,0
5/27/2020,Northwest,Confirmed,116,6,4
5/27/2020,Northwest,Probable,7,0,0
5/27/2020,Southwest,Confirmed,35,3,0
5/26/2020,Central,Confirmed,180,7,1
5/26/2020,Eastern,Confirmed,102,2,2
5/26/2020,Eastern,Probable,0,0,1
5/26/2020,Northern,Confirmed,387,31,16
5/26/2020,Northern,Probable,21,0,0
5/26/2020,Northwest,Confirmed,130,8,3
5/26/2020,Northwest,Probable,9,0,0
5/26/2020,Southwest,Confirmed,54,3,0
5/26/2020,Southwest,Probable,2,0,0
5/25/2020,Central,Confirmed,105,16,2
5/25/2020,Central,Probable,6,0,0
5/25/2020,Eastern,Confirmed,62,7,1
5/25/2020,Eastern,Probable,3,1,0
5/25/2020,Northern,Confirmed,386,31,4
5/25/2020,Northern,Probable,17,0,0
5/25/2020,Northwest,Confirmed,85,4,0
5/25/2020,Northwest,Probable,7,0,0
5/25/2020,Southwest,Confirmed,26,5,0
5/24/2020,Central,Confirmed,143,2,4
5/24/2020,Central,Probable,3,0,0
5/24/2020,Eastern,Confirmed,35,3,1
5/24/2020,Eastern,Probable,8,0,0
5/24/2020,Northern,Confirmed,294,33,11
5/24/2020,Northern,Probable,6,0,2
5/24/2020,Northwest,Confirmed,90,11,1
5/24/2020,Northwest,Probable,11,0,0
5/24/2020,Southwest,Confirmed,19,1,1
5/24/2020,Southwest,Probable,2,0,0
5/23/2020,Central,Confirmed,107,8,4
5/23/2020,Central,Probable,2,0,0
5/23/2020,Eastern,Confirmed,46,6,1
5/23/2020,Eastern,Probable,1,0,0
5/23/2020,Northern,Confirmed,337,33,11
5/23/2020,Northern,Probable,4,0,2
5/23/2020,Northwest,Confirmed,117,10,2
5/23/2020,Northwest,Probable,8,0,0
5/23/2020,Southwest,Confirmed,25,10,1
5/23/2020,Southwest,Probable,1,0,0
5/22/2020,Central,Confirmed,198,11,3
5/22/2020,Eastern,Confirmed,62,7,2
5/22/2020,Eastern,Probable,1,0,0
5/22/2020,Northern,Confirmed,462,41,10
5/22/2020,Northern,Probable,12,0,1
5/22/2020,Northwest,Confirmed,121,9,0
5/22/2020,Northwest,Probable,8,0,0
5/22/2020,Southwest,Confirmed,41,6,2
5/21/2020,Central,Confirmed,412,5,1
5/21/2020,Eastern,Confirmed,55,9,0
5/21/2020,Eastern,Probable,3,0,0
5/21/2020,Northern,Confirmed,472,34,12
5/21/2020,Northern,Probable,6,0,1
5/21/2020,Northwest,Confirmed,97,6,2
5/21/2020,Northwest,Probable,10,0,0
5/21/2020,Southwest,Confirmed,25,2,0
5/20/2020,Central,Confirmed,264,16,2
5/20/2020,Eastern,Confirmed,75,2,0
5/20/2020,Eastern,Probable,1,0,0
5/20/2020,Northern,Confirmed,593,31,10
5/20/2020,Northern,Probable,17,1,0
5/20/2020,Northwest,Confirmed,114,4,3
5/20/2020,Northwest,Probable,10,0,0
5/20/2020,Southwest,Confirmed,61,4,2
5/20/2020,Southwest,Probable,7,0,0
5/19/2020,Central,Confirmed,245,6,2
5/19/2020,Eastern,Confirmed,57,11,3
5/19/2020,Eastern,Probable,1,0,0
5/19/2020,Northern,Confirmed,566,30,13
5/19/2020,Northern,Probable,13,0,0
5/19/2020,Northwest,Confirmed,116,15,1
5/19/2020,Northwest,Probable,12,0,0
5/19/2020,Southwest,Confirmed,24,4,0
5/19/2020,Southwest,Probable,3,0,0
5/18/2020,Central,Confirmed,242,8,2
5/18/2020,Eastern,Confirmed,100,6,2
5/18/2020,Eastern,Probable,6,0,1
5/18/2020,Northern,Confirmed,680,37,11
5/18/2020,Northern,Probable,15,0,0
5/18/2020,Northwest,Confirmed,192,14,1
5/18/2020,Northwest,Probable,13,0,0
5/18/2020,Southwest,Confirmed,47,5,1
5/17/2020,Central,Confirmed,115,9,1
5/17/2020,Central,Probable,0,0,1
5/17/2020,Eastern,Confirmed,45,8,2
5/17/2020,Eastern,Probable,1,0,0
5/17/2020,Northern,Confirmed,371,44,14
5/17/2020,Northern,Probable,10,0,0
5/17/2020,Northwest,Confirmed,103,10,1
5/17/2020,Northwest,Probable,17,0,0
5/17/2020,Southwest,Confirmed,24,3,0
5/17/2020,Southwest,Probable,1,0,0
5/16/2020,Central,Confirmed,119,5,4
5/16/2020,Eastern,Confirmed,66,3,3
5/16/2020,Eastern,Probable,2,0,0
