,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-08-24T00:00:00.000,Alexandria,0-9,188,2,0
1,2020-08-24T00:00:00.000,Alexandria,10-19,235,5,0
2,2020-08-24T00:00:00.000,Alexandria,20-29,588,11,1
3,2020-08-24T00:00:00.000,Alexandria,30-39,747,37,0
4,2020-08-24T00:00:00.000,Alexandria,40-49,593,45,0
5,2020-08-24T00:00:00.000,Alexandria,50-59,427,60,12
6,2020-08-24T00:00:00.000,Alexandria,60-69,254,57,3
7,2020-08-24T00:00:00.000,Alexandria,70-79,117,43,18
8,2020-08-24T00:00:00.000,Alexandria,80+,110,33,27
9,2020-08-24T00:00:00.000,Alexandria,Missing,11,0,0
10,2020-08-24T00:00:00.000,Alleghany,0-9,33,0,0
11,2020-08-24T00:00:00.000,Alleghany,10-19,129,0,0
12,2020-08-24T00:00:00.000,Alleghany,20-29,205,1,0
13,2020-08-24T00:00:00.000,Alleghany,30-39,146,5,0
14,2020-08-24T00:00:00.000,Alleghany,40-49,154,5,0
15,2020-08-24T00:00:00.000,Alleghany,50-59,162,10,1
16,2020-08-24T00:00:00.000,Alleghany,60-69,103,11,1
17,2020-08-24T00:00:00.000,Alleghany,70-79,94,13,11
18,2020-08-24T00:00:00.000,Alleghany,80+,50,12,6
19,2020-08-24T00:00:00.000,Alleghany,Missing,3,0,0
20,2020-08-24T00:00:00.000,Arlington,0-9,86,2,0
21,2020-08-24T00:00:00.000,Arlington,10-19,175,5,0
22,2020-08-24T00:00:00.000,Arlington,20-29,741,22,0
23,2020-08-24T00:00:00.000,Arlington,30-39,638,44,0
24,2020-08-24T00:00:00.000,Arlington,40-49,541,57,8
25,2020-08-24T00:00:00.000,Arlington,50-59,467,73,6
26,2020-08-24T00:00:00.000,Arlington,60-69,329,85,19
27,2020-08-24T00:00:00.000,Arlington,70-79,194,74,33
28,2020-08-24T00:00:00.000,Arlington,80+,214,86,71
29,2020-08-24T00:00:00.000,Arlington,Missing,15,1,0
30,2020-08-24T00:00:00.000,Central Shenandoah,0-9,97,0,0
31,2020-08-24T00:00:00.000,Central Shenandoah,10-19,194,1,0
32,2020-08-24T00:00:00.000,Central Shenandoah,20-29,612,11,0
33,2020-08-24T00:00:00.000,Central Shenandoah,30-39,446,8,0
34,2020-08-24T00:00:00.000,Central Shenandoah,40-49,494,17,0
