,report_date,case_status,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-08-03T00:00:00.000,Confirmed,89602,7970,2108
1,2020-08-03T00:00:00.000,Probable,3504,48,110
2,2020-08-02T00:00:00.000,Confirmed,88324,7907,2108
3,2020-08-02T00:00:00.000,Probable,3458,48,110
4,2020-08-01T00:00:00.000,Confirmed,87367,7862,2105
5,2020-08-01T00:00:00.000,Probable,3434,48,110
6,2020-07-31T00:00:00.000,Confirmed,86501,7820,2067
7,2020-07-31T00:00:00.000,Probable,3387,46,107
8,2020-07-30T00:00:00.000,Confirmed,85546,7740,2035
9,2020-07-30T00:00:00.000,Probable,3358,46,106
10,2020-07-29T00:00:00.000,Confirmed,84700,7692,2020
11,2020-07-29T00:00:00.000,Probable,3293,46,105
12,2020-07-28T00:00:00.000,Confirmed,83732,7640,1991
13,2020-07-28T00:00:00.000,Probable,3262,46,104
14,2020-07-27T00:00:00.000,Confirmed,82871,7600,1978
15,2020-07-27T00:00:00.000,Probable,3201,47,104
16,2020-07-26T00:00:00.000,Confirmed,81393,7546,1975
17,2020-07-26T00:00:00.000,Probable,3174,47,103
18,2020-07-25T00:00:00.000,Confirmed,80480,7524,1972
19,2020-07-25T00:00:00.000,Probable,3129,46,103
20,2020-07-24T00:00:00.000,Confirmed,79253,7472,1964
21,2020-07-24T00:00:00.000,Probable,3111,43,103
22,2020-07-23T00:00:00.000,Confirmed,78182,7394,1951
23,2020-07-23T00:00:00.000,Probable,3055,43,103
24,2020-07-22T00:00:00.000,Confirmed,77380,7307,1948
25,2020-07-22T00:00:00.000,Probable,3013,44,103
26,2020-07-21T00:00:00.000,Confirmed,76427,7223,1945
27,2020-07-21T00:00:00.000,Probable,2944,44,103
28,2020-07-20T00:00:00.000,Confirmed,75415,7157,1927
29,2020-07-20T00:00:00.000,Probable,2960,44,104
30,2020-07-19T00:00:00.000,Confirmed,74490,7121,1923
31,2020-07-19T00:00:00.000,Probable,2940,44,104
32,2020-07-18T00:00:00.000,Confirmed,73420,7102,1921
33,2020-07-18T00:00:00.000,Probable,2953,45,104
34,2020-07-17T00:00:00.000,Confirmed,72516,7040,1909
35,2020-07-17T00:00:00.000,Probable,2917,47,104
36,2020-07-16T00:00:00.000,Confirmed,71570,6975,1903
37,2020-07-16T00:00:00.000,Probable,2861,45,104
38,2020-07-15T00:00:00.000,Confirmed,70669,6859,1882
39,2020-07-15T00:00:00.000,Probable,2858,46,110
40,2020-07-14T00:00:00.000,Confirmed,69610,6771,1870
41,2020-07-14T00:00:00.000,Probable,2833,46,107
42,2020-07-13T00:00:00.000,Confirmed,68814,6720,1861
43,2020-07-13T00:00:00.000,Probable,2828,45,107
44,2020-07-12T00:00:00.000,Confirmed,67830,6699,1859
45,2020-07-12T00:00:00.000,Probable,2840,45,107
46,2020-07-11T00:00:00.000,Confirmed,66963,6663,1857
47,2020-07-11T00:00:00.000,Probable,2819,44,105
48,2020-07-10T00:00:00.000,Confirmed,66095,6632,1853
49,2020-07-10T00:00:00.000,Probable,2836,43,105
50,2020-07-09T00:00:00.000,Confirmed,65191,6582,1832
51,2020-07-09T00:00:00.000,Probable,2797,43,105
52,2020-07-08T00:00:00.000,Confirmed,64583,6534,1799
53,2020-07-08T00:00:00.000,Probable,2792,43,106
54,2020-07-07T00:00:00.000,Confirmed,63950,6470,1775
55,2020-07-07T00:00:00.000,Probable,2790,42,106
56,2020-07-06T00:00:00.000,Confirmed,63339,6394,1747
57,2020-07-06T00:00:00.000,Probable,2763,41,106
58,2020-07-05T00:00:00.000,Confirmed,62981,6377,1746
59,2020-07-05T00:00:00.000,Probable,2767,41,107
60,2020-07-04T00:00:00.000,Confirmed,62400,6370,1745
61,2020-07-04T00:00:00.000,Probable,2709,35,104
62,2020-07-03T00:00:00.000,Confirmed,61690,6348,1741
63,2020-07-03T00:00:00.000,Probable,2703,34,104
64,2020-07-02T00:00:00.000,Confirmed,61039,6298,1712
65,2020-07-02T00:00:00.000,Probable,2696,35,104
66,2020-07-01T00:00:00.000,Confirmed,60528,6228,1681
67,2020-07-01T00:00:00.000,Probable,2675,34,105
68,2020-06-30T00:00:00.000,Confirmed,60124,6169,1658
69,2020-06-30T00:00:00.000,Probable,2663,34,105
70,2020-06-29T00:00:00.000,Confirmed,59522,6128,1635
71,2020-06-29T00:00:00.000,Probable,2667,36,105
72,2020-06-28T00:00:00.000,Confirmed,59071,6100,1628
73,2020-06-28T00:00:00.000,Probable,2665,36,104
74,2020-06-27T00:00:00.000,Confirmed,58611,6084,1620
75,2020-06-27T00:00:00.000,Probable,2636,36,104
76,2020-06-26T00:00:00.000,Confirmed,57977,6035,1596
77,2020-06-26T00:00:00.000,Probable,2593,36,104
78,2020-06-25T00:00:00.000,Confirmed,57384,5961,1572
79,2020-06-25T00:00:00.000,Probable,2562,34,103
80,2020-06-24T00:00:00.000,Confirmed,56956,5922,1559
