,report_date,health_district,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-08-25T00:00:00.000,Alexandria,3309,294,61
1,2020-08-25T00:00:00.000,Alleghany,1086,58,19
2,2020-08-25T00:00:00.000,Arlington,3415,452,138
3,2020-08-25T00:00:00.000,Central Shenandoah,3091,234,61
4,2020-08-25T00:00:00.000,Central Virginia,2081,71,18
5,2020-08-25T00:00:00.000,Chesapeake,3582,303,43
6,2020-08-25T00:00:00.000,Chesterfield,5286,289,103
7,2020-08-25T00:00:00.000,Chickahominy,1136,139,47
8,2020-08-25T00:00:00.000,Crater,2929,242,71
9,2020-08-25T00:00:00.000,Cumberland Plateau,499,38,6
10,2020-08-25T00:00:00.000,Eastern Shore,1438,137,47
11,2020-08-25T00:00:00.000,Fairfax,17956,2036,561
12,2020-08-25T00:00:00.000,Hampton,1474,54,15
13,2020-08-25T00:00:00.000,Henrico,4403,368,189
14,2020-08-25T00:00:00.000,Lenowisco,647,56,11
15,2020-08-25T00:00:00.000,Lord Fairfax,2770,237,93
16,2020-08-25T00:00:00.000,Loudoun,5769,369,115
17,2020-08-25T00:00:00.000,Mount Rogers,1794,164,68
18,2020-08-25T00:00:00.000,New River,857,37,8
19,2020-08-25T00:00:00.000,Norfolk,4245,261,44
20,2020-08-25T00:00:00.000,Peninsula,3508,179,50
21,2020-08-25T00:00:00.000,Piedmont,1635,127,37
22,2020-08-25T00:00:00.000,Pittsylvania-Danville,1213,92,16
23,2020-08-25T00:00:00.000,Portsmouth,2135,160,31
24,2020-08-25T00:00:00.000,Prince William,12793,1017,213
25,2020-08-25T00:00:00.000,Rappahannock,4242,335,60
26,2020-08-25T00:00:00.000,Rappahannock Rapidan,2191,144,29
27,2020-08-25T00:00:00.000,Richmond,3662,359,43
28,2020-08-25T00:00:00.000,Roanoke,1129,41,15
29,2020-08-25T00:00:00.000,Southside,948,69,37
30,2020-08-25T00:00:00.000,Thomas Jefferson,2294,163,46
31,2020-08-25T00:00:00.000,Three Rivers,1226,89,18
32,2020-08-25T00:00:00.000,Virginia Beach,5788,309,64
33,2020-08-25T00:00:00.000,Western Tidewater,2644,160,88
34,2020-08-25T00:00:00.000,West Piedmont,1460,176,29
35,2020-08-23T00:00:00.000,Alexandria,3257,292,61
36,2020-08-23T00:00:00.000,Alleghany,1066,57,19
37,2020-08-23T00:00:00.000,Arlington,3383,449,137
38,2020-08-23T00:00:00.000,Central Shenandoah,3046,231,60
39,2020-08-23T00:00:00.000,Central Virginia,2007,71,18
40,2020-08-23T00:00:00.000,Chesapeake,3523,293,42
41,2020-08-23T00:00:00.000,Chesterfield,5246,285,102
42,2020-08-23T00:00:00.000,Chickahominy,1125,138,47
43,2020-08-23T00:00:00.000,Crater,2900,241,70
44,2020-08-23T00:00:00.000,Cumberland Plateau,487,38,6
45,2020-08-23T00:00:00.000,Eastern Shore,1438,137,47
46,2020-08-23T00:00:00.000,Fairfax,17817,2036,556
47,2020-08-23T00:00:00.000,Hampton,1454,53,11
48,2020-08-23T00:00:00.000,Henrico,4319,361,189
49,2020-08-23T00:00:00.000,Lenowisco,603,55,10
50,2020-08-23T00:00:00.000,Lord Fairfax,2745,235,92
51,2020-08-23T00:00:00.000,Loudoun,5712,366,115
52,2020-08-23T00:00:00.000,Mount Rogers,1748,158,64
53,2020-08-23T00:00:00.000,New River,771,37,8
54,2020-08-23T00:00:00.000,Norfolk,4164,256,43
55,2020-08-23T00:00:00.000,Peninsula,3458,173,48
56,2020-08-23T00:00:00.000,Piedmont,1608,125,36
57,2020-08-23T00:00:00.000,Pittsylvania-Danville,1183,92,16
58,2020-08-23T00:00:00.000,Portsmouth,2086,159,30
59,2020-08-23T00:00:00.000,Prince William,12647,1012,213
60,2020-08-23T00:00:00.000,Rappahannock,4174,333,60
61,2020-08-23T00:00:00.000,Rappahannock Rapidan,2165,143,29
62,2020-08-23T00:00:00.000,Richmond,3588,353,43
63,2020-08-23T00:00:00.000,Roanoke,1123,40,15
64,2020-08-23T00:00:00.000,Southside,931,69,37
65,2020-08-23T00:00:00.000,Thomas Jefferson,2261,162,45
66,2020-08-23T00:00:00.000,Three Rivers,1210,88,18
67,2020-08-23T00:00:00.000,Virginia Beach,5693,307,64
68,2020-08-23T00:00:00.000,Western Tidewater,2603,157,88
69,2020-08-23T00:00:00.000,West Piedmont,1425,174,28
70,2020-08-22T00:00:00.000,Alexandria,3238,292,61
71,2020-08-22T00:00:00.000,Alleghany,1065,57,18
72,2020-08-22T00:00:00.000,Arlington,3357,449,137
73,2020-08-22T00:00:00.000,Central Shenandoah,3032,230,60
74,2020-08-22T00:00:00.000,Central Virginia,1963,71,18
75,2020-08-22T00:00:00.000,Chesapeake,3462,287,42
76,2020-08-22T00:00:00.000,Chesterfield,5206,284,102
77,2020-08-22T00:00:00.000,Chickahominy,1114,136,46
78,2020-08-22T00:00:00.000,Crater,2838,240,69
79,2020-08-22T00:00:00.000,Cumberland Plateau,484,38,6
80,2020-08-22T00:00:00.000,Eastern Shore,1438,136,47
81,2020-08-22T00:00:00.000,Fairfax,17701,2029,553
82,2020-08-22T00:00:00.000,Hampton,1437,53,10
83,2020-08-22T00:00:00.000,Henrico,4294,360,188
84,2020-08-22T00:00:00.000,Lenowisco,593,54,10
85,2020-08-22T00:00:00.000,Lord Fairfax,2727,235,92
86,2020-08-22T00:00:00.000,Loudoun,5684,365,115
87,2020-08-22T00:00:00.000,Mount Rogers,1730,155,62
88,2020-08-22T00:00:00.000,New River,729,37,8
89,2020-08-22T00:00:00.000,Norfolk,4164,255,39
90,2020-08-22T00:00:00.000,Peninsula,3422,173,47
91,2020-08-22T00:00:00.000,Piedmont,1608,125,36
92,2020-08-22T00:00:00.000,Pittsylvania-Danville,1160,90,16
93,2020-08-22T00:00:00.000,Portsmouth,2085,159,30
94,2020-08-22T00:00:00.000,Prince William,12576,1010,212
95,2020-08-22T00:00:00.000,Rappahannock,4144,330,59
96,2020-08-22T00:00:00.000,Rappahannock Rapidan,2119,143,28
97,2020-08-22T00:00:00.000,Richmond,3548,352,43
98,2020-08-22T00:00:00.000,Roanoke,1121,40,15
99,2020-08-22T00:00:00.000,Southside,925,69,37
100,2020-08-22T00:00:00.000,Thomas Jefferson,2247,162,43
101,2020-08-22T00:00:00.000,Three Rivers,1208,86,18
102,2020-08-22T00:00:00.000,Virginia Beach,5668,306,63
103,2020-08-22T00:00:00.000,Western Tidewater,2575,157,86
104,2020-08-22T00:00:00.000,West Piedmont,1410,174,27
105,2020-08-21T00:00:00.000,Alexandria,3203,288,61
106,2020-08-21T00:00:00.000,Alleghany,1045,56,18
107,2020-08-21T00:00:00.000,Arlington,3334,448,137
108,2020-08-21T00:00:00.000,Central Shenandoah,3001,230,60
109,2020-08-21T00:00:00.000,Central Virginia,1904,70,17
110,2020-08-21T00:00:00.000,Chesapeake,3412,277,41
111,2020-08-21T00:00:00.000,Chesterfield,5159,278,102
112,2020-08-21T00:00:00.000,Chickahominy,1107,135,46
113,2020-08-21T00:00:00.000,Crater,2774,237,69
114,2020-08-21T00:00:00.000,Cumberland Plateau,462,37,6
115,2020-08-21T00:00:00.000,Eastern Shore,1436,135,47
116,2020-08-21T00:00:00.000,Fairfax,17589,2028,553
117,2020-08-21T00:00:00.000,Hampton,1417,53,10
118,2020-08-21T00:00:00.000,Henrico,4259,360,188
119,2020-08-21T00:00:00.000,Lenowisco,587,54,10
120,2020-08-21T00:00:00.000,Lord Fairfax,2712,235,92
121,2020-08-21T00:00:00.000,Loudoun,5647,364,115
122,2020-08-21T00:00:00.000,Mount Rogers,1697,151,62
123,2020-08-21T00:00:00.000,New River,700,36,8
124,2020-08-21T00:00:00.000,Norfolk,4119,251,39
125,2020-08-21T00:00:00.000,Peninsula,3352,171,47
126,2020-08-21T00:00:00.000,Piedmont,1583,125,36
127,2020-08-21T00:00:00.000,Pittsylvania-Danville,1133,89,16
128,2020-08-21T00:00:00.000,Portsmouth,2057,156,30
129,2020-08-21T00:00:00.000,Prince William,12476,1008,210
130,2020-08-21T00:00:00.000,Rappahannock,4103,327,58
131,2020-08-21T00:00:00.000,Rappahannock Rapidan,2101,144,28
132,2020-08-21T00:00:00.000,Richmond,3502,352,43
133,2020-08-21T00:00:00.000,Roanoke,1122,38,15
134,2020-08-21T00:00:00.000,Southside,915,69,37
135,2020-08-21T00:00:00.000,Thomas Jefferson,2217,158,43
136,2020-08-21T00:00:00.000,Three Rivers,1202,84,18
137,2020-08-21T00:00:00.000,Virginia Beach,5623,298,61
138,2020-08-21T00:00:00.000,Western Tidewater,2526,157,86
139,2020-08-21T00:00:00.000,West Piedmont,1384,172,27
140,2020-08-20T00:00:00.000,Alexandria,3186,287,61
141,2020-08-20T00:00:00.000,Alleghany,1021,55,18
142,2020-08-20T00:00:00.000,Arlington,3310,447,137
143,2020-08-20T00:00:00.000,Central Shenandoah,2984,230,60
144,2020-08-20T00:00:00.000,Central Virginia,1864,70,17
145,2020-08-20T00:00:00.000,Chesapeake,3384,274,41
146,2020-08-20T00:00:00.000,Chesterfield,5131,274,102
147,2020-08-20T00:00:00.000,Chickahominy,1099,135,46
148,2020-08-20T00:00:00.000,Crater,2745,235,69
149,2020-08-20T00:00:00.000,Cumberland Plateau,454,37,6
150,2020-08-20T00:00:00.000,Eastern Shore,1432,135,47
151,2020-08-20T00:00:00.000,Fairfax,17499,2025,553
152,2020-08-20T00:00:00.000,Hampton,1388,53,9
153,2020-08-20T00:00:00.000,Henrico,4224,359,188
154,2020-08-20T00:00:00.000,Lenowisco,577,52,10
155,2020-08-20T00:00:00.000,Lord Fairfax,2707,235,92
156,2020-08-20T00:00:00.000,Loudoun,5614,363,115
157,2020-08-20T00:00:00.000,Mount Rogers,1673,151,62
158,2020-08-20T00:00:00.000,New River,667,36,8
159,2020-08-20T00:00:00.000,Norfolk,4091,244,39
160,2020-08-20T00:00:00.000,Peninsula,3313,170,47
161,2020-08-20T00:00:00.000,Piedmont,1567,125,36
162,2020-08-20T00:00:00.000,Pittsylvania-Danville,1109,85,11
163,2020-08-20T00:00:00.000,Portsmouth,2045,152,28
164,2020-08-20T00:00:00.000,Prince William,12380,1002,210
165,2020-08-20T00:00:00.000,Rappahannock,4069,322,58
166,2020-08-20T00:00:00.000,Rappahannock Rapidan,2081,142,28
167,2020-08-20T00:00:00.000,Richmond,3480,350,43
168,2020-08-20T00:00:00.000,Roanoke,1104,36,15
169,2020-08-20T00:00:00.000,Southside,905,69,37
170,2020-08-20T00:00:00.000,Thomas Jefferson,2188,157,43
171,2020-08-20T00:00:00.000,Three Rivers,1192,84,18
172,2020-08-20T00:00:00.000,Virginia Beach,5562,284,61
173,2020-08-20T00:00:00.000,Western Tidewater,2468,154,86
