Report Date,Health District,Ethnicity,Number of Cases,Number of Hospitalizations,Number of Deaths
5/4/2020,Southside,Not Reported,94,19,7
5/4/2020,Lord Fairfax,Hispanic or Latino,110,12,1
5/4/2020,Eastern Shore,Not Hispanic or Latino,391,24,5
5/4/2020,Portsmouth,Hispanic or Latino,4,2,0
5/4/2020,Fairfax,Not Reported,1343,93,73
5/4/2020,Richmond,Hispanic or Latino,58,6,1
5/4/2020,Chesapeake,Not Reported,97,8,2
5/4/2020,Arlington,Hispanic or Latino,203,58,3
5/4/2020,West Piedmont,Not Hispanic or Latino,35,5,1
5/4/2020,Fairfax,Not Hispanic or Latino,1451,400,115
5/4/2020,Piedmont,Hispanic or Latino,11,0,0
5/4/2020,Crater,Not Hispanic or Latino,114,31,7
5/4/2020,Chickahominy,Not Hispanic or Latino,86,25,12
5/4/2020,New River,Not Hispanic or Latino,46,9,1
5/4/2020,Lord Fairfax,Not Reported,111,2,0
5/4/2020,Rappahannock,Not Reported,240,29,2
5/4/2020,Central Shenandoah,Not Reported,215,2,4
5/4/2020,Central Virginia,Not Hispanic or Latino,38,4,1
5/4/2020,Lenowisco,Not Hispanic or Latino,21,9,1
5/4/2020,Cumberland Plateau,Not Hispanic or Latino,14,2,0
5/4/2020,Western Tidewater,Not Hispanic or Latino,274,48,17
5/4/2020,New River,Not Reported,32,1,0
5/4/2020,Chesterfield,Not Reported,443,19,16
5/4/2020,Chesterfield,Hispanic or Latino,44,1,0
5/4/2020,Hampton,Not Hispanic or Latino,93,26,1
5/4/2020,Chesapeake,Not Hispanic or Latino,174,50,6
5/4/2020,Peninsula,Hispanic or Latino,22,7,1
5/4/2020,Arlington,Not Reported,661,68,12
5/4/2020,Roanoke,Not Hispanic or Latino,49,5,0
5/4/2020,Lord Fairfax,Not Hispanic or Latino,290,28,4
5/4/2020,Eastern Shore,Hispanic or Latino,86,2,2
5/4/2020,Mount Rogers,Not Reported,6,2,0
5/4/2020,Three Rivers,Not Hispanic or Latino,140,16,1
5/4/2020,Thomas Jefferson,Not Reported,30,1,0
5/4/2020,Three Rivers,Not Reported,99,7,1
5/4/2020,Arlington,Not Hispanic or Latino,275,68,32
5/4/2020,Alleghany,Not Hispanic or Latino,79,15,3
5/4/2020,Loudoun,Not Reported,348,7,2
5/4/2020,Fairfax,Hispanic or Latino,1890,291,16
5/4/2020,Peninsula,Not Reported,72,3,2
5/4/2020,Crater,Hispanic or Latino,5,0,0
5/4/2020,Piedmont,Not Hispanic or Latino,138,17,3
5/4/2020,Henrico,Hispanic or Latino,49,11,2
5/4/2020,Alexandria,Not Hispanic or Latino,308,61,18
5/4/2020,Central Virginia,Hispanic or Latino,5,1,0
5/4/2020,Alleghany,Not Reported,39,1,0
5/4/2020,Cumberland Plateau,Hispanic or Latino,0,0,0
5/4/2020,Western Tidewater,Hispanic or Latino,3,0,0
5/4/2020,Chesterfield,Not Hispanic or Latino,186,33,14
5/4/2020,Pittsylvania-Danville,Not Hispanic or Latino,41,16,2
5/4/2020,Mount Rogers,Hispanic or Latino,33,0,0
5/4/2020,Richmond,Not Reported,114,11,0
5/4/2020,Peninsula,Not Hispanic or Latino,281,92,22
5/4/2020,Chesapeake,Hispanic or Latino,13,5,1
5/4/2020,Southside,Hispanic or Latino,1,0,0
5/4/2020,Thomas Jefferson,Not Hispanic or Latino,277,59,13
5/4/2020,Norfolk,Not Hispanic or Latino,177,39,4
5/4/2020,Portsmouth,Not Reported,105,9,1
5/4/2020,Norfolk,Not Reported,44,2,0
5/4/2020,Three Rivers,Hispanic or Latino,17,0,0
5/4/2020,Eastern Shore,Not Reported,87,0,0
5/4/2020,Alleghany,Hispanic or Latino,3,0,0
5/4/2020,Henrico,Not Reported,399,27,26
5/4/2020,Henrico,Not Hispanic or Latino,516,99,77
5/4/2020,Loudoun,Not Hispanic or Latino,360,58,14
5/4/2020,Hampton,Not Reported,30,2,0
5/4/2020,Rappahannock Rapidan,Not Hispanic or Latino,77,12,4
5/4/2020,Alexandria,Not Reported,239,7,4
5/4/2020,Rappahannock,Not Hispanic or Latino,195,43,9
5/4/2020,Western Tidewater,Not Reported,162,2,1
5/4/2020,Cumberland Plateau,Not Reported,13,0,0
5/4/2020,Alexandria,Hispanic or Latino,393,42,4
5/4/2020,Virginia Beach,Not Hispanic or Latino,313,69,14
5/4/2020,Prince William,Hispanic or Latino,748,142,3
5/4/2020,Virginia Beach,Not Reported,105,9,0
5/4/2020,Central Shenandoah,Hispanic or Latino,314,14,1
5/4/2020,Pittsylvania-Danville,Hispanic or Latino,0,0,0
5/4/2020,Mount Rogers,Not Hispanic or Latino,75,14,4
5/4/2020,Piedmont,Not Reported,99,6,0
5/4/2020,Southside,Not Hispanic or Latino,45,6,3
5/4/2020,Thomas Jefferson,Hispanic or Latino,12,0,0
5/4/2020,Pittsylvania-Danville,Not Reported,11,4,0
5/4/2020,Norfolk,Hispanic or Latino,18,4,0
5/4/2020,Portsmouth,Not Hispanic or Latino,74,24,7
5/4/2020,West Piedmont,Not Reported,8,1,0
5/4/2020,Richmond,Not Hispanic or Latino,247,55,15
5/4/2020,West Piedmont,Hispanic or Latino,3,0,0
5/4/2020,Prince William,Not Reported,1267,11,0
5/4/2020,Rappahannock Rapidan,Not Reported,162,5,1
5/4/2020,Chickahominy,Hispanic or Latino,2,1,0
5/4/2020,Lenowisco,Not Reported,20,5,1
5/4/2020,New River,Hispanic or Latino,0,0,0
5/4/2020,Crater,Not Reported,137,28,7
5/4/2020,Chickahominy,Not Reported,176,27,7
5/4/2020,Loudoun,Hispanic or Latino,253,31,2
5/4/2020,Rappahannock Rapidan,Hispanic or Latino,158,15,2
5/4/2020,Roanoke,Not Reported,27,0,0
5/4/2020,Rappahannock,Hispanic or Latino,160,24,0
5/4/2020,Lenowisco,Hispanic or Latino,0,0,0
5/4/2020,Virginia Beach,Hispanic or Latino,21,5,1
5/4/2020,Prince William,Not Hispanic or Latino,492,113,32
5/4/2020,Central Virginia,Not Reported,104,3,0
5/4/2020,Central Shenandoah,Not Hispanic or Latino,332,30,13
5/4/2020,Hampton,Hispanic or Latino,5,0,0
5/4/2020,Roanoke,Hispanic or Latino,5,0,0
