Event Date,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
5/20/2020,Confirmed,41,3,1
5/20/2020,Probable,2,0,0
5/19/2020,Confirmed,59,12,7
5/19/2020,Probable,4,0,0
5/18/2020,Confirmed,136,19,9
5/18/2020,Probable,5,0,0
5/17/2020,Confirmed,194,34,10
5/17/2020,Probable,10,0,0
5/16/2020,Confirmed,355,23,18
5/16/2020,Probable,12,0,0
5/15/2020,Confirmed,596,29,9
5/15/2020,Probable,20,0,0
5/14/2020,Confirmed,647,42,11
5/14/2020,Probable,11,0,1
5/13/2020,Confirmed,765,36,8
5/13/2020,Probable,18,0,1
5/12/2020,Confirmed,875,49,17
5/12/2020,Probable,21,1,0
5/11/2020,Confirmed,757,55,29
5/11/2020,Probable,21,1,0
5/10/2020,Confirmed,418,58,22
5/10/2020,Probable,15,0,0
5/9/2020,Confirmed,499,59,16
5/9/2020,Probable,21,0,0
5/8/2020,Confirmed,803,62,28
5/8/2020,Probable,24,0,0
5/7/2020,Confirmed,708,60,28
5/7/2020,Probable,21,0,0
5/6/2020,Confirmed,786,71,20
5/6/2020,Probable,41,0,1
5/5/2020,Confirmed,820,72,33
5/5/2020,Probable,30,0,1
5/4/2020,Confirmed,929,90,20
5/4/2020,Probable,43,1,0
5/3/2020,Confirmed,516,85,19
5/3/2020,Probable,24,0,2
5/2/2020,Confirmed,619,63,28
5/2/2020,Probable,26,2,1
5/1/2020,Confirmed,1014,86,22
5/1/2020,Probable,58,0,0
4/30/2020,Confirmed,829,73,40
4/30/2020,Probable,53,0,0
4/29/2020,Confirmed,803,66,21
4/29/2020,Probable,41,2,2
4/28/2020,Confirmed,788,76,30
4/28/2020,Probable,40,1,0
4/27/2020,Confirmed,860,83,21
4/27/2020,Probable,39,2,0
4/26/2020,Confirmed,603,62,25
4/26/2020,Probable,27,0,3
4/25/2020,Confirmed,579,57,21
4/25/2020,Probable,43,1,3
4/24/2020,Confirmed,817,79,27
4/24/2020,Probable,42,0,2
4/23/2020,Confirmed,709,63,19
4/23/2020,Probable,43,0,2
4/22/2020,Confirmed,698,67,26
4/22/2020,Probable,43,0,0
4/21/2020,Confirmed,642,98,27
4/21/2020,Probable,30,2,2
4/20/2020,Confirmed,814,82,16
4/20/2020,Probable,60,1,3
4/19/2020,Confirmed,447,60,34
4/19/2020,Probable,30,1,0
4/18/2020,Confirmed,405,63,22
4/18/2020,Probable,23,1,0
4/17/2020,Confirmed,653,63,28
4/17/2020,Probable,41,1,2
4/16/2020,Confirmed,591,71,29
4/16/2020,Probable,21,0,0
4/15/2020,Confirmed,488,76,22
4/15/2020,Probable,27,0,0
4/14/2020,Confirmed,551,59,24
4/14/2020,Probable,32,0,0
4/13/2020,Confirmed,621,86,26
4/13/2020,Probable,50,2,2
4/12/2020,Confirmed,395,67,20
4/12/2020,Probable,35,0,1
4/11/2020,Confirmed,351,51,13
4/11/2020,Probable,30,0,0
4/10/2020,Confirmed,526,62,22
4/10/2020,Probable,39,0,0
4/9/2020,Confirmed,417,73,12
4/9/2020,Probable,25,0,0
4/8/2020,Confirmed,432,58,11
4/8/2020,Probable,34,0,1
4/7/2020,Confirmed,411,60,14
4/7/2020,Probable,20,0,0
4/6/2020,Confirmed,471,82,15
4/6/2020,Probable,40,0,0
4/5/2020,Confirmed,294,60,11
4/5/2020,Probable,25,0,0
4/4/2020,Confirmed,298,59,8
4/4/2020,Probable,17,0,0
4/3/2020,Confirmed,332,61,11
4/3/2020,Probable,16,1,0
4/2/2020,Confirmed,313,55,9
4/2/2020,Probable,17,0,0
4/1/2020,Confirmed,311,71,10
4/1/2020,Probable,29,0,1
