Report Date,Health District,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths
6/21/2020,Southside,Not Reported,4,0,0
6/21/2020,Chesapeake,Female,411,52,7
6/21/2020,Richmond,Female,939,85,6
6/21/2020,Roanoke,Male,132,6,2
6/21/2020,Fairfax,Not Reported,135,3,3
6/21/2020,Thomas Jefferson,Female,408,43,9
6/21/2020,Chesapeake,Not Reported,1,0,0
6/21/2020,Cumberland Plateau,Male,18,1,0
6/21/2020,Eastern Shore,Female,652,55,23
6/21/2020,Lord Fairfax,Not Reported,8,0,0
6/21/2020,Rappahannock,Not Reported,11,1,0
6/21/2020,Central Shenandoah,Not Reported,0,0,0
6/21/2020,Peninsula,Male,390,62,12
6/21/2020,Norfolk,Male,366,45,6
6/21/2020,Alexandria,Female,1137,104,27
6/21/2020,Lenowisco,Male,24,8,3
6/21/2020,Pittsylvania-Danville,Female,85,16,2
6/21/2020,New River,Not Reported,3,0,0
6/21/2020,Chesterfield,Not Reported,72,0,2
6/21/2020,Loudoun,Male,1771,136,31
6/21/2020,Rappahannock Rapidan,Female,671,40,6
6/21/2020,Piedmont,Female,264,38,3
6/21/2020,Richmond,Male,1004,112,21
6/21/2020,Crater,Female,533,73,14
6/21/2020,Portsmouth,Female,190,35,7
6/21/2020,Arlington,Not Reported,1,0,0
6/21/2020,Mount Rogers,Not Reported,2,0,0
6/21/2020,Thomas Jefferson,Not Reported,3,0,0
6/21/2020,Three Rivers,Not Reported,18,0,0
6/21/2020,Hampton,Male,120,23,3
6/21/2020,Alleghany,Male,153,20,5
6/21/2020,Roanoke,Female,175,7,8
6/21/2020,Loudoun,Not Reported,14,0,1
6/21/2020,Fairfax,Female,6813,688,224
6/21/2020,Western Tidewater,Male,363,49,27
6/21/2020,Peninsula,Not Reported,3,0,0
6/21/2020,New River,Male,88,13,4
6/21/2020,Central Shenandoah,Male,873,71,15
6/21/2020,Southside,Male,145,22,10
6/21/2020,Chesterfield,Male,1347,69,32
6/21/2020,Arlington,Female,1197,188,60
6/21/2020,Rappahannock,Male,1060,114,23
6/21/2020,Central Virginia,Male,160,9,4
6/21/2020,Alleghany,Not Reported,3,0,0
6/21/2020,Henrico,Male,1085,125,67
6/21/2020,Thomas Jefferson,Male,373,38,10
6/21/2020,Lord Fairfax,Male,888,81,30
6/21/2020,Three Rivers,Male,416,16,2
6/21/2020,Richmond,Not Reported,42,2,2
6/21/2020,Pittsylvania-Danville,Male,72,17,1
6/21/2020,Portsmouth,Not Reported,3,0,0
6/21/2020,Norfolk,Not Reported,0,0,0
6/21/2020,Chesapeake,Male,321,53,9
6/21/2020,Chickahominy,Female,334,51,15
6/21/2020,Prince William,Male,4311,421,89
6/21/2020,Eastern Shore,Not Reported,10,0,0
6/21/2020,Eastern Shore,Male,639,51,19
6/21/2020,Rappahannock Rapidan,Male,697,62,11
6/21/2020,Henrico,Not Reported,9,0,1
6/21/2020,Cumberland Plateau,Female,19,1,0
6/21/2020,West Piedmont,Male,181,20,3
6/21/2020,Hampton,Not Reported,2,0,0
6/21/2020,Alexandria,Not Reported,9,0,0
6/21/2020,Western Tidewater,Not Reported,2,0,0
6/21/2020,Cumberland Plateau,Not Reported,0,0,0
6/21/2020,Virginia Beach,Male,451,61,15
6/21/2020,Alleghany,Female,163,10,9
6/21/2020,Lenowisco,Female,22,8,1
6/21/2020,Virginia Beach,Not Reported,12,0,0
6/21/2020,Western Tidewater,Female,360,30,19
6/21/2020,Mount Rogers,Male,281,43,14
6/21/2020,Lord Fairfax,Female,948,75,32
6/21/2020,Piedmont,Not Reported,0,0,0
6/21/2020,Alexandria,Male,1081,127,22
6/21/2020,Pittsylvania-Danville,Not Reported,1,0,0
6/21/2020,West Piedmont,Not Reported,4,0,0
6/21/2020,Loudoun,Female,1800,112,51
6/21/2020,Hampton,Female,142,14,2
6/21/2020,Henrico,Female,1319,115,70
6/21/2020,Prince William,Not Reported,77,1,0
6/21/2020,Chickahominy,Male,265,53,19
6/21/2020,Rappahannock Rapidan,Not Reported,27,1,1
6/21/2020,Peninsula,Female,456,62,21
6/21/2020,Lenowisco,Not Reported,0,0,0
6/21/2020,Crater,Not Reported,16,1,0
6/21/2020,Chickahominy,Not Reported,5,0,0
6/21/2020,Portsmouth,Male,213,25,6
6/21/2020,New River,Female,86,7,0
6/21/2020,Rappahannock,Female,1204,90,10
6/21/2020,Central Virginia,Female,144,8,0
6/21/2020,Roanoke,Not Reported,6,0,0
6/21/2020,West Piedmont,Female,188,16,2
6/21/2020,Mount Rogers,Female,349,21,9
6/21/2020,Piedmont,Male,684,41,4
6/21/2020,Chesterfield,Female,1331,61,31
6/21/2020,Fairfax,Male,6598,882,221
6/21/2020,Crater,Male,787,52,7
6/21/2020,Central Virginia,Not Reported,0,0,0
6/21/2020,Prince William,Female,4264,340,65
6/21/2020,Virginia Beach,Female,525,54,12
6/21/2020,Norfolk,Female,371,45,1
6/21/2020,Three Rivers,Female,190,32,9
6/21/2020,Arlington,Male,1220,224,66
6/21/2020,Central Shenandoah,Female,1009,78,17
6/21/2020,Southside,Female,215,25,16
