Report Date,Health District,Race,Number of Cases,Number of Hospitalizations,Number of Deaths
5/4/2020,Southside,Not Reported,61,9,2
5/4/2020,Chesapeake,White,103,21,1
5/4/2020,New River,Other,0,0,0
5/4/2020,Norfolk,Black or African American,144,28,2
5/4/2020,Central Shenandoah,Other,128,6,1
5/4/2020,Southside,Other,21,0,2
5/4/2020,Pittsylvania-Danville,Other,0,0,0
5/4/2020,Cumberland Plateau,White,16,2,0
5/4/2020,Rappahannock Rapidan,Black or African American,13,2,0
5/4/2020,Fairfax,Not Reported,1266,88,64
5/4/2020,Chesapeake,Not Reported,52,3,1
5/4/2020,Thomas Jefferson,White,185,23,8
5/4/2020,Richmond,Other,52,10,0
5/4/2020,Peninsula,Black or African American,92,29,7
5/4/2020,Henrico,Other,57,6,3
5/4/2020,Cumberland Plateau,Black or African American,11,0,0
5/4/2020,Loudoun,Other,173,28,2
5/4/2020,Crater,Other,2,1,1
5/4/2020,Arlington,Black or African American,76,20,9
5/4/2020,Alexandria,Black or African American,146,33,4
5/4/2020,Richmond,Black or African American,225,49,15
5/4/2020,Lord Fairfax,Not Reported,51,1,0
5/4/2020,Fairfax,Black or African American,340,89,9
5/4/2020,Thomas Jefferson,Black or African American,98,35,5
5/4/2020,West Piedmont,White,33,4,0
5/4/2020,Rappahannock,Not Reported,233,24,1
5/4/2020,Central Shenandoah,Not Reported,177,1,1
5/4/2020,Peninsula,White,206,64,17
5/4/2020,Rappahannock Rapidan,White,140,16,5
5/4/2020,Prince William,White,521,127,18
5/4/2020,New River,Not Reported,28,1,0
5/4/2020,Chesterfield,Not Reported,284,3,7
5/4/2020,Alleghany,Other,1,0,0
5/4/2020,Lenowisco,White,31,13,1
5/4/2020,Western Tidewater,White,126,18,10
5/4/2020,Hampton,Other,5,1,0
5/4/2020,Pittsylvania-Danville,White,24,12,2
5/4/2020,Roanoke,Black or African American,13,3,0
5/4/2020,Alleghany,Black or African American,5,1,0
5/4/2020,Richmond,Not Reported,61,1,0
5/4/2020,Central Virginia,Other,1,0,0
5/4/2020,Rappahannock,Other,85,13,0
5/4/2020,Roanoke,Other,1,0,0
5/4/2020,Piedmont,Black or African American,97,17,1
5/4/2020,Chesterfield,Other,38,0,0
5/4/2020,Portsmouth,Black or African American,87,24,6
5/4/2020,Portsmouth,Not Reported,45,2,1
5/4/2020,Norfolk,Not Reported,23,0,0
5/4/2020,Eastern Shore,White,146,6,2
5/4/2020,Eastern Shore,Not Reported,58,0,0
5/4/2020,Roanoke,White,48,2,0
5/4/2020,Three Rivers,Other,11,1,0
5/4/2020,Fairfax,Other,1735,351,35
5/4/2020,Henrico,Not Reported,150,0,1
5/4/2020,Lord Fairfax,Other,58,4,0
5/4/2020,Piedmont,Other,2,0,0
5/4/2020,Lenowisco,Black or African American,0,0,0
5/4/2020,Arlington,White,275,54,19
5/4/2020,Hampton,Black or African American,78,22,1
5/4/2020,Alexandria,White,320,44,17
5/4/2020,Hampton,Not Reported,21,1,0
5/4/2020,Mount Rogers,White,102,14,4
5/4/2020,Alexandria,Not Reported,324,12,4
5/4/2020,Chickahominy,Black or African American,43,18,6
5/4/2020,Chesapeake,Black or African American,102,34,4
5/4/2020,Western Tidewater,Not Reported,107,1,1
5/4/2020,Cumberland Plateau,Not Reported,0,0,0
5/4/2020,Western Tidewater,Other,13,1,1
5/4/2020,Alleghany,White,81,14,3
5/4/2020,Prince William,Other,490,74,4
5/4/2020,Arlington,Not Reported,605,64,7
5/4/2020,West Piedmont,Black or African American,5,1,0
5/4/2020,Peninsula,Other,16,6,1
5/4/2020,Norfolk,Other,10,2,0
5/4/2020,Lord Fairfax,Black or African American,21,2,0
5/4/2020,Mount Rogers,Not Reported,6,1,0
5/4/2020,Central Virginia,Black or African American,11,0,0
5/4/2020,West Piedmont,Other,2,1,1
5/4/2020,Portsmouth,White,40,7,1
5/4/2020,Thomas Jefferson,Not Reported,12,0,0
5/4/2020,Three Rivers,Not Reported,79,4,1
5/4/2020,Virginia Beach,Black or African American,100,17,2
5/4/2020,Prince William,Black or African American,226,48,13
5/4/2020,Loudoun,Not Reported,340,4,2
5/4/2020,Loudoun,White,396,58,14
5/4/2020,Peninsula,Not Reported,61,3,0
5/4/2020,Pittsylvania-Danville,Black or African American,21,6,0
5/4/2020,Henrico,White,363,59,56
5/4/2020,Richmond,White,81,12,1
5/4/2020,Southside,Black or African American,21,7,1
5/4/2020,Chickahominy,White,108,27,11
5/4/2020,Thomas Jefferson,Other,24,2,0
5/4/2020,Virginia Beach,Other,43,16,2
5/4/2020,Central Shenandoah,Black or African American,42,2,1
5/4/2020,Chesterfield,White,186,23,16
5/4/2020,Central Virginia,White,39,5,1
5/4/2020,Rappahannock,White,200,43,8
5/4/2020,New River,White,44,8,1
5/4/2020,Mount Rogers,Other,6,1,0
5/4/2020,Crater,White,43,12,5
5/4/2020,Alleghany,Not Reported,34,1,0
5/4/2020,Arlington,Other,183,56,12
5/4/2020,Piedmont,White,73,3,2
5/4/2020,Cumberland Plateau,Other,0,0,0
5/4/2020,Loudoun,Black or African American,52,6,0
5/4/2020,Virginia Beach,White,224,48,11
5/4/2020,Chickahominy,Other,6,4,0
5/4/2020,New River,Black or African American,6,1,0
5/4/2020,Virginia Beach,Not Reported,72,2,0
5/4/2020,Rappahannock Rapidan,Other,23,9,0
5/4/2020,Piedmont,Not Reported,76,3,0
5/4/2020,Portsmouth,Other,11,2,0
5/4/2020,Pittsylvania-Danville,Not Reported,7,2,0
5/4/2020,West Piedmont,Not Reported,6,0,0
5/4/2020,Norfolk,White,62,15,2
5/4/2020,Hampton,White,24,4,0
5/4/2020,Western Tidewater,Black or African American,193,30,6
5/4/2020,Prince William,Not Reported,1270,17,0
5/4/2020,Fairfax,White,1343,256,96
5/4/2020,Lenowisco,Other,1,0,0
5/4/2020,Rappahannock Rapidan,Not Reported,221,5,2
5/4/2020,Three Rivers,Black or African American,75,5,0
5/4/2020,Henrico,Black or African American,394,72,45
5/4/2020,Lenowisco,Not Reported,9,1,1
5/4/2020,Chesapeake,Other,27,5,3
5/4/2020,Crater,Not Reported,68,3,1
5/4/2020,Chickahominy,Not Reported,107,4,2
5/4/2020,Eastern Shore,Black or African American,347,19,4
5/4/2020,Alexandria,Other,150,21,1
5/4/2020,Chesterfield,Black or African American,165,27,7
5/4/2020,Roanoke,Not Reported,19,0,0
5/4/2020,Rappahannock,Black or African American,77,16,2
5/4/2020,Lord Fairfax,White,381,35,5
5/4/2020,Three Rivers,White,91,13,1
5/4/2020,Central Virginia,Not Reported,96,3,0
5/4/2020,Eastern Shore,Other,13,1,1
5/4/2020,Crater,Black or African American,143,43,7
5/4/2020,Mount Rogers,Black or African American,0,0,0
5/4/2020,Central Shenandoah,White,514,37,15
5/4/2020,Southside,White,37,9,5
