Report Date,Health District,Race,Number of Cases,Number of Hospitalizations,Number of Deaths
5/3/2020,Norfolk,Not Reported,23,0,0
5/3/2020,Eastern Shore,White,122,5,2
5/3/2020,Eastern Shore,Not Reported,91,0,0
5/3/2020,Roanoke,White,48,2,0
5/3/2020,Three Rivers,Other,11,1,0
5/3/2020,Fairfax,Other,1604,337,34
5/3/2020,Henrico,Not Reported,151,0,1
5/3/2020,Lord Fairfax,Other,58,4,0
5/3/2020,Piedmont,Other,2,0,0
5/3/2020,Lenowisco,Black or African American,0,0,0
5/3/2020,Arlington,White,254,53,18
5/3/2020,Hampton,Black or African American,75,22,1
5/3/2020,Alexandria,White,318,43,17
5/3/2020,Hampton,Not Reported,23,1,0
5/3/2020,Mount Rogers,White,84,14,4
5/3/2020,Alexandria,Not Reported,292,12,4
5/3/2020,Chickahominy,Black or African American,43,18,6
5/3/2020,Chesapeake,Black or African American,101,34,4
5/3/2020,Western Tidewater,Not Reported,107,1,1
5/3/2020,Cumberland Plateau,Not Reported,0,0,0
5/3/2020,Western Tidewater,Other,13,1,1
5/3/2020,Loudoun,Black or African American,52,6,0
5/3/2020,Virginia Beach,White,219,47,11
5/3/2020,Chickahominy,Other,5,4,0
5/3/2020,New River,Black or African American,6,1,0
5/3/2020,Virginia Beach,Not Reported,56,2,0
