Event Date,Health Planning Region,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
7/2/2020,Central,Confirmed,114,5,1
7/2/2020,Eastern,Confirmed,324,10,0
7/2/2020,Eastern,Probable,3,0,0
7/2/2020,Northern,Confirmed,153,10,3
7/2/2020,Northern,Probable,10,0,0
7/2/2020,Northwest,Confirmed,98,6,1
7/2/2020,Northwest,Probable,13,0,0
7/2/2020,Southwest,Confirmed,77,3,0
7/1/2020,Central,Confirmed,148,4,1
7/1/2020,Central,Probable,0,0,1
7/1/2020,Eastern,Confirmed,310,9,0
7/1/2020,Eastern,Probable,2,0,0
7/1/2020,Northern,Confirmed,164,7,0
7/1/2020,Northern,Probable,16,0,0
7/1/2020,Northwest,Confirmed,66,6,0
7/1/2020,Northwest,Probable,15,0,0
7/1/2020,Southwest,Confirmed,89,1,1
6/30/2020,Central,Confirmed,113,7,0
6/30/2020,Eastern,Confirmed,365,5,1
6/30/2020,Eastern,Probable,2,0,0
6/30/2020,Northern,Confirmed,178,7,0
6/30/2020,Northern,Probable,13,0,0
6/30/2020,Northwest,Confirmed,93,2,1
6/30/2020,Northwest,Probable,18,0,0
6/30/2020,Southwest,Confirmed,78,3,0
6/30/2020,Southwest,Probable,4,0,0
6/29/2020,Central,Confirmed,120,5,1
6/29/2020,Eastern,Confirmed,334,10,0
6/29/2020,Eastern,Probable,3,0,0
6/29/2020,Northern,Confirmed,189,6,0
6/29/2020,Northern,Probable,15,0,0
6/29/2020,Northwest,Confirmed,67,5,1
6/29/2020,Northwest,Probable,11,0,1
6/29/2020,Southwest,Confirmed,94,2,0
6/29/2020,Southwest,Probable,1,0,0
6/28/2020,Central,Confirmed,67,4,4
6/28/2020,Central,Probable,1,0,0
6/28/2020,Eastern,Confirmed,172,10,2
6/28/2020,Eastern,Probable,2,0,0
6/28/2020,Northern,Confirmed,124,8,4
6/28/2020,Northern,Probable,9,0,0
6/28/2020,Northwest,Confirmed,50,6,0
6/28/2020,Northwest,Probable,7,0,0
6/28/2020,Southwest,Confirmed,59,3,0
6/27/2020,Central,Confirmed,65,3,0
6/27/2020,Eastern,Confirmed,128,10,0
6/27/2020,Eastern,Probable,2,0,0
6/27/2020,Northern,Confirmed,143,1,2
6/27/2020,Northern,Probable,4,0,0
6/27/2020,Northwest,Confirmed,52,0,0
6/27/2020,Northwest,Probable,9,0,0
6/27/2020,Southwest,Confirmed,65,1,0
6/27/2020,Southwest,Probable,2,0,0
6/26/2020,Central,Confirmed,110,7,0
6/26/2020,Eastern,Confirmed,162,6,1
6/26/2020,Eastern,Probable,1,0,0
6/26/2020,Northern,Confirmed,175,8,2
6/26/2020,Northern,Probable,9,0,0
6/26/2020,Northwest,Confirmed,75,4,1
6/26/2020,Northwest,Probable,5,0,0
6/26/2020,Southwest,Confirmed,90,2,1
6/26/2020,Southwest,Probable,1,0,0
6/25/2020,Central,Confirmed,120,4,1
6/25/2020,Central,Probable,2,0,0
6/25/2020,Eastern,Confirmed,111,4,0
6/25/2020,Eastern,Probable,2,0,0
6/25/2020,Northern,Confirmed,184,6,0
6/25/2020,Northern,Probable,6,1,0
6/25/2020,Northwest,Confirmed,58,2,6
6/25/2020,Northwest,Probable,5,1,0
6/25/2020,Southwest,Confirmed,91,7,0
6/25/2020,Southwest,Probable,1,0,0
6/24/2020,Central,Confirmed,99,6,0
6/24/2020,Eastern,Confirmed,136,6,1
6/24/2020,Eastern,Probable,2,0,0
6/24/2020,Northern,Confirmed,190,2,2
6/24/2020,Northern,Probable,8,0,0
6/24/2020,Northwest,Confirmed,63,4,1
