Event Date,Health Planning Region,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
5/27/2020,Central,Confirmed,1,0,0
5/27/2020,Central,Probable,12,0,0
5/27/2020,Northern,Probable,11,0,0
5/27/2020,Northwest,Confirmed,9,0,1
5/27/2020,Northwest,Probable,1,0,0
5/27/2020,Southwest,Confirmed,3,0,0
5/26/2020,Central,Confirmed,12,2,0
5/26/2020,Eastern,Confirmed,13,0,1
5/26/2020,Northern,Confirmed,31,5,6
5/26/2020,Northern,Probable,17,0,0
5/26/2020,Northwest,Confirmed,21,0,2
5/26/2020,Southwest,Confirmed,1,1,0
5/25/2020,Central,Confirmed,18,3,2
5/25/2020,Central,Probable,4,0,0
5/25/2020,Eastern,Confirmed,9,1,0
5/25/2020,Northern,Confirmed,141,3,2
5/25/2020,Northern,Probable,4,0,0
5/25/2020,Northwest,Confirmed,15,2,0
5/25/2020,Northwest,Probable,1,0,0
5/25/2020,Southwest,Confirmed,3,3,0
5/24/2020,Central,Confirmed,20,1,2
5/24/2020,Central,Probable,2,0,0
5/24/2020,Eastern,Confirmed,10,3,1
5/24/2020,Eastern,Probable,6,0,0
5/24/2020,Northern,Confirmed,205,7,9
5/24/2020,Northern,Probable,3,0,1
5/24/2020,Northwest,Confirmed,31,3,1
5/24/2020,Northwest,Probable,6,0,0
5/24/2020,Southwest,Confirmed,1,0,1
5/24/2020,Southwest,Probable,3,0,0
5/23/2020,Central,Confirmed,41,2,0
5/23/2020,Eastern,Confirmed,27,3,0
5/23/2020,Northern,Confirmed,234,16,7
5/23/2020,Northern,Probable,2,0,0
5/23/2020,Northwest,Confirmed,63,5,0
5/23/2020,Northwest,Probable,2,0,0
5/23/2020,Southwest,Confirmed,9,3,0
5/23/2020,Southwest,Probable,2,0,0
5/22/2020,Central,Confirmed,148,4,1
5/22/2020,Eastern,Confirmed,57,3,2
5/22/2020,Northern,Confirmed,274,18,10
5/22/2020,Northern,Probable,4,0,0
5/22/2020,Northwest,Confirmed,91,6,0
5/22/2020,Northwest,Probable,4,0,0
5/22/2020,Southwest,Confirmed,16,2,0
5/21/2020,Central,Confirmed,137,1,1
5/21/2020,Eastern,Confirmed,54,4,0
5/21/2020,Eastern,Probable,1,0,0
