,report_date,health_district,sex,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-08-07T00:00:00.000,Alexandria,Female,1505,128,33
1,2020-08-07T00:00:00.000,Alexandria,Male,1402,147,27
2,2020-08-07T00:00:00.000,Alexandria,Not Reported,10,0,0
3,2020-08-07T00:00:00.000,Alleghany,Female,504,16,10
4,2020-08-07T00:00:00.000,Alleghany,Male,440,28,8
5,2020-08-07T00:00:00.000,Alleghany,Not Reported,9,0,0
6,2020-08-07T00:00:00.000,Arlington,Female,1497,194,66
7,2020-08-07T00:00:00.000,Arlington,Male,1534,242,69
8,2020-08-07T00:00:00.000,Arlington,Not Reported,6,0,0
9,2020-08-07T00:00:00.000,Central Shenandoah,Female,1481,109,30
10,2020-08-07T00:00:00.000,Central Shenandoah,Male,1265,105,29
11,2020-08-07T00:00:00.000,Central Shenandoah,Not Reported,0,0,0
12,2020-08-07T00:00:00.000,Central Virginia,Female,693,24,4
13,2020-08-07T00:00:00.000,Central Virginia,Male,619,38,10
14,2020-08-07T00:00:00.000,Central Virginia,Not Reported,9,0,0
15,2020-08-07T00:00:00.000,Chesapeake,Female,1570,117,15
16,2020-08-07T00:00:00.000,Chesapeake,Male,1254,108,22
17,2020-08-07T00:00:00.000,Chesapeake,Not Reported,4,0,0
18,2020-08-07T00:00:00.000,Chesterfield,Female,2274,124,50
19,2020-08-07T00:00:00.000,Chesterfield,Male,2231,132,53
20,2020-08-07T00:00:00.000,Chesterfield,Not Reported,114,0,2
21,2020-08-07T00:00:00.000,Chickahominy,Female,535,66,21
22,2020-08-07T00:00:00.000,Chickahominy,Male,431,67,24
23,2020-08-07T00:00:00.000,Chickahominy,Not Reported,5,0,0
24,2020-08-07T00:00:00.000,Crater,Female,1071,116,38
25,2020-08-07T00:00:00.000,Crater,Male,1229,99,32
26,2020-08-07T00:00:00.000,Crater,Not Reported,23,1,0
27,2020-08-07T00:00:00.000,Cumberland Plateau,Female,185,11,2
28,2020-08-07T00:00:00.000,Cumberland Plateau,Male,148,14,1
29,2020-08-07T00:00:00.000,Cumberland Plateau,Not Reported,0,0,0
30,2020-08-07T00:00:00.000,Eastern Shore,Female,692,67,24
31,2020-08-07T00:00:00.000,Eastern Shore,Male,681,60,21
