Report Date,Health District,Race,Number of Cases,Number of Hospitalizations,Number of Deaths
6/12/2020,Cumberland Plateau,Other,0,0,0
6/12/2020,Pittsylvania-Danville,White,61,16,3
6/12/2020,Roanoke,Black or African American,23,6,2
6/12/2020,Alleghany,Black or African American,7,1,1
6/12/2020,Richmond,Not Reported,564,3,2
6/12/2020,Central Virginia,Other,4,1,0
6/12/2020,Rappahannock,Other,527,59,3
6/12/2020,Roanoke,Other,5,0,0
6/12/2020,Piedmont,Black or African American,283,38,2
6/12/2020,Chesterfield,Other,342,19,0
6/12/2020,Portsmouth,Black or African American,179,43,8
6/12/2020,Portsmouth,Not Reported,93,1,1
6/12/2020,Norfolk,Not Reported,118,1,0
6/12/2020,Eastern Shore,White,332,19,15
6/12/2020,Eastern Shore,Not Reported,118,1,0
6/12/2020,Roanoke,White,87,4,8
6/12/2020,Three Rivers,Other,58,6,0
6/12/2020,Fairfax,Other,5572,758,85
6/12/2020,Henrico,Not Reported,569,4,1
6/12/2020,Lord Fairfax,Other,284,20,3
6/12/2020,Piedmont,Other,36,4,0
6/12/2020,Lenowisco,Black or African American,0,0,0
6/12/2020,Arlington,White,1131,171,66
6/12/2020,Hampton,Black or African American,122,27,5
6/12/2020,Alexandria,White,899,79,28
6/12/2020,Hampton,Not Reported,40,0,0
6/12/2020,Mount Rogers,White,429,50,18
6/12/2020,Alexandria,Not Reported,406,18,5
6/12/2020,Chickahominy,Black or African American,86,30,9
6/12/2020,Chesapeake,Black or African American,214,47,5
6/12/2020,Western Tidewater,Not Reported,208,1,1
6/12/2020,Cumberland Plateau,Not Reported,1,0,0
6/12/2020,Alleghany,White,145,22,13
6/12/2020,Prince William,Other,1721,248,11
6/12/2020,Arlington,Not Reported,388,33,7
6/12/2020,West Piedmont,Black or African American,67,16,1
6/12/2020,Peninsula,Other,50,8,1
6/12/2020,Norfolk,Other,58,4,0
6/12/2020,Lord Fairfax,Black or African American,53,4,1
6/12/2020,Mount Rogers,Not Reported,30,0,0
6/12/2020,Central Virginia,Black or African American,22,2,1
6/12/2020,West Piedmont,Other,80,6,1
6/12/2020,Portsmouth,White,69,9,2
6/12/2020,Thomas Jefferson,Not Reported,81,0,0
6/12/2020,Three Rivers,Not Reported,141,4,1
6/12/2020,Virginia Beach,Black or African American,207,21,4
6/12/2020,Prince William,Black or African American,580,107,31
6/12/2020,Loudoun,Not Reported,1725,4,4
6/12/2020,Loudoun,White,794,106,54
6/12/2020,Peninsula,Not Reported,151,2,0
6/12/2020,Pittsylvania-Danville,Black or African American,46,11,0
6/12/2020,Henrico,White,638,78,69
6/12/2020,Richmond,White,253,20,4
6/12/2020,Southside,Black or African American,57,15,6
6/12/2020,Chickahominy,White,240,53,23
6/12/2020,Thomas Jefferson,Other,131,6,2
6/12/2020,Virginia Beach,Other,102,21,2
6/12/2020,Central Shenandoah,Black or African American,88,5,2
6/12/2020,Chesterfield,White,477,56,38
6/12/2020,Central Virginia,White,81,10,3
6/12/2020,Rappahannock,White,528,64,17
6/12/2020,New River,White,98,16,4
6/12/2020,Mount Rogers,Other,40,3,1
6/12/2020,Crater,White,224,20,6
6/12/2020,Alleghany,Not Reported,99,3,0
6/12/2020,Arlington,Other,590,134,24
6/12/2020,Piedmont,White,232,18,3
6/12/2020,Western Tidewater,Other,30,1,1
6/12/2020,Loudoun,Black or African American,108,15,2
6/12/2020,Virginia Beach,White,414,62,21
6/12/2020,Chickahominy,Other,27,7,0
6/12/2020,New River,Black or African American,7,1,0
6/12/2020,Virginia Beach,Not Reported,124,3,0
6/12/2020,Rappahannock Rapidan,Other,91,18,2
6/12/2020,Piedmont,Not Reported,323,8,2
6/12/2020,Portsmouth,Other,29,3,0
6/12/2020,Pittsylvania-Danville,Not Reported,13,4,0
6/12/2020,West Piedmont,Not Reported,45,1,0
6/12/2020,Norfolk,White,166,24,2
6/12/2020,Hampton,White,56,7,0
6/12/2020,Western Tidewater,Black or African American,263,43,20
6/12/2020,Prince William,Not Reported,4061,57,0
6/12/2020,Fairfax,White,3472,466,240
6/12/2020,Lenowisco,Other,1,0,0
6/12/2020,Rappahannock Rapidan,Not Reported,650,22,3
6/12/2020,Three Rivers,Black or African American,170,14,2
6/12/2020,Henrico,Black or African American,659,113,59
6/12/2020,Lenowisco,Not Reported,8,1,1
6/12/2020,Chesapeake,Other,62,7,2
6/12/2020,Crater,Not Reported,387,5,3
6/12/2020,Chickahominy,Not Reported,193,5,2
6/12/2020,Eastern Shore,Black or African American,745,71,24
6/12/2020,Alexandria,Other,501,67,3
6/12/2020,Southside,Not Reported,138,13,8
6/12/2020,Chesapeake,White,286,43,9
6/12/2020,New River,Other,6,1,0
6/12/2020,Norfolk,Black or African American,288,45,5
6/12/2020,Central Shenandoah,Other,254,19,1
6/12/2020,Southside,Other,33,1,3
6/12/2020,Pittsylvania-Danville,Other,2,0,0
6/12/2020,Cumberland Plateau,White,22,2,0
6/12/2020,Rappahannock Rapidan,Black or African American,76,16,4
6/12/2020,Fairfax,Not Reported,3177,101,76
6/12/2020,Chesapeake,Not Reported,74,2,0
6/12/2020,Thomas Jefferson,White,341,34,13
6/12/2020,Richmond,Other,457,64,2
6/12/2020,Peninsula,Black or African American,188,34,10
6/12/2020,Henrico,Other,327,36,7
6/12/2020,Cumberland Plateau,Black or African American,12,0,0
6/12/2020,Loudoun,Other,653,79,10
6/12/2020,Crater,Other,36,1,1
6/12/2020,Arlington,Black or African American,198,59,28
6/12/2020,Alexandria,Black or African American,322,58,12
6/12/2020,Richmond,Black or African American,459,98,20
6/12/2020,Lord Fairfax,Not Reported,291,4,6
6/12/2020,Fairfax,Black or African American,766,157,34
6/12/2020,Thomas Jefferson,Black or African American,127,39,4
6/12/2020,West Piedmont,White,128,9,3
6/12/2020,Rappahannock,Not Reported,733,30,1
6/12/2020,Central Shenandoah,Not Reported,255,8,0
6/12/2020,Peninsula,White,342,76,22
6/12/2020,Rappahannock Rapidan,White,515,43,9
6/12/2020,Prince William,White,1728,313,96
6/12/2020,New River,Not Reported,35,0,0
6/12/2020,Chesterfield,Not Reported,1150,3,6
6/12/2020,Alleghany,Other,5,0,0
6/12/2020,Lenowisco,White,36,15,3
6/12/2020,Western Tidewater,White,184,32,23
6/12/2020,Hampton,Other,16,3,0
6/12/2020,Chesterfield,Black or African American,301,48,11
6/12/2020,Roanoke,Not Reported,117,1,0
6/12/2020,Rappahannock,Black or African American,200,33,3
6/12/2020,Lord Fairfax,White,1075,111,51
6/12/2020,Three Rivers,White,203,21,6
6/12/2020,Central Virginia,Not Reported,153,4,0
6/12/2020,Eastern Shore,Other,51,1,1
6/12/2020,Crater,Black or African American,513,83,11
6/12/2020,Mount Rogers,Black or African American,16,3,1
6/12/2020,Central Shenandoah,White,1159,106,29
6/12/2020,Southside,White,74,15,9
