Event Date,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths,Health Planning Region
6/29/2020,Confirmed,1,0,0,Southwest
6/29/2020,Confirmed,6,0,0,Northern
6/29/2020,Confirmed,3,0,0,Central
6/29/2020,Confirmed,2,0,0,Northwest
6/29/2020,Probable,1,0,0,Northwest
6/29/2020,Probable,1,0,0,Northern
6/28/2020,Confirmed,5,1,1,Northern
6/28/2020,Confirmed,4,2,3,Central
6/28/2020,Confirmed,6,1,0,Northwest
6/28/2020,Confirmed,37,2,0,Eastern
6/28/2020,Confirmed,2,1,0,Southwest
6/28/2020,Probable,1,0,0,Central
6/27/2020,Confirmed,14,0,0,Northwest
6/27/2020,Confirmed,10,1,0,Southwest
6/27/2020,Confirmed,15,3,0,Central
6/27/2020,Confirmed,43,4,0,Eastern
6/27/2020,Confirmed,13,2,1,Northern
6/27/2020,Probable,1,0,0,Northwest
6/27/2020,Probable,1,0,0,Southwest
6/27/2020,Probable,1,0,0,Northern
6/26/2020,Confirmed,47,2,1,Northwest
6/26/2020,Confirmed,27,0,0,Southwest
6/26/2020,Confirmed,10,2,0,Central
6/26/2020,Confirmed,37,2,1,Northern
6/26/2020,Confirmed,66,2,0,Eastern
6/26/2020,Probable,3,0,0,Northern
6/26/2020,Probable,3,0,0,Northwest
6/26/2020,Probable,1,0,0,Southwest
6/25/2020,Confirmed,47,2,0,Eastern
6/25/2020,Confirmed,29,5,0,Southwest
6/25/2020,Confirmed,53,5,0,Northern
6/25/2020,Confirmed,62,4,0,Central
6/25/2020,Confirmed,30,0,4,Northwest
6/25/2020,Probable,3,0,0,Northwest
6/25/2020,Probable,1,0,0,Southwest
6/25/2020,Probable,3,0,0,Northern
6/25/2020,Probable,1,0,0,Central
6/25/2020,Probable,1,0,0,Eastern
6/24/2020,Confirmed,69,1,0,Southwest
6/24/2020,Confirmed,69,4,0,Central
6/24/2020,Confirmed,35,3,1,Northwest
6/24/2020,Confirmed,85,5,2,Eastern
6/24/2020,Confirmed,75,1,1,Northern
6/24/2020,Probable,7,0,0,Northern
6/24/2020,Probable,2,0,0,Southwest
6/24/2020,Probable,1,0,0,Eastern
6/24/2020,Probable,5,0,0,Northwest
6/23/2020,Confirmed,66,3,1,Southwest
6/23/2020,Confirmed,117,7,2,Northern
6/23/2020,Confirmed,95,5,1,Eastern
6/23/2020,Confirmed,38,2,1,Northwest
6/23/2020,Confirmed,124,5,0,Central
6/23/2020,Probable,3,0,0,Northwest
6/23/2020,Probable,3,0,0,Southwest
6/23/2020,Probable,9,0,0,Northern
6/23/2020,Probable,1,0,0,Central
6/23/2020,Probable,3,0,0,Eastern
6/22/2020,Confirmed,103,4,0,Central
6/22/2020,Confirmed,86,3,0,Southwest
6/22/2020,Confirmed,63,6,1,Northwest
6/22/2020,Confirmed,193,6,1,Northern
6/22/2020,Confirmed,116,4,0,Eastern
6/22/2020,Probable,2,0,0,Eastern
6/22/2020,Probable,2,0,0,Southwest
6/22/2020,Probable,10,0,0,Northwest
6/22/2020,Probable,2,0,0,Northern
6/21/2020,Confirmed,46,4,0,Eastern
6/21/2020,Confirmed,52,6,0,Central
6/21/2020,Confirmed,54,2,1,Southwest
6/21/2020,Confirmed,106,3,3,Northern
6/21/2020,Confirmed,37,6,4,Northwest
6/21/2020,Probable,2,0,0,Northern
6/21/2020,Probable,5,0,0,Eastern
