,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-07-24T00:00:00.000,Alexandria,0-9,150,2,0
1,2020-07-24T00:00:00.000,Alexandria,10-19,198,5,0
2,2020-07-24T00:00:00.000,Alexandria,20-29,444,11,1
3,2020-07-24T00:00:00.000,Alexandria,30-39,614,32,0
4,2020-07-24T00:00:00.000,Alexandria,40-49,489,42,0
5,2020-07-24T00:00:00.000,Alexandria,50-59,338,53,10
6,2020-07-24T00:00:00.000,Alexandria,60-69,217,48,2
7,2020-07-24T00:00:00.000,Alexandria,70-79,106,40,18
8,2020-07-24T00:00:00.000,Alexandria,80+,95,29,25
9,2020-07-24T00:00:00.000,Alexandria,Missing,11,0,0
10,2020-07-24T00:00:00.000,Alleghany,0-9,17,0,0
11,2020-07-24T00:00:00.000,Alleghany,10-19,100,0,0
12,2020-07-24T00:00:00.000,Alleghany,20-29,135,1,0
13,2020-07-24T00:00:00.000,Alleghany,30-39,102,2,0
14,2020-07-24T00:00:00.000,Alleghany,40-49,109,2,0
15,2020-07-24T00:00:00.000,Alleghany,50-59,100,6,1
16,2020-07-24T00:00:00.000,Alleghany,60-69,75,8,1
17,2020-07-24T00:00:00.000,Alleghany,70-79,71,8,7
18,2020-07-24T00:00:00.000,Alleghany,80+,44,10,6
19,2020-07-24T00:00:00.000,Alleghany,Missing,2,0,0
20,2020-07-24T00:00:00.000,Arlington,0-9,59,2,0
21,2020-07-24T00:00:00.000,Arlington,10-19,131,5,0
22,2020-07-24T00:00:00.000,Arlington,20-29,535,22,0
23,2020-07-24T00:00:00.000,Arlington,30-39,505,43,0
24,2020-07-24T00:00:00.000,Arlington,40-49,463,51,8
25,2020-07-24T00:00:00.000,Arlington,50-59,402,68,6
26,2020-07-24T00:00:00.000,Arlington,60-69,296,82,19
27,2020-07-24T00:00:00.000,Arlington,70-79,178,73,33
28,2020-07-24T00:00:00.000,Arlington,80+,203,84,69
29,2020-07-24T00:00:00.000,Arlington,Missing,11,1,0
30,2020-07-24T00:00:00.000,Central Shenandoah,0-9,69,0,0
31,2020-07-24T00:00:00.000,Central Shenandoah,10-19,148,1,0
32,2020-07-24T00:00:00.000,Central Shenandoah,20-29,486,10,0
33,2020-07-24T00:00:00.000,Central Shenandoah,30-39,373,8,0
34,2020-07-24T00:00:00.000,Central Shenandoah,40-49,411,16,0
35,2020-07-24T00:00:00.000,Central Shenandoah,50-59,428,35,4
36,2020-07-24T00:00:00.000,Central Shenandoah,60-69,306,47,14
37,2020-07-24T00:00:00.000,Central Shenandoah,70-79,155,48,13
38,2020-07-24T00:00:00.000,Central Shenandoah,80+,128,34,19
39,2020-07-24T00:00:00.000,Central Shenandoah,Missing,1,0,0
40,2020-07-24T00:00:00.000,Central Virginia,0-9,15,0,0
41,2020-07-24T00:00:00.000,Central Virginia,10-19,88,1,0
42,2020-07-24T00:00:00.000,Central Virginia,20-29,174,2,0
43,2020-07-24T00:00:00.000,Central Virginia,30-39,104,1,0
44,2020-07-24T00:00:00.000,Central Virginia,40-49,106,1,0
45,2020-07-24T00:00:00.000,Central Virginia,50-59,109,2,2
46,2020-07-24T00:00:00.000,Central Virginia,60-69,72,5,2
47,2020-07-24T00:00:00.000,Central Virginia,70-79,40,4,2
48,2020-07-24T00:00:00.000,Central Virginia,80+,29,3,0
49,2020-07-24T00:00:00.000,Central Virginia,Missing,1,0,0
50,2020-07-24T00:00:00.000,Chesapeake,0-9,60,1,0
51,2020-07-24T00:00:00.000,Chesapeake,10-19,124,1,0
52,2020-07-24T00:00:00.000,Chesapeake,20-29,396,4,0
53,2020-07-24T00:00:00.000,Chesapeake,30-39,392,14,0
54,2020-07-24T00:00:00.000,Chesapeake,40-49,288,31,1
55,2020-07-24T00:00:00.000,Chesapeake,50-59,270,32,1
56,2020-07-24T00:00:00.000,Chesapeake,60-69,180,35,5
57,2020-07-24T00:00:00.000,Chesapeake,70-79,109,32,3
58,2020-07-24T00:00:00.000,Chesapeake,80+,91,29,14
59,2020-07-24T00:00:00.000,Chesapeake,Missing,43,1,0
60,2020-07-24T00:00:00.000,Chesterfield,0-9,150,1,0
61,2020-07-24T00:00:00.000,Chesterfield,10-19,377,0,0
62,2020-07-24T00:00:00.000,Chesterfield,20-29,697,10,0
63,2020-07-24T00:00:00.000,Chesterfield,30-39,751,14,0
64,2020-07-24T00:00:00.000,Chesterfield,40-49,687,30,3
65,2020-07-24T00:00:00.000,Chesterfield,50-59,523,45,4
66,2020-07-24T00:00:00.000,Chesterfield,60-69,349,58,13
67,2020-07-24T00:00:00.000,Chesterfield,70-79,153,32,22
68,2020-07-24T00:00:00.000,Chesterfield,80+,159,36,47
69,2020-07-24T00:00:00.000,Chesterfield,Missing,108,1,0
70,2020-07-24T00:00:00.000,Chickahominy,0-9,20,0,0
71,2020-07-24T00:00:00.000,Chickahominy,10-19,65,0,0
72,2020-07-24T00:00:00.000,Chickahominy,20-29,128,1,0
73,2020-07-24T00:00:00.000,Chickahominy,30-39,113,3,0
74,2020-07-24T00:00:00.000,Chickahominy,40-49,110,13,1
75,2020-07-24T00:00:00.000,Chickahominy,50-59,140,23,1
76,2020-07-24T00:00:00.000,Chickahominy,60-69,92,22,6
77,2020-07-24T00:00:00.000,Chickahominy,70-79,70,21,6
78,2020-07-24T00:00:00.000,Chickahominy,80+,85,35,26
79,2020-07-24T00:00:00.000,Chickahominy,Missing,15,0,0
80,2020-07-24T00:00:00.000,Crater,0-9,33,1,0
81,2020-07-24T00:00:00.000,Crater,10-19,88,0,0
82,2020-07-24T00:00:00.000,Crater,20-29,303,9,0
83,2020-07-24T00:00:00.000,Crater,30-39,330,9,0
84,2020-07-24T00:00:00.000,Crater,40-49,272,18,1
85,2020-07-24T00:00:00.000,Crater,50-59,330,36,3
86,2020-07-24T00:00:00.000,Crater,60-69,274,54,16
87,2020-07-24T00:00:00.000,Crater,70-79,165,40,18
88,2020-07-24T00:00:00.000,Crater,80+,128,27,12
89,2020-07-24T00:00:00.000,Crater,Missing,18,0,0
90,2020-07-24T00:00:00.000,Cumberland Plateau,0-9,4,0,0
91,2020-07-24T00:00:00.000,Cumberland Plateau,10-19,28,0,0
92,2020-07-24T00:00:00.000,Cumberland Plateau,20-29,24,0,0
93,2020-07-24T00:00:00.000,Cumberland Plateau,30-39,25,1,0
94,2020-07-24T00:00:00.000,Cumberland Plateau,40-49,28,1,0
95,2020-07-24T00:00:00.000,Cumberland Plateau,50-59,28,2,0
96,2020-07-24T00:00:00.000,Cumberland Plateau,60-69,16,2,0
97,2020-07-24T00:00:00.000,Cumberland Plateau,70-79,10,1,0
98,2020-07-24T00:00:00.000,Cumberland Plateau,80+,6,3,1
99,2020-07-24T00:00:00.000,Cumberland Plateau,Missing,0,0,0
100,2020-07-24T00:00:00.000,Eastern Shore,0-9,21,2,0
101,2020-07-24T00:00:00.000,Eastern Shore,10-19,62,1,0
102,2020-07-24T00:00:00.000,Eastern Shore,20-29,201,6,0
103,2020-07-24T00:00:00.000,Eastern Shore,30-39,245,10,0
104,2020-07-24T00:00:00.000,Eastern Shore,40-49,255,13,2
105,2020-07-24T00:00:00.000,Eastern Shore,50-59,279,20,5
106,2020-07-24T00:00:00.000,Eastern Shore,60-69,181,29,8
107,2020-07-24T00:00:00.000,Eastern Shore,70-79,51,18,9
108,2020-07-24T00:00:00.000,Eastern Shore,80+,50,22,19
109,2020-07-24T00:00:00.000,Eastern Shore,Missing,6,0,0
110,2020-07-24T00:00:00.000,Fairfax,0-9,533,21,0
111,2020-07-24T00:00:00.000,Fairfax,10-19,994,31,0
112,2020-07-24T00:00:00.000,Fairfax,20-29,2490,95,3
113,2020-07-24T00:00:00.000,Fairfax,30-39,2933,203,6
114,2020-07-24T00:00:00.000,Fairfax,40-49,2825,286,10
115,2020-07-24T00:00:00.000,Fairfax,50-59,2394,326,32
116,2020-07-24T00:00:00.000,Fairfax,60-69,1504,337,64
117,2020-07-24T00:00:00.000,Fairfax,70-79,701,248,115
118,2020-07-24T00:00:00.000,Fairfax,80+,826,305,296
119,2020-07-24T00:00:00.000,Fairfax,Missing,159,5,0
120,2020-07-24T00:00:00.000,Hampton,0-9,21,0,0
121,2020-07-24T00:00:00.000,Hampton,10-19,55,0,0
122,2020-07-24T00:00:00.000,Hampton,20-29,220,3,0
123,2020-07-24T00:00:00.000,Hampton,30-39,152,3,0
124,2020-07-24T00:00:00.000,Hampton,40-49,119,6,0
125,2020-07-24T00:00:00.000,Hampton,50-59,100,11,1
126,2020-07-24T00:00:00.000,Hampton,60-69,74,11,2
127,2020-07-24T00:00:00.000,Hampton,70-79,41,12,0
128,2020-07-24T00:00:00.000,Hampton,80+,19,2,1
