,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-08-10T00:00:00.000,Alexandria,0-9,165,2,0
1,2020-08-10T00:00:00.000,Alexandria,10-19,215,5,0
2,2020-08-10T00:00:00.000,Alexandria,20-29,531,11,1
3,2020-08-10T00:00:00.000,Alexandria,30-39,686,34,0
4,2020-08-10T00:00:00.000,Alexandria,40-49,550,45,0
5,2020-08-10T00:00:00.000,Alexandria,50-59,371,55,11
6,2020-08-10T00:00:00.000,Alexandria,60-69,238,55,3
7,2020-08-10T00:00:00.000,Alexandria,70-79,109,41,18
8,2020-08-10T00:00:00.000,Alexandria,80+,100,30,27
9,2020-08-10T00:00:00.000,Alexandria,Missing,11,0,0
10,2020-08-10T00:00:00.000,Alleghany,0-9,30,0,0
11,2020-08-10T00:00:00.000,Alleghany,10-19,120,0,0
12,2020-08-10T00:00:00.000,Alleghany,20-29,170,1,0
13,2020-08-10T00:00:00.000,Alleghany,30-39,132,3,0
14,2020-08-10T00:00:00.000,Alleghany,40-49,135,3,0
15,2020-08-10T00:00:00.000,Alleghany,50-59,145,9,1
16,2020-08-10T00:00:00.000,Alleghany,60-69,94,10,1
17,2020-08-10T00:00:00.000,Alleghany,70-79,88,9,10
18,2020-08-10T00:00:00.000,Alleghany,80+,48,12,6
19,2020-08-10T00:00:00.000,Alleghany,Missing,2,0,0
20,2020-08-10T00:00:00.000,Arlington,0-9,69,2,0
21,2020-08-10T00:00:00.000,Arlington,10-19,159,5,0
22,2020-08-10T00:00:00.000,Arlington,20-29,644,22,0
23,2020-08-10T00:00:00.000,Arlington,30-39,576,43,0
24,2020-08-10T00:00:00.000,Arlington,40-49,498,53,8
25,2020-08-10T00:00:00.000,Arlington,50-59,429,70,6
26,2020-08-10T00:00:00.000,Arlington,60-69,313,83,19
27,2020-08-10T00:00:00.000,Arlington,70-79,184,73,32
28,2020-08-10T00:00:00.000,Arlington,80+,205,85,70
29,2020-08-10T00:00:00.000,Arlington,Missing,14,1,0
30,2020-08-10T00:00:00.000,Central Shenandoah,0-9,81,0,0
31,2020-08-10T00:00:00.000,Central Shenandoah,10-19,165,1,0
32,2020-08-10T00:00:00.000,Central Shenandoah,20-29,555,11,0
33,2020-08-10T00:00:00.000,Central Shenandoah,30-39,415,8,0
34,2020-08-10T00:00:00.000,Central Shenandoah,40-49,453,16,0
35,2020-08-10T00:00:00.000,Central Shenandoah,50-59,466,39,5
36,2020-08-10T00:00:00.000,Central Shenandoah,60-69,332,51,15
37,2020-08-10T00:00:00.000,Central Shenandoah,70-79,175,52,17
38,2020-08-10T00:00:00.000,Central Shenandoah,80+,150,37,22
39,2020-08-10T00:00:00.000,Central Shenandoah,Missing,1,0,0
40,2020-08-10T00:00:00.000,Central Virginia,0-9,40,0,0
41,2020-08-10T00:00:00.000,Central Virginia,10-19,156,2,0
42,2020-08-10T00:00:00.000,Central Virginia,20-29,350,3,0
43,2020-08-10T00:00:00.000,Central Virginia,30-39,205,8,0
44,2020-08-10T00:00:00.000,Central Virginia,40-49,192,3,0
45,2020-08-10T00:00:00.000,Central Virginia,50-59,224,6,4
46,2020-08-10T00:00:00.000,Central Virginia,60-69,144,18,2
47,2020-08-10T00:00:00.000,Central Virginia,70-79,89,13,3
48,2020-08-10T00:00:00.000,Central Virginia,80+,63,9,5
49,2020-08-10T00:00:00.000,Central Virginia,Missing,1,0,0
50,2020-08-10T00:00:00.000,Chesapeake,0-9,91,1,0
51,2020-08-10T00:00:00.000,Chesapeake,10-19,221,2,0
52,2020-08-10T00:00:00.000,Chesapeake,20-29,585,5,0
53,2020-08-10T00:00:00.000,Chesapeake,30-39,564,17,0
54,2020-08-10T00:00:00.000,Chesapeake,40-49,448,33,1
55,2020-08-10T00:00:00.000,Chesapeake,50-59,414,42,1
56,2020-08-10T00:00:00.000,Chesapeake,60-69,302,47,8
57,2020-08-10T00:00:00.000,Chesapeake,70-79,150,44,4
58,2020-08-10T00:00:00.000,Chesapeake,80+,134,38,23
59,2020-08-10T00:00:00.000,Chesapeake,Missing,40,1,0
60,2020-08-10T00:00:00.000,Chesterfield,0-9,183,2,0
61,2020-08-10T00:00:00.000,Chesterfield,10-19,458,1,0
62,2020-08-10T00:00:00.000,Chesterfield,20-29,864,12,2
63,2020-08-10T00:00:00.000,Chesterfield,30-39,927,19,2
64,2020-08-10T00:00:00.000,Chesterfield,40-49,796,32,3
