Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
6/21/2020,Virginia Beach,0-9,20,0,0
6/21/2020,Lenowisco,50-59,13,5,0
6/21/2020,Chesapeake,70-79,55,22,2
6/21/2020,Western Tidewater,80+,128,22,21
6/21/2020,Thomas Jefferson,10-19,44,1,0
6/21/2020,Richmond,40-49,344,26,1
6/21/2020,Lord Fairfax,50-59,299,22,2
6/21/2020,Lord Fairfax,10-19,117,1,0
6/21/2020,Rappahannock Rapidan,10-19,124,3,0
6/21/2020,Crater,50-59,228,24,2
6/21/2020,Arlington,Missing,10,1,0
6/21/2020,Roanoke,50-59,33,1,0
6/21/2020,Rappahannock,10-19,194,2,0
6/21/2020,Roanoke,10-19,21,0,0
6/21/2020,Eastern Shore,Missing,6,0,0
6/21/2020,Mount Rogers,Missing,1,0,0
6/21/2020,Prince William,60-69,716,153,33
6/21/2020,Alleghany,70-79,32,6,7
6/21/2020,Crater,20-29,206,7,0
6/21/2020,Loudoun,60-69,235,43,4
6/21/2020,Fairfax,0-9,435,17,0
6/21/2020,Roanoke,Missing,3,0,0
6/21/2020,Alexandria,20-29,334,7,1
6/21/2020,Portsmouth,70-79,28,9,4
6/21/2020,Alleghany,30-39,36,2,0
6/21/2020,Prince William,20-29,1527,47,0
6/21/2020,Southside,70-79,52,9,11
6/21/2020,Piedmont,Missing,1,0,0
6/21/2020,Rappahannock,0-9,97,1,0
6/21/2020,Henrico,30-39,405,13,0
6/21/2020,Prince William,10-19,674,8,0
6/21/2020,Chickahominy,10-19,30,0,0
6/21/2020,Lord Fairfax,0-9,55,1,0
6/21/2020,Central Virginia,Missing,1,0,0
6/21/2020,Fairfax,60-69,1397,293,49
6/21/2020,Hampton,20-29,50,2,0
6/21/2020,Central Shenandoah,40-49,307,10,0
6/21/2020,Pittsylvania-Danville,0-9,3,0,0
6/21/2020,Crater,30-39,235,3,0
6/21/2020,Virginia Beach,70-79,67,26,7
6/21/2020,Virginia Beach,30-39,141,10,0
