Event Date,Health Planning Region,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
7/15/2020,Central,Confirmed,3,0,0
7/15/2020,Eastern,Confirmed,4,0,0
7/15/2020,Northern,Confirmed,1,0,0
7/15/2020,Northern,Probable,1,0,0
7/15/2020,Northwest,Confirmed,3,0,0
7/15/2020,Southwest,Confirmed,3,0,0
7/14/2020,Central,Confirmed,16,3,0
7/14/2020,Central,Probable,1,0,0
7/14/2020,Eastern,Confirmed,22,1,4
7/14/2020,Northern,Confirmed,5,1,1
7/14/2020,Northern,Probable,8,0,0
7/14/2020,Northwest,Confirmed,11,2,0
7/14/2020,Northwest,Probable,2,0,0
7/14/2020,Southwest,Confirmed,5,2,1
7/14/2020,Southwest,Probable,3,0,0
7/13/2020,Central,Confirmed,36,3,0
7/13/2020,Eastern,Confirmed,73,1,3
7/13/2020,Eastern,Probable,2,0,0
7/13/2020,Northern,Confirmed,23,5,2
7/13/2020,Northern,Probable,5,0,0
7/13/2020,Northwest,Confirmed,18,2,1
7/13/2020,Northwest,Probable,5,0,0
7/13/2020,Southwest,Confirmed,11,7,0
7/12/2020,Central,Confirmed,24,3,1
7/12/2020,Eastern,Confirmed,99,5,0
7/12/2020,Eastern,Probable,1,0,0
7/12/2020,Northern,Confirmed,14,3,0
7/12/2020,Northern,Probable,6,0,0
7/12/2020,Northwest,Confirmed,30,4,1
7/12/2020,Northwest,Probable,2,0,0
7/12/2020,Southwest,Confirmed,16,6,0
7/12/2020,Southwest,Probable,1,1,0
7/11/2020,Central,Confirmed,31,3,0
7/11/2020,Eastern,Confirmed,114,2,5
7/11/2020,Northern,Confirmed,37,4,2
7/11/2020,Northern,Probable,4,0,0
7/11/2020,Northwest,Confirmed,23,8,0
7/11/2020,Northwest,Probable,7,0,0
7/11/2020,Southwest,Confirmed,12,4,1
7/11/2020,Southwest,Probable,2,0,0
7/10/2020,Central,Confirmed,60,8,0
7/10/2020,Eastern,Confirmed,241,3,0
7/10/2020,Eastern,Probable,1,0,0
7/10/2020,Northern,Confirmed,48,4,0
7/10/2020,Northern,Probable,7,0,0
7/10/2020,Northwest,Confirmed,59,5,3
7/10/2020,Northwest,Probable,9,0,0
7/10/2020,Southwest,Confirmed,37,2,0
7/10/2020,Southwest,Probable,2,0,0
7/9/2020,Central,Confirmed,86,4,0
7/9/2020,Eastern,Confirmed,158,3,0
7/9/2020,Eastern,Probable,1,0,0
7/9/2020,Northern,Confirmed,74,4,2
7/9/2020,Northern,Probable,4,0,0
7/9/2020,Northwest,Confirmed,73,3,0
7/9/2020,Northwest,Probable,21,0,0
7/9/2020,Southwest,Confirmed,49,4,0
7/9/2020,Southwest,Probable,1,0,0
7/8/2020,Central,Confirmed,123,5,0
7/8/2020,Eastern,Confirmed,389,9,3
7/8/2020,Eastern,Probable,1,0,0
7/8/2020,Northern,Confirmed,128,9,2
7/8/2020,Northern,Probable,11,0,0
7/8/2020,Northwest,Confirmed,51,5,1
7/8/2020,Northwest,Probable,10,0,0
7/8/2020,Southwest,Confirmed,50,3,0
