,report_date,health_district,sex,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-08-25T00:00:00.000,Alexandria,Female,1713,134,33
1,2020-08-25T00:00:00.000,Alexandria,Male,1585,160,28
2,2020-08-25T00:00:00.000,Alexandria,Not Reported,11,0,0
3,2020-08-25T00:00:00.000,Alleghany,Female,568,24,11
4,2020-08-25T00:00:00.000,Alleghany,Male,512,34,8
5,2020-08-25T00:00:00.000,Alleghany,Not Reported,6,0,0
6,2020-08-25T00:00:00.000,Arlington,Female,1691,196,66
7,2020-08-25T00:00:00.000,Arlington,Male,1717,256,72
8,2020-08-25T00:00:00.000,Arlington,Not Reported,7,0,0
9,2020-08-25T00:00:00.000,Central Shenandoah,Female,1652,120,30
10,2020-08-25T00:00:00.000,Central Shenandoah,Male,1439,114,31
11,2020-08-25T00:00:00.000,Central Shenandoah,Not Reported,0,0,0
12,2020-08-25T00:00:00.000,Central Virginia,Female,1090,29,7
13,2020-08-25T00:00:00.000,Central Virginia,Male,982,42,11
14,2020-08-25T00:00:00.000,Central Virginia,Not Reported,9,0,0
15,2020-08-25T00:00:00.000,Chesapeake,Female,1976,156,18
16,2020-08-25T00:00:00.000,Chesapeake,Male,1602,147,25
17,2020-08-25T00:00:00.000,Chesapeake,Not Reported,4,0,0
18,2020-08-25T00:00:00.000,Chesterfield,Female,2635,139,50
19,2020-08-25T00:00:00.000,Chesterfield,Male,2523,150,52
20,2020-08-25T00:00:00.000,Chesterfield,Not Reported,128,0,1
21,2020-08-25T00:00:00.000,Chickahominy,Female,630,70,22
22,2020-08-25T00:00:00.000,Chickahominy,Male,500,69,25
23,2020-08-25T00:00:00.000,Chickahominy,Not Reported,6,0,0
24,2020-08-25T00:00:00.000,Crater,Female,1284,131,37
25,2020-08-25T00:00:00.000,Crater,Male,1618,110,34
26,2020-08-25T00:00:00.000,Crater,Not Reported,27,1,0
27,2020-08-25T00:00:00.000,Cumberland Plateau,Female,264,17,3
28,2020-08-25T00:00:00.000,Cumberland Plateau,Male,235,21,3
29,2020-08-25T00:00:00.000,Cumberland Plateau,Not Reported,0,0,0
30,2020-08-25T00:00:00.000,Eastern Shore,Female,723,69,26
31,2020-08-25T00:00:00.000,Eastern Shore,Male,706,68,21
32,2020-08-25T00:00:00.000,Eastern Shore,Not Reported,9,0,0
33,2020-08-25T00:00:00.000,Fairfax,Female,9131,866,273
