,report_date,fips,locality,vdh_health_district,total_cases,hospitalizations,deaths
0,2020-08-10T00:00:00.000,51001,Accomack,Eastern Shore,1102,80,16
1,2020-08-10T00:00:00.000,51003,Albemarle,Thomas Jefferson,842,56,16
2,2020-08-10T00:00:00.000,51005,Alleghany,Alleghany,62,8,4
3,2020-08-10T00:00:00.000,51007,Amelia,Piedmont,79,13,2
4,2020-08-10T00:00:00.000,51009,Amherst,Central Virginia,176,6,0
5,2020-08-10T00:00:00.000,51011,Appomattox,Central Virginia,87,7,0
6,2020-08-10T00:00:00.000,51013,Arlington,Arlington,3091,437,135
7,2020-08-10T00:00:00.000,51015,Augusta,Central Shenandoah,280,10,4
8,2020-08-10T00:00:00.000,51017,Bath,Central Shenandoah,4,0,0
9,2020-08-10T00:00:00.000,51019,Bedford,Central Virginia,361,18,7
10,2020-08-10T00:00:00.000,51021,Bland,Mount Rogers,19,0,0
11,2020-08-10T00:00:00.000,51023,Botetourt,Alleghany,215,16,7
12,2020-08-10T00:00:00.000,51025,Brunswick,Southside,230,25,2
13,2020-08-10T00:00:00.000,51027,Buchanan,Cumberland Plateau,80,3,0
14,2020-08-10T00:00:00.000,51029,Buckingham,Piedmont,605,23,8
15,2020-08-10T00:00:00.000,51031,Campbell,Central Virginia,213,7,2
16,2020-08-10T00:00:00.000,51033,Caroline,Rappahannock,214,23,5
17,2020-08-10T00:00:00.000,51035,Carroll,Mount Rogers,334,28,13
18,2020-08-10T00:00:00.000,51036,Charles City,Chickahominy,52,16,5
19,2020-08-10T00:00:00.000,51037,Charlotte,Piedmont,53,4,0
20,2020-08-10T00:00:00.000,51041,Chesterfield,Chesterfield,4370,229,80
21,2020-08-10T00:00:00.000,51043,Clarke,Lord Fairfax,71,7,0
22,2020-08-10T00:00:00.000,51045,Craig,Alleghany,17,1,0
23,2020-08-10T00:00:00.000,51047,Culpeper,Rappahannock Rapidan,1008,77,12
24,2020-08-10T00:00:00.000,51049,Cumberland,Piedmont,76,8,0
25,2020-08-10T00:00:00.000,51051,Dickenson,Cumberland Plateau,43,4,1
26,2020-08-10T00:00:00.000,51053,Dinwiddie,Crater,221,31,7
27,2020-08-10T00:00:00.000,51057,Essex,Three Rivers,103,7,1
28,2020-08-10T00:00:00.000,51059,Fairfax,Fairfax,16445,1939,529
29,2020-08-10T00:00:00.000,51061,Fauquier,Rappahannock Rapidan,620,35,9
30,2020-08-10T00:00:00.000,51063,Floyd,New River,75,3,2
31,2020-08-10T00:00:00.000,51065,Fluvanna,Thomas Jefferson,193,33,9
32,2020-08-10T00:00:00.000,51067,Franklin County,West Piedmont,175,7,1
33,2020-08-10T00:00:00.000,51069,Frederick,Lord Fairfax,681,51,9
34,2020-08-10T00:00:00.000,51071,Giles,New River,24,2,0
35,2020-08-10T00:00:00.000,51073,Gloucester,Three Rivers,161,13,2
36,2020-08-10T00:00:00.000,51075,Goochland,Chickahominy,164,25,7
37,2020-08-10T00:00:00.000,51077,Grayson,Mount Rogers,157,12,5
38,2020-08-10T00:00:00.000,51079,Greene,Thomas Jefferson,166,8,2
39,2020-08-10T00:00:00.000,51081,Greensville,Crater,495,27,11
40,2020-08-10T00:00:00.000,51083,Halifax,Southside,156,5,1
41,2020-08-10T00:00:00.000,51085,Hanover,Chickahominy,653,81,32
42,2020-08-10T00:00:00.000,51087,Henrico,Henrico,3904,336,185
43,2020-08-10T00:00:00.000,51089,Henry,West Piedmont,591,66,7
44,2020-08-10T00:00:00.000,51091,Highland,Central Shenandoah,6,0,0
45,2020-08-10T00:00:00.000,51093,Isle of Wight,Western Tidewater,387,20,9
46,2020-08-10T00:00:00.000,51095,James City,Peninsula,617,59,16
47,2020-08-10T00:00:00.000,51097,King and Queen,Three Rivers,42,4,1
48,2020-08-10T00:00:00.000,51099,King George,Rappahannock,145,18,4
49,2020-08-10T00:00:00.000,51101,King William,Three Rivers,90,7,2
50,2020-08-10T00:00:00.000,51103,Lancaster,Three Rivers,40,2,0
51,2020-08-10T00:00:00.000,51105,Lee,Lenowisco,121,9,1
52,2020-08-10T00:00:00.000,51107,Loudoun,Loudoun,5306,349,115
53,2020-08-10T00:00:00.000,51109,Louisa,Thomas Jefferson,183,22,2
54,2020-08-10T00:00:00.000,51111,Lunenburg,Piedmont,62,4,1
55,2020-08-10T00:00:00.000,51113,Madison,Rappahannock Rapidan,69,5,1
56,2020-08-10T00:00:00.000,51115,Mathews,Three Rivers,18,2,0
57,2020-08-10T00:00:00.000,51117,Mecklenburg,Southside,446,38,32
58,2020-08-10T00:00:00.000,51119,Middlesex,Three Rivers,42,3,1
59,2020-08-10T00:00:00.000,51121,Montgomery,New River,305,16,3
60,2020-08-10T00:00:00.000,51125,Nelson,Thomas Jefferson,49,1,0
61,2020-08-10T00:00:00.000,51127,New Kent,Chickahominy,129,11,1
62,2020-08-10T00:00:00.000,51131,Northampton,Eastern Shore,296,48,29
63,2020-08-10T00:00:00.000,51133,Northumberland,Three Rivers,74,3,2
64,2020-08-10T00:00:00.000,51135,Nottoway,Piedmont,182,43,13
65,2020-08-10T00:00:00.000,51137,Orange,Rappahannock Rapidan,231,17,3
