,report_date,fips,locality,vdh_health_district,total_cases,hospitalizations,deaths
0,2020-08-12T00:00:00.000,51001,Accomack,Eastern Shore,1108,82,17
1,2020-08-12T00:00:00.000,51003,Albemarle,Thomas Jefferson,856,56,16
2,2020-08-12T00:00:00.000,51005,Alleghany,Alleghany,62,8,4
3,2020-08-12T00:00:00.000,51007,Amelia,Piedmont,82,13,2
4,2020-08-12T00:00:00.000,51009,Amherst,Central Virginia,184,8,1
5,2020-08-12T00:00:00.000,51011,Appomattox,Central Virginia,89,7,0
6,2020-08-12T00:00:00.000,51013,Arlington,Arlington,3118,437,135
7,2020-08-12T00:00:00.000,51015,Augusta,Central Shenandoah,287,11,4
8,2020-08-12T00:00:00.000,51017,Bath,Central Shenandoah,4,0,0
9,2020-08-12T00:00:00.000,51019,Bedford,Central Virginia,370,19,8
10,2020-08-12T00:00:00.000,51021,Bland,Mount Rogers,25,1,0
11,2020-08-12T00:00:00.000,51023,Botetourt,Alleghany,216,16,7
12,2020-08-12T00:00:00.000,51025,Brunswick,Southside,239,25,2
13,2020-08-12T00:00:00.000,51027,Buchanan,Cumberland Plateau,80,4,1
14,2020-08-12T00:00:00.000,51029,Buckingham,Piedmont,611,23,8
15,2020-08-12T00:00:00.000,51031,Campbell,Central Virginia,216,7,2
16,2020-08-12T00:00:00.000,51033,Caroline,Rappahannock,218,23,5
17,2020-08-12T00:00:00.000,51035,Carroll,Mount Rogers,333,28,14
18,2020-08-12T00:00:00.000,51036,Charles City,Chickahominy,53,16,5
19,2020-08-12T00:00:00.000,51037,Charlotte,Piedmont,55,4,0
20,2020-08-12T00:00:00.000,51041,Chesterfield,Chesterfield,4475,234,80
21,2020-08-12T00:00:00.000,51043,Clarke,Lord Fairfax,72,8,0
22,2020-08-12T00:00:00.000,51045,Craig,Alleghany,17,1,0
23,2020-08-12T00:00:00.000,51047,Culpeper,Rappahannock Rapidan,1012,78,12
24,2020-08-12T00:00:00.000,51049,Cumberland,Piedmont,77,8,0
25,2020-08-12T00:00:00.000,51051,Dickenson,Cumberland Plateau,49,4,1
26,2020-08-12T00:00:00.000,51053,Dinwiddie,Crater,223,32,7
27,2020-08-12T00:00:00.000,51057,Essex,Three Rivers,105,7,1
28,2020-08-12T00:00:00.000,51059,Fairfax,Fairfax,16642,1953,529
29,2020-08-12T00:00:00.000,51061,Fauquier,Rappahannock Rapidan,623,35,9
30,2020-08-12T00:00:00.000,51063,Floyd,New River,90,3,2
31,2020-08-12T00:00:00.000,51065,Fluvanna,Thomas Jefferson,196,33,9
32,2020-08-12T00:00:00.000,51067,Franklin County,West Piedmont,176,7,1
33,2020-08-12T00:00:00.000,51069,Frederick,Lord Fairfax,686,52,9
34,2020-08-12T00:00:00.000,51071,Giles,New River,27,2,0
35,2020-08-12T00:00:00.000,51073,Gloucester,Three Rivers,166,13,2
36,2020-08-12T00:00:00.000,51075,Goochland,Chickahominy,167,25,7
37,2020-08-12T00:00:00.000,51077,Grayson,Mount Rogers,156,12,5
38,2020-08-12T00:00:00.000,51079,Greene,Thomas Jefferson,169,8,2
39,2020-08-12T00:00:00.000,51081,Greensville,Crater,529,27,11
40,2020-08-12T00:00:00.000,51083,Halifax,Southside,159,6,2
41,2020-08-12T00:00:00.000,51085,Hanover,Chickahominy,660,81,33
42,2020-08-12T00:00:00.000,51087,Henrico,Henrico,3968,344,186
43,2020-08-12T00:00:00.000,51089,Henry,West Piedmont,611,69,9
44,2020-08-12T00:00:00.000,51091,Highland,Central Shenandoah,6,0,0
45,2020-08-12T00:00:00.000,51093,Isle of Wight,Western Tidewater,401,20,9
46,2020-08-12T00:00:00.000,51095,James City,Peninsula,621,59,17
47,2020-08-12T00:00:00.000,51097,King and Queen,Three Rivers,42,4,1
48,2020-08-12T00:00:00.000,51099,King George,Rappahannock,153,18,4
49,2020-08-12T00:00:00.000,51101,King William,Three Rivers,91,7,2
