Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
7/3/2020,Norfolk,0-9,40,1,0
7/3/2020,Cumberland Plateau,40-49,14,0,0
7/3/2020,Eastern Shore,10-19,57,1,0
7/3/2020,Mount Rogers,10-19,56,0,0
7/3/2020,Rappahannock Rapidan,0-9,70,1,0
7/3/2020,Three Rivers,0-9,9,1,0
7/3/2020,Henrico,40-49,384,26,2
7/3/2020,Alexandria,50-59,303,49,10
7/3/2020,Arlington,0-9,44,2,0
7/3/2020,Chickahominy,Missing,12,0,0
7/3/2020,New River,20-29,63,0,0
7/3/2020,Virginia Beach,20-29,299,4,0
7/3/2020,Chesapeake,50-59,151,23,1
7/3/2020,Alleghany,80+,40,8,6
7/3/2020,Fairfax,10-19,841,25,0
7/3/2020,Chesapeake,60-69,117,30,5
7/3/2020,West Piedmont,Missing,0,0,0
7/3/2020,Peninsula,80+,51,24,15
7/3/2020,Crater,40-49,233,14,1
7/3/2020,Chesapeake,40-49,151,23,0
7/3/2020,Thomas Jefferson,20-29,158,2,0
7/3/2020,Lord Fairfax,20-29,346,5,0
7/3/2020,Norfolk,20-29,275,4,0
7/3/2020,Arlington,30-39,452,43,0
7/3/2020,West Piedmont,60-69,54,7,0
7/3/2020,Henrico,50-59,326,38,8
7/3/2020,West Piedmont,50-59,94,11,1
7/3/2020,Cumberland Plateau,20-29,5,0,0
7/3/2020,Alexandria,70-79,101,38,19
7/3/2020,Portsmouth,20-29,109,6,0
7/3/2020,Western Tidewater,30-39,119,7,0
7/3/2020,Central Shenandoah,0-9,54,0,0
7/3/2020,Henrico,80+,312,66,78
7/3/2020,Alexandria,0-9,127,2,0
7/3/2020,Pittsylvania-Danville,40-49,48,6,0
7/3/2020,Henrico,20-29,364,14,0
7/3/2020,Roanoke,60-69,34,3,0
7/3/2020,Peninsula,30-39,171,7,1
7/3/2020,Alleghany,60-69,52,7,1
7/3/2020,Prince William,70-79,304,88,41
7/3/2020,Norfolk,60-69,89,27,2
7/3/2020,Southside,40-49,52,5,0
7/3/2020,Chesterfield,30-39,624,5,0
7/3/2020,Loudoun,70-79,144,46,14
7/3/2020,Central Virginia,40-49,55,0,0
7/3/2020,New River,Missing,0,0,0
7/3/2020,Chickahominy,20-29,87,0,0
7/3/2020,New River,0-9,7,0,0
7/3/2020,Cumberland Plateau,0-9,1,0,0
7/3/2020,Three Rivers,70-79,32,7,4
7/3/2020,Rappahannock Rapidan,40-49,288,19,2
7/3/2020,Hampton,0-9,11,0,0
7/3/2020,Piedmont,50-59,192,22,0
7/3/2020,Rappahannock,20-29,425,12,0
7/3/2020,Virginia Beach,0-9,32,0,0
7/3/2020,Lenowisco,50-59,17,5,0
7/3/2020,Chesapeake,70-79,70,28,3
7/3/2020,Western Tidewater,80+,132,23,28
7/3/2020,Thomas Jefferson,10-19,65,1,0
7/3/2020,Richmond,40-49,382,29,1
