Event Date,Health Planning Region,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
6/20/2020,Central,Confirmed,0,1,0
6/20/2020,Eastern,Confirmed,1,0,0
6/20/2020,Northern,Confirmed,1,0,0
6/20/2020,Northwest,Confirmed,4,0,0
6/20/2020,Northwest,Probable,1,0,0
6/19/2020,Central,Confirmed,3,0,0
6/19/2020,Eastern,Confirmed,19,1,0
6/19/2020,Northern,Confirmed,23,4,0
6/19/2020,Northwest,Confirmed,20,2,1
6/19/2020,Southwest,Confirmed,1,0,0
6/18/2020,Central,Confirmed,34,0,0
6/18/2020,Eastern,Confirmed,22,3,0
6/18/2020,Northern,Confirmed,26,1,1
6/18/2020,Northwest,Confirmed,30,1,0
6/18/2020,Northwest,Probable,1,0,0
6/18/2020,Southwest,Confirmed,12,2,0
6/18/2020,Southwest,Probable,1,0,0
6/17/2020,Central,Confirmed,41,1,1
6/17/2020,Eastern,Confirmed,32,2,1
6/17/2020,Northern,Confirmed,53,2,3
6/17/2020,Northern,Probable,1,0,0
6/17/2020,Northwest,Confirmed,41,0,1
6/17/2020,Northwest,Probable,5,0,0
6/17/2020,Southwest,Confirmed,12,1,0
6/16/2020,Central,Confirmed,73,0,0
6/16/2020,Eastern,Confirmed,48,1,0
6/16/2020,Northern,Confirmed,85,3,0
6/16/2020,Northern,Probable,2,0,0
6/16/2020,Northwest,Confirmed,38,1,0
6/16/2020,Northwest,Probable,1,0,0
6/16/2020,Southwest,Confirmed,30,6,0
6/15/2020,Central,Confirmed,103,1,0
6/15/2020,Central,Probable,3,0,0
6/15/2020,Eastern,Confirmed,71,5,1
6/15/2020,Eastern,Probable,3,0,0
6/15/2020,Northern,Confirmed,100,4,4
6/15/2020,Northern,Probable,1,0,0
6/15/2020,Northwest,Confirmed,40,1,0
6/15/2020,Northwest,Probable,5,0,0
6/15/2020,Southwest,Confirmed,37,1,0
6/14/2020,Central,Confirmed,44,3,3
6/14/2020,Eastern,Confirmed,28,1,0
6/14/2020,Northern,Confirmed,58,9,0
6/14/2020,Northern,Probable,1,0,0
6/14/2020,Northwest,Confirmed,30,6,2
6/14/2020,Northwest,Probable,2,0,0
6/14/2020,Southwest,Confirmed,24,1,0
6/13/2020,Central,Confirmed,76,3,1
6/13/2020,Eastern,Confirmed,36,3,1
6/13/2020,Northern,Confirmed,53,6,2
6/13/2020,Northern,Probable,2,0,0
6/13/2020,Northwest,Confirmed,40,4,1
6/13/2020,Northwest,Probable,8,0,0
6/13/2020,Southwest,Confirmed,23,1,0
6/13/2020,Southwest,Probable,2,0,0
6/12/2020,Central,Confirmed,108,11,0
6/12/2020,Eastern,Confirmed,54,7,0
6/12/2020,Northern,Confirmed,124,14,1
6/12/2020,Northern,Probable,2,0,0
6/12/2020,Northwest,Confirmed,55,3,1
6/12/2020,Northwest,Probable,5,0,0
6/12/2020,Southwest,Confirmed,37,0,0
6/12/2020,Southwest,Probable,1,0,0
6/11/2020,Central,Confirmed,116,6,3
6/11/2020,Eastern,Confirmed,49,2,1
6/11/2020,Eastern,Probable,2,0,0
