,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-08-04T00:00:00.000,Alexandria,0-9,162,2,0
1,2020-08-04T00:00:00.000,Alexandria,10-19,211,5,0
2,2020-08-04T00:00:00.000,Alexandria,20-29,499,11,1
3,2020-08-04T00:00:00.000,Alexandria,30-39,661,33,0
4,2020-08-04T00:00:00.000,Alexandria,40-49,529,44,0
5,2020-08-04T00:00:00.000,Alexandria,50-59,357,54,11
6,2020-08-04T00:00:00.000,Alexandria,60-69,232,54,3
7,2020-08-04T00:00:00.000,Alexandria,70-79,108,41,18
8,2020-08-04T00:00:00.000,Alexandria,80+,97,29,27
9,2020-08-04T00:00:00.000,Alexandria,Missing,11,0,0
10,2020-08-04T00:00:00.000,Alleghany,0-9,22,0,0
11,2020-08-04T00:00:00.000,Alleghany,10-19,106,0,0
12,2020-08-04T00:00:00.000,Alleghany,20-29,162,1,0
13,2020-08-04T00:00:00.000,Alleghany,30-39,120,2,0
14,2020-08-04T00:00:00.000,Alleghany,40-49,126,2,0
15,2020-08-04T00:00:00.000,Alleghany,50-59,129,7,1
16,2020-08-04T00:00:00.000,Alleghany,60-69,82,8,1
17,2020-08-04T00:00:00.000,Alleghany,70-79,79,9,10
18,2020-08-04T00:00:00.000,Alleghany,80+,44,11,5
19,2020-08-04T00:00:00.000,Alleghany,Missing,2,0,0
20,2020-08-04T00:00:00.000,Arlington,0-9,66,2,0
21,2020-08-04T00:00:00.000,Arlington,10-19,150,5,0
22,2020-08-04T00:00:00.000,Arlington,20-29,596,22,0
23,2020-08-04T00:00:00.000,Arlington,30-39,552,43,0
24,2020-08-04T00:00:00.000,Arlington,40-49,482,53,8
25,2020-08-04T00:00:00.000,Arlington,50-59,421,70,6
26,2020-08-04T00:00:00.000,Arlington,60-69,308,82,19
27,2020-08-04T00:00:00.000,Arlington,70-79,180,73,33
28,2020-08-04T00:00:00.000,Arlington,80+,205,85,70
29,2020-08-04T00:00:00.000,Arlington,Missing,13,1,0
30,2020-08-04T00:00:00.000,Central Shenandoah,0-9,80,0,0
31,2020-08-04T00:00:00.000,Central Shenandoah,10-19,164,1,0
32,2020-08-04T00:00:00.000,Central Shenandoah,20-29,533,11,0
33,2020-08-04T00:00:00.000,Central Shenandoah,30-39,399,8,0
34,2020-08-04T00:00:00.000,Central Shenandoah,40-49,438,16,0
35,2020-08-04T00:00:00.000,Central Shenandoah,50-59,453,36,4
36,2020-08-04T00:00:00.000,Central Shenandoah,60-69,325,49,14
37,2020-08-04T00:00:00.000,Central Shenandoah,70-79,173,51,16
38,2020-08-04T00:00:00.000,Central Shenandoah,80+,143,35,20
39,2020-08-04T00:00:00.000,Central Shenandoah,Missing,1,0,0
40,2020-08-04T00:00:00.000,Central Virginia,0-9,32,0,0
41,2020-08-04T00:00:00.000,Central Virginia,10-19,131,2,0
42,2020-08-04T00:00:00.000,Central Virginia,20-29,270,3,0
43,2020-08-04T00:00:00.000,Central Virginia,30-39,164,8,0
44,2020-08-04T00:00:00.000,Central Virginia,40-49,159,3,0
45,2020-08-04T00:00:00.000,Central Virginia,50-59,174,6,4
46,2020-08-04T00:00:00.000,Central Virginia,60-69,108,15,2
47,2020-08-04T00:00:00.000,Central Virginia,70-79,67,11,3
48,2020-08-04T00:00:00.000,Central Virginia,80+,49,8,2
49,2020-08-04T00:00:00.000,Central Virginia,Missing,1,0,0
50,2020-08-04T00:00:00.000,Chesapeake,0-9,82,1,0
51,2020-08-04T00:00:00.000,Chesapeake,10-19,194,1,0
52,2020-08-04T00:00:00.000,Chesapeake,20-29,549,5,0
53,2020-08-04T00:00:00.000,Chesapeake,30-39,519,16,0
54,2020-08-04T00:00:00.000,Chesapeake,40-49,407,33,1
55,2020-08-04T00:00:00.000,Chesapeake,50-59,368,38,1
56,2020-08-04T00:00:00.000,Chesapeake,60-69,260,44,5
57,2020-08-04T00:00:00.000,Chesapeake,70-79,142,43,4
58,2020-08-04T00:00:00.000,Chesapeake,80+,123,35,19
59,2020-08-04T00:00:00.000,Chesapeake,Missing,45,1,0
60,2020-08-04T00:00:00.000,Chesterfield,0-9,171,2,0
61,2020-08-04T00:00:00.000,Chesterfield,10-19,422,1,0
62,2020-08-04T00:00:00.000,Chesterfield,20-29,813,12,0
63,2020-08-04T00:00:00.000,Chesterfield,30-39,881,17,1
64,2020-08-04T00:00:00.000,Chesterfield,40-49,767,32,3
65,2020-08-04T00:00:00.000,Chesterfield,50-59,592,54,5
66,2020-08-04T00:00:00.000,Chesterfield,60-69,375,63,19
67,2020-08-04T00:00:00.000,Chesterfield,70-79,165,34,24
68,2020-08-04T00:00:00.000,Chesterfield,80+,164,36,48
69,2020-08-04T00:00:00.000,Chesterfield,Missing,110,1,0
70,2020-08-04T00:00:00.000,Chickahominy,0-9,22,0,0
71,2020-08-04T00:00:00.000,Chickahominy,10-19,71,0,0
72,2020-08-04T00:00:00.000,Chickahominy,20-29,149,3,0
73,2020-08-04T00:00:00.000,Chickahominy,30-39,123,3,0
74,2020-08-04T00:00:00.000,Chickahominy,40-49,119,14,1
75,2020-08-04T00:00:00.000,Chickahominy,50-59,160,23,1
76,2020-08-04T00:00:00.000,Chickahominy,60-69,105,26,8
77,2020-08-04T00:00:00.000,Chickahominy,70-79,79,24,7
78,2020-08-04T00:00:00.000,Chickahominy,80+,86,37,27
79,2020-08-04T00:00:00.000,Chickahominy,Missing,15,0,0
80,2020-08-04T00:00:00.000,Crater,0-9,46,2,0
81,2020-08-04T00:00:00.000,Crater,10-19,98,1,0
82,2020-08-04T00:00:00.000,Crater,20-29,345,9,0
83,2020-08-04T00:00:00.000,Crater,30-39,386,9,0
84,2020-08-04T00:00:00.000,Crater,40-49,312,22,1
85,2020-08-04T00:00:00.000,Crater,50-59,367,36,4
86,2020-08-04T00:00:00.000,Crater,60-69,308,58,18
87,2020-08-04T00:00:00.000,Crater,70-79,187,43,21
88,2020-08-04T00:00:00.000,Crater,80+,146,33,21
89,2020-08-04T00:00:00.000,Crater,Missing,20,0,0
90,2020-08-04T00:00:00.000,Cumberland Plateau,0-9,10,0,0
91,2020-08-04T00:00:00.000,Cumberland Plateau,10-19,40,1,0
92,2020-08-04T00:00:00.000,Cumberland Plateau,20-29,41,0,0
93,2020-08-04T00:00:00.000,Cumberland Plateau,30-39,39,2,0
94,2020-08-04T00:00:00.000,Cumberland Plateau,40-49,37,2,0
95,2020-08-04T00:00:00.000,Cumberland Plateau,50-59,49,5,0
96,2020-08-04T00:00:00.000,Cumberland Plateau,60-69,28,5,0
97,2020-08-04T00:00:00.000,Cumberland Plateau,70-79,22,2,0
98,2020-08-04T00:00:00.000,Cumberland Plateau,80+,11,5,1
99,2020-08-04T00:00:00.000,Cumberland Plateau,Missing,0,0,0
100,2020-08-04T00:00:00.000,Eastern Shore,0-9,25,2,0
101,2020-08-04T00:00:00.000,Eastern Shore,10-19,67,1,0
102,2020-08-04T00:00:00.000,Eastern Shore,20-29,205,6,0
103,2020-08-04T00:00:00.000,Eastern Shore,30-39,245,11,0
