Event Date,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
5/19/2020,Confirmed,18,4,4
5/19/2020,Probable,1,0,0
5/18/2020,Confirmed,57,7,4
5/18/2020,Probable,5,0,0
5/17/2020,Confirmed,42,16,10
5/17/2020,Probable,3,1,0
5/16/2020,Confirmed,197,10,16
5/16/2020,Probable,7,0,0
5/15/2020,Confirmed,455,23,8
5/15/2020,Probable,12,0,0
5/14/2020,Confirmed,568,35,11
5/14/2020,Probable,9,0,1
5/13/2020,Confirmed,668,35,8
5/13/2020,Probable,16,0,1
5/12/2020,Confirmed,845,45,15
5/12/2020,Probable,20,1,0
5/11/2020,Confirmed,723,53,28
5/11/2020,Probable,20,1,0
5/10/2020,Confirmed,396,55,22
5/10/2020,Probable,15,0,0
5/9/2020,Confirmed,493,56,16
5/9/2020,Probable,22,0,0
5/8/2020,Confirmed,745,61,28
5/8/2020,Probable,23,0,0
5/7/2020,Confirmed,688,60,28
5/7/2020,Probable,20,0,0
5/6/2020,Confirmed,746,69,20
5/6/2020,Probable,40,0,1
5/5/2020,Confirmed,799,71,33
5/5/2020,Probable,33,0,1
5/4/2020,Confirmed,887,87,20
5/4/2020,Probable,42,1,0
5/3/2020,Confirmed,508,83,19
5/3/2020,Probable,24,0,2
5/2/2020,Confirmed,605,62,28
5/2/2020,Probable,26,2,1
5/1/2020,Confirmed,991,86,20
5/1/2020,Probable,58,0,0
4/30/2020,Confirmed,817,72,37
4/30/2020,Probable,52,0,0
4/29/2020,Confirmed,795,66,21
4/29/2020,Probable,40,2,2
4/28/2020,Confirmed,781,75,30
4/28/2020,Probable,40,1,0
4/27/2020,Confirmed,851,82,21
4/27/2020,Probable,41,2,0
4/26/2020,Confirmed,597,61,25
4/26/2020,Probable,26,0,3
4/25/2020,Confirmed,577,55,21
4/25/2020,Probable,43,1,3
4/24/2020,Confirmed,827,77,26
4/24/2020,Probable,45,0,2
4/23/2020,Confirmed,724,63,19
4/23/2020,Probable,43,0,2
4/22/2020,Confirmed,693,67,26
4/22/2020,Probable,41,0,0
4/21/2020,Confirmed,633,92,27
4/21/2020,Probable,30,2,2
4/20/2020,Confirmed,806,82,16
4/20/2020,Probable,58,1,3
4/19/2020,Confirmed,441,59,33
4/19/2020,Probable,30,1,0
4/18/2020,Confirmed,399,63,21
4/18/2020,Probable,23,1,0
4/17/2020,Confirmed,647,62,28
4/17/2020,Probable,41,1,2
4/16/2020,Confirmed,589,70,29
4/16/2020,Probable,21,0,0
4/15/2020,Confirmed,484,75,22
4/15/2020,Probable,26,0,0
4/14/2020,Confirmed,556,59,24
